"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042026","protein refolding","6/113","24/28943",3.93595530120327e-10,8.76930841108088e-07,6.14423338072047e-07,"Hsp90aa1/Cryab/Hspa5/Hspa8/Dnaja1/St13",6
"GO:0006457","protein folding","10/113","169/28943",1.30419198845475e-09,1.4528698751386e-06,1.01795616783074e-06,"Hsp90ab1/Ppia/Hsp90aa1/Cryab/Hspa5/Hspa8/Hsph1/Dnaja1/St13/Ptges3",10
"GO:0007409","axonogenesis","13/113","493/28943",7.08853308737475e-08,4.23515808925509e-05,2.9673719391313e-05,"Hsp90ab1/Hsp90aa1/Stmn1/Mbp/Auts2/Olfm1/Ank3/Atp5g1/Actb/Rab3a/Tenm2/Gap43/Uchl1",13
"GO:0050808","synapse organization","13/113","496/28943",7.60351542056569e-08,4.23515808925509e-05,2.9673719391313e-05,"Malat1/Kirrel3/Hspa8/Ank3/Magi2/Actb/Tuba1a/Rab3a/Tubb5/Gap43/Baiap2/Cfl1/Dock10",13
"GO:0035304","regulation of protein dephosphorylation","7/113","96/28943",1.0257163711837e-07,4.57059214999456e-05,3.20239448097984e-05,"Calm2/Hsp90ab1/Calm1/Ppia/Magi2/Ywhab/Arpp19",7
"GO:0051085","chaperone cofactor-dependent protein refolding","5/113","32/28943",1.53596591337622e-07,5.70355342500368e-05,3.99620605181917e-05,"Hspa5/Hspa8/Hsph1/St13/Ptges3",5
"GO:0051084","'de novo' post-translational protein folding","5/113","37/28943",3.27344928734862e-07,9.49071155338975e-05,6.64968592727818e-05,"Hspa5/Hspa8/Hsph1/St13/Ptges3",5
"GO:0006458","'de novo' protein folding","5/113","38/28943",3.75772589879763e-07,9.49071155338975e-05,6.64968592727818e-05,"Hspa5/Hspa8/Hsph1/St13/Ptges3",5
"GO:1902903","regulation of supramolecular fiber organization","11/113","389/28943",3.83377037614487e-07,9.49071155338975e-05,6.64968592727818e-05,"Tmsb4x/Cryab/Stmn1/Hspa8/Arpc3/Limch1/Baiap2/Dlg1/Tmeff2/Cfl1/Stmn2",11
"GO:0043254","regulation of protein-containing complex assembly","11/113","425/28943",9.14131202697044e-07,0.000203668431960902,0.000142700691957865,"Tmsb4x/Hsp90aa1/Cryab/Stmn1/Rab3a/Arpc3/Baiap2/Dlg1/Cfl1/Lmo4/Stmn2",11
"GO:0035303","regulation of dephosphorylation","7/113","136/28943",1.1049192978828e-06,0.000223796381425717,0.000156803379785665,"Calm2/Hsp90ab1/Calm1/Ppia/Magi2/Ywhab/Arpp19",7
"GO:0035307","positive regulation of protein dephosphorylation","5/113","49/28943",1.37958810536411e-06,0.000246917671979804,0.000173003358001535,"Calm2/Hsp90ab1/Calm1/Ppia/Magi2",5
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","4/113","22/28943",1.52605789975442e-06,0.000246917671979804,0.000173003358001535,"Calm2/Hsp90ab1/Calm1/Magi2",4
"GO:0032271","regulation of protein polymerization","8/113","206/28943",1.55154731046555e-06,0.000246917671979804,0.000173003358001535,"Tmsb4x/Hsp90aa1/Stmn1/Arpc3/Baiap2/Dlg1/Cfl1/Stmn2",8
"GO:0006091","generation of precursor metabolites and energy","11/113","465/28943",2.18391776133908e-06,0.000324384584817564,0.000227280704566024,"Gapdh/Aldoa/Cox4i1/Mdh1/Chchd2/Cox5a/Atp5j/Pgam1/Ndufb7/Gabarapl1/Ptges3",11
"GO:0061077","chaperone-mediated protein folding","5/113","64/28943",5.26512479172293e-06,0.000733168627247417,0.000513696056981914,"Hspa5/Hspa8/Hsph1/St13/Ptges3",5
"GO:0035306","positive regulation of dephosphorylation","5/113","65/28943",5.68620994420018e-06,0.000745227985628117,0.000522145470417886,"Calm2/Hsp90ab1/Calm1/Ppia/Magi2",5
"GO:0009205","purine ribonucleoside triphosphate metabolic process","8/113","251/28943",6.68452836077543e-06,0.000766598329767774,0.000537118644545785,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5j/Pgam1/Ndufb7/Nme1",8
"GO:1902904","negative regulation of supramolecular fiber organization","7/113","179/28943",6.84475317934364e-06,0.000766598329767774,0.000537118644545785,"Tmsb4x/Cryab/Stmn1/Hspa8/Tmeff2/Cfl1/Stmn2",7
"GO:1903320","regulation of protein modification by small protein conjugation or removal","8/113","252/28943",6.88149308588666e-06,0.000766598329767774,0.000537118644545785,"Hsp90ab1/Ppia/Egr1/Hsp90aa1/Hspa5/Ubb/Smad7/Dnaja1",8
"GO:0009144","purine nucleoside triphosphate metabolic process","8/113","257/28943",7.94158741603759e-06,0.000804266216496898,0.000563510724305443,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5j/Pgam1/Ndufb7/Nme1",8
"GO:0009199","ribonucleoside triphosphate metabolic process","8/113","257/28943",7.94158741603759e-06,0.000804266216496898,0.000563510724305443,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5j/Pgam1/Ndufb7/Nme1",8
"GO:0055117","regulation of cardiac muscle contraction","5/113","71/28943",8.7977412506292e-06,0.000852233369843559,0.00059711900570632,"Calm2/Calm1/Smad7/Ctnna3/Dlg1",5
"GO:0031346","positive regulation of cell projection organization","10/113","441/28943",9.35275666502868e-06,0.000868247577070163,0.000608339391852524,"Dynll1/Hspa5/Auts2/Magi2/Atp5g1/Pcp4/Baiap2/Cfl1/Nme1/Stmn2",10
"GO:0010922","positive regulation of phosphatase activity","4/113","36/28943",1.17816095235274e-05,0.000973592369670502,0.000682149430322854,"Calm2/Hsp90ab1/Calm1/Magi2",4
"GO:0010563","negative regulation of phosphorus metabolic process","10/113","453/28943",1.17984712662045e-05,0.000973592369670502,0.000682149430322854,"Ppia/Dynll1/Ywhab/Actb/Smad7/Pcp4/Dnaja1/Arpp19/Camk2n1/Uchl1",10
"GO:0045936","negative regulation of phosphate metabolic process","10/113","453/28943",1.17984712662045e-05,0.000973592369670502,0.000682149430322854,"Ppia/Dynll1/Ywhab/Actb/Smad7/Pcp4/Dnaja1/Arpp19/Camk2n1/Uchl1",10
"GO:0051258","protein polymerization","8/113","274/28943",1.26376065788125e-05,0.000996793461682552,0.000698405321588975,"Tmsb4x/Hsp90aa1/Stmn1/Arpc3/Baiap2/Dlg1/Cfl1/Stmn2",8
"GO:0009141","nucleoside triphosphate metabolic process","8/113","275/28943",1.29744211798896e-05,0.000996793461682552,0.000698405321588975,"Gapdh/Aldoa/Hspa8/Atp5g1/Atp5j/Pgam1/Ndufb7/Nme1",8
