"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","4930488L21Rik",2.65403670557323e-11,-0.363590589308251,0.448,0.576,9.25382978132218e-07,3.86609489737265e-08,0.33145808746364,0.537,0.448,0.00134799130786692
"2","4930544I03Rik",1.53951904480335e-12,-0.503583656590325,0.114,0.215,5.36784105351583e-08,2.64664209234993e-07,0.339648355087992,0.18,0.114,0.00922804698339649
"3","4932438H23Rik",3.80942684674695e-09,-0.290538896470833,0.035,0.09,0.000132823285865526,8.9480367174508e-07,0.228259031014287,0.075,0.035,0.0311991196227357
"4","Actb",4.17659214525403e-18,0.509156687120888,0.61,0.466,1.45625238328572e-13,9.00183893825216e-23,-0.493442841846683,0.461,0.61,3.13867118260038e-18
"5","Actg1",8.59199354874506e-12,0.49754322576337,0.375,0.26,2.99577039064094e-07,2.35689330271045e-08,-0.354411719303668,0.295,0.375,0.000821777987856053
"6","Adam23",1.82067405075079e-12,-0.449400450854037,0.283,0.408,6.34814421275278e-08,1.27953618618321e-10,0.369899445287435,0.39,0.283,4.46135882036499e-06
"7","Aldoa",9.37076372750756e-26,0.67287314604527,0.56,0.382,3.26730418887006e-21,6.12565211602663e-23,-0.5624673707127,0.415,0.56,2.135831123295e-18
"8","Ank2",7.06815576495285e-26,-0.416187928813917,0.843,0.926,2.46445387056611e-21,3.02017806110662e-21,0.329683716185334,0.907,0.843,1.05304548456605e-16
"9","Appl2",1.71127418377959e-10,-0.313222079876746,0.608,0.707,5.96669969658429e-06,1.37679982854521e-17,0.378190190418559,0.714,0.608,4.80048796218859e-13
"10","Arl6ip1",1.97429675942631e-10,0.473743335285262,0.359,0.252,6.88378051109171e-06,2.47271959667315e-08,-0.385921443703195,0.279,0.359,0.000862163141772027
"11","Arpc2",3.6829416656661e-07,0.396107611727067,0.225,0.151,0.012841312705678,1.55019043878381e-09,-0.425484710380893,0.148,0.225,5.4050490029075e-05
"12","Atp1b1",2.11047855934235e-09,0.340818987168375,0.637,0.564,7.35860559285899e-05,1.10307350890525e-13,-0.360381074928129,0.55,0.637,3.84608640349995e-09
"13","Atp5g1",6.44047263422168e-16,0.582221516385176,0.307,0.175,2.24559959337407e-11,9.6811697603284e-11,-0.368757623734461,0.209,0.307,3.3755334603337e-06
"14","Atp5g3",3.12386273068308e-14,0.594131442173702,0.268,0.15,1.08919721830727e-09,3.67925126407335e-09,-0.34617296079298,0.183,0.268,0.000128284453824445
