"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","0610040F04Rik",9.93216862482109e-22,-0.0694654491176322,0.033,0.071,3.46304923441637e-17,9.24043325315937e-16,0.0574837155143214,0.065,0.033,3.22186186237908e-11
"2","1110002O04Rik",2.59698883890935e-10,-0.023958233060883,0.004,0.016,9.05492098462524e-06,1.12284539219036e-09,0.0245607250734514,0.015,0.004,3.91502502895013e-05
"3","1110004F10Rik",2.49273835299253e-19,0.230857237465756,0.307,0.245,8.69143081537904e-15,6.9246132300015e-11,-0.19173104098415,0.265,0.307,2.41440489490462e-06
"4","1500015A07Rik",9.39635570265663e-07,-0.0474327048822379,0.093,0.12,0.0327622734284529,3.68815840153326e-08,0.0513498637885136,0.126,0.093,0.0012859501898626
"5","1500015L24Rik",9.82187586775318e-16,-0.0288095763588684,0.004,0.018,3.4245934588095e-11,3.8132113890651e-07,0.0152306098446197,0.011,0.004,0.0132955241502533
"6","1700016P03Rik",1.18630395805439e-37,0.323085944933914,0.335,0.24,4.13628601054823e-33,1.22369936523086e-142,-0.62062318244856,0.142,0.335,4.26667257675043e-138
"7","1700024B18Rik",6.34267234432442e-33,-0.219066907706983,0.393,0.493,2.2114995662956e-28,7.29313623581872e-10,0.0960486089741091,0.457,0.393,2.54289781134291e-05
"8","1700029J07Rik",1.77503640802675e-07,-0.0343968056047723,0.046,0.068,0.00618901944386686,6.53445256173307e-08,0.0308744454149987,0.07,0.046,0.00227836757469947
"9","1700085D07Rik",5.39474709059079e-39,0.276634560183493,0.459,0.366,1.88098646807629e-34,3.50545589364225e-41,-0.282148044368639,0.364,0.459,1.22224730643624e-36
"10","1700086O06Rik",8.14776854169765e-07,-0.0420930952970678,0.066,0.09,0.0284088245743372,2.14980637619e-07,0.0513310321268892,0.092,0.066,0.00749572989186168
