"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","1700087I21Rik",4.10173657967803e-07,-0.146136020442395,0.081,0.136,0.0143015249323634,7.66630085406654e-07,0.134272116400207,0.135,0.081,0.0267300911878738
"2","2210408I21Rik",1.21070347563112e-13,-0.264081064635237,0.418,0.553,4.22135980848303e-09,5.51172481735428e-14,0.263204049946675,0.557,0.418,1.92177309206692e-09
"3","4732471J01Rik",6.52358303770906e-09,-0.173465966238581,0.287,0.386,0.000227457769775802,9.45166541591324e-12,0.20745183257297,0.405,0.287,3.29551218056647e-07
"4","4930445B16Rik",4.75393823459399e-07,-0.256155173657282,0.259,0.336,0.0165755564425589,9.04818050119733e-08,0.24325558113349,0.344,0.259,0.00315482909535247
"5","6330411D24Rik",4.38381379868632e-11,-0.309828083315507,0.236,0.344,1.52850435718796e-06,1.42480582069352e-06,0.228738599537434,0.315,0.236,0.0496787045501208
"6","9530036O11Rik",2.37614384936477e-12,-0.213164814645816,0.057,0.127,8.28490075958015e-08,4.24760715376756e-07,0.138332741559476,0.105,0.057,0.0148101318630414
"7","9530062K07Rik",1.11664103146752e-08,-0.140797292838445,0.042,0.091,0.00038933922844178,4.89631565671085e-07,0.128794855058627,0.084,0.042,0.0170719838002537
"8","A230006K03Rik",1.15701842303834e-16,-0.416050911200569,0.462,0.581,4.03417613560778e-12,9.57125293102288e-21,0.454980691524449,0.602,0.462,3.33720875945975e-16
"9","A330008L17Rik",6.4181777775789e-15,-0.449771323693253,0.144,0.247,2.23782604570844e-10,4.99186189179391e-13,0.385065207235742,0.241,0.144,1.74051248581178e-08
"10","A330102I10Rik",7.6703227311099e-12,-0.261995720256599,0.302,0.42,2.67441142665609e-07,3.24919864476838e-09,0.196872136966632,0.412,0.302,0.000113289809147139
"11","A830018L16Rik",2.14075075790295e-10,-0.384962305112845,0.588,0.684,7.46415566758022e-06,1.59841253534578e-12,0.350166748230221,0.702,0.588,5.57318498699014e-08
"12","Ablim1",9.06457917828079e-09,-0.207082671738091,0.555,0.66,0.000316054682209116,4.05200057372484e-07,0.171224286383853,0.665,0.555,0.0141281104004064
"13","Acaca",2.46175166042645e-10,-0.211253573125623,0.347,0.463,8.58338951440891e-06,8.6569217113014e-14,0.245376783596439,0.482,0.347,3.01840889307946e-09
"14","Actb",1.19438129297768e-43,0.654187026049819,0.762,0.607,4.16444925422526e-39,5.71340830552933e-27,-0.490914114508205,0.679,0.762,1.99209407388891e-22
"15","Actg1",1.88304183665316e-18,0.479403129052045,0.514,0.408,6.56560197185859e-14,1.80380635352206e-11,-0.38607361466778,0.442,0.514,6.28933161282538e-07
"16","Adamts17",2.22353707435582e-14,-0.358247347943333,0.293,0.424,7.75280671715643e-10,1.2307390712795e-10,0.300939928129766,0.401,0.293,4.29121791983023e-06
"17","Adamts19",2.95169129680432e-08,0.199204723491569,0.025,0.002,0.00102916620445676,2.41944957229613e-07,-0.19902819521872,0.003,0.025,0.00843589482372493
"18","Aff2",1.68368050664793e-07,-0.221236682705928,0.437,0.536,0.00587048882252933,5.83813548240444e-13,0.320293783596075,0.569,0.437,2.03558269864996e-08
"19","Agbl4",7.8833738834464e-17,-0.275105374878678,0.668,0.814,2.74869597194126e-12,3.41509897388895e-15,0.284562138890377,0.8,0.668,1.19074255922586e-10
"20","Akap7",1.26430463749846e-08,-0.184965532785981,0.217,0.306,0.00044082509795659,5.59988900920636e-08,0.172600134727595,0.303,0.217,0.00195251330083998
"21","Aldoa",1.12829218365746e-45,0.648870798806733,0.744,0.594,3.93401635675847e-41,4.48209209834066e-22,-0.430961206513602,0.675,0.744,1.56277105192844e-17
"22","Alkbh1",3.93208404772559e-07,-0.153233262154635,0.16,0.233,0.0137099974492048,1.19092279699031e-06,0.120068532294657,0.231,0.16,0.0415239051626611
