"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",3.7370628465992e-11,0.45412676258791,0.631,0.498,1.30300170272374e-06,3.33511808043686e-12,-0.463844943388637,0.505,0.631,1.16285562110592e-07
"2","Aldoa",8.4035568681755e-18,0.725272251105707,0.562,0.371,2.93006817322675e-13,3.12241163535189e-14,-0.594074163926442,0.416,0.562,1.08869126489814e-09
"3","Atp1b1",4.6495913602596e-10,0.469036979643261,0.607,0.482,1.62117301958172e-05,2.55444929328199e-08,-0.407681825159762,0.505,0.607,0.000890659835088631
"4","Atp5o.1",8.84833292670536e-09,0.631650492866708,0.259,0.152,0.000308514824155436,3.58226896604562e-07,-0.44412085390293,0.166,0.259,0.0124902972039113
"5","Atp6v0c",4.17595724230244e-23,0.60581615976364,0.769,0.57,1.45603101167359e-18,5.38733159771285e-13,-0.401825883160778,0.639,0.769,1.87840090817454e-08
"6","Basp1",3.64158831252721e-08,0.425470588672153,0.635,0.541,0.00126971259692886,2.40308362893221e-10,-0.446913812549945,0.527,0.635,8.37883168899794e-06
"7","Bbln",3.11552796162238e-09,0.592201765531056,0.233,0.127,0.000108629113437888,8.90666080696898e-07,-0.467201408888024,0.149,0.233,0.0310548542356587
"8","Bc1",1.39125635617057e-07,0.528756236451379,0.197,0.108,0.00485089353705994,9.63146115817553e-11,-0.598351097101122,0.097,0.197,3.35820156202106e-06
"9","Bex2",3.01645938126192e-13,0.705504764350375,0.393,0.24,1.0517488924646e-08,1.26813125956798e-12,-0.642177568145227,0.254,0.393,4.42159326273566e-08
"10","C1ql3",1.03446999017041e-08,0.603462718401104,0.283,0.173,0.000360688651472717,1.53397077722344e-10,-0.664346790489605,0.171,0.283,5.34849590894497e-06
"11","Calm1",1.64568208056066e-30,0.605049951351864,0.907,0.77,5.73799971029085e-26,1.45657918435492e-32,-0.596002101176307,0.756,0.907,5.07865464209031e-28
"12","Calm2",1.49909052618873e-29,0.669328671383169,0.825,0.658,5.22687893766224e-25,1.1960874523239e-23,-0.569119634630234,0.69,0.825,4.17039812001774e-19
"13","Camk2n1",6.18901766634387e-12,0.652448705765502,0.451,0.313,2.15792478972412e-07,3.99282197613756e-09,-0.516295440738823,0.341,0.451,0.000139217723841988
"14","Ccdc85b",4.57937305812302e-10,0.665525038796241,0.172,0.077,1.59669000417575e-05,1.42212552766566e-07,-0.521086320076017,0.096,0.172,0.00495852507731185
"15","Cck",9.26067960886983e-14,0.591740712569503,0.599,0.433,3.22892115922464e-09,1.75002591557586e-07,-0.406417250978875,0.502,0.599,0.00610181535983835
"16","Chchd2",2.49297459705582e-12,0.645102360626815,0.398,0.244,8.69225452755453e-08,7.4318539691337e-08,-0.467140007430764,0.287,0.398,0.00259126452341785
"17","Chn1",1.71881204952536e-07,0.529741765365487,0.279,0.179,0.00599298197308007,2.38077204104443e-07,-0.519590165242146,0.189,0.279,0.00830103787550961
