"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"1","2210408I21Rik",14,8.37e-115,-0.403567596,0.571,0.734,2.92e-110,5.75e-70,0.394630554,0.692,0.571,2e-65,"#N/A",2,1.21e-13,-0.264081065,0.418,0.553,4.22e-09,5.51e-14,0.26320405,0.557,0.418,1.92e-09,"#N/A"
"2","4930445B16Rik",30,4.39e-19,-0.212583558,0.298,0.371,1.53e-14,4.9e-13,0.196101287,0.36,0.298,1.71e-08,"#N/A",4,4.75e-07,-0.256155174,0.259,0.336,0.016575556,9.05e-08,0.243255581,0.344,0.259,0.003154829,"#N/A"
"3","9530036O11Rik",54,9.26e-46,-0.165194176,0.055,0.127,3.23e-41,8.79e-20,0.103601743,0.099,0.055,3.07e-15,"#N/A",6,2.38e-12,-0.213164815,0.057,0.127,8.28e-08,4.25e-07,0.138332742,0.105,0.057,0.014810132,"#N/A"
"4","9530062K07Rik",55,4.1e-57,-0.195268527,0.087,0.185,1.43e-52,4.61e-44,0.171139526,0.175,0.087,1.61e-39,"#N/A",7,1.12e-08,-0.140797293,0.042,0.091,0.000389339,4.9e-07,0.128794855,0.084,0.042,0.017071984,"#N/A"
"5","A230006K03Rik",57,4.95e-29,-0.202588514,0.741,0.799,1.72e-24,5.38e-40,0.309393085,0.785,0.741,1.88e-35,"#N/A",8,1.16e-16,-0.416050911,0.462,0.581,4.03e-12,9.57e-21,0.454980692,0.602,0.462,3.34e-16,"#N/A"
"6","A330008L17Rik",61,2.75e-22,-0.298414194,0.238,0.307,9.59e-18,4.85e-33,0.394214489,0.329,0.238,1.69e-28,"#N/A",9,6.42e-15,-0.449771324,0.144,0.247,2.24e-10,4.99e-13,0.385065207,0.241,0.144,1.74e-08,"#N/A"
"7","A330102I10Rik",64,8.07e-41,-0.268951459,0.289,0.403,2.81e-36,4.08e-28,0.243836298,0.387,0.289,1.42e-23,"#N/A",10,7.67e-12,-0.26199572,0.302,0.42,2.67e-07,3.25e-09,0.196872137,0.412,0.302,0.00011329,"#N/A"
"8","Acaca",80,1.65e-27,-0.189606256,0.463,0.556,5.74e-23,1.81e-19,0.189861406,0.547,0.463,6.33e-15,"5",13,2.46e-10,-0.211253573,0.347,0.463,8.58e-06,8.66e-14,0.245376784,0.482,0.347,3.02e-09,"5"
"9","Actb",86,8.43e-208,0.685126491,0.803,0.658,2.94e-203,4.39e-156,-0.543308206,0.668,0.803,1.53e-151,"6",14,1.19e-43,0.654187026,0.762,0.607,4.16e-39,5.71e-27,-0.490914115,0.679,0.762,1.99e-22,"6"
"10","Actg1",87,2.7e-109,0.543631687,0.542,0.379,9.41e-105,5.73e-45,-0.292793719,0.445,0.542,2e-40,"2",15,1.88e-18,0.479403129,0.514,0.408,6.57e-14,1.8e-11,-0.386073615,0.442,0.514,6.29e-07,"2"
