"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",1.12972593372677e-10,0.530293456457275,0.689,0.516,3.93901541312513e-06,2.32785170550246e-14,-0.640561753959695,0.499,0.689,8.11652054157543e-10
"2","Atp1b1",5.43675175288903e-10,0.513030499268452,0.66,0.482,1.89563223367982e-05,1.37787126692286e-09,-0.431465953637323,0.493,0.66,4.80422374637994e-05
"3","Atp6v1e1",3.31764780141309e-10,0.658099124997094,0.36,0.189,1.1567642589187e-05,3.54357490665033e-07,-0.549644277410773,0.238,0.36,0.0123553826270177
"4","Basp1",7.32877781396148e-07,0.461663851085191,0.628,0.482,0.0255532496039395,9.68373072852088e-11,-0.573986839181053,0.48,0.628,3.37642639311337e-06
"5","Bex2",1.34824349210306e-07,0.51043435046583,0.44,0.287,0.00470092058391572,1.3339413709218e-06,-0.386997250098846,0.305,0.44,0.0465105337799305
"6","Calm1",1.42266466168353e-16,0.593816942000747,0.901,0.799,4.96040487589197e-12,3.38618810793094e-25,-0.683543432589246,0.771,0.901,1.18066220759228e-20
"7","Calm2",1.6810625420853e-25,0.771843464152459,0.848,0.604,5.86136076548881e-21,2.28280537097462e-20,-0.564912915389586,0.646,0.848,7.95945748697722e-16
"8","Cox5a",2.15412835158928e-10,0.631641092887324,0.375,0.201,7.51079932348635e-06,1.14573539295954e-07,-0.530926652422983,0.248,0.375,0.00399483559463202
"9","Dynll1",5.63787399769861e-08,0.613229639054994,0.453,0.311,0.00196575752677757,2.92452653027087e-10,-0.630757127492619,0.298,0.453,1.01969466530954e-05
"10","Egr1",4.92800977207018e-09,0.507069424818565,0.142,0.037,0.000171824916722771,2.67934372080056e-13,-0.565382231166688,0.028,0.142,9.3420677513153e-09
"11","Fth1",6.0573380174449e-17,0.667525484529139,0.745,0.549,2.11201204654251e-12,2.14512046923545e-13,-0.548655917205035,0.608,0.745,7.47939154008326e-09
"12","Gap43",4.24461691833982e-07,0.457972689943768,0.28,0.148,0.0147997058091755,1.60507930546218e-07,-0.455133024129632,0.154,0.28,0.00559643001435497
"13","Gapdh",3.60448802462645e-23,0.887203311147078,0.691,0.416,1.2567768395465e-18,2.17356004003389e-13,-0.548631861875772,0.518,0.691,7.57855179158617e-09
"14","Hsp90ab1",1.47224592582294e-24,0.780696691588228,0.811,0.594,5.13327986956683e-20,1.61707676539304e-18,-0.596432428532271,0.643,0.811,5.6382615578959e-14
"15","Hsp90b1",1.23185475785384e-07,0.458820107075782,0.412,0.26,0.00429510798420899,5.60257589532057e-09,-0.445220310435011,0.253,0.412,0.000195345013742142
"16","Hspa5",3.05487449292673e-20,0.96842057995159,0.397,0.148,1.06514308944876e-15,2.89033962804057e-13,-0.648191768304044,0.207,0.397,1.00777471810891e-08
"17","Hspa8",2.06147845397811e-15,0.734312955627546,0.607,0.373,7.18775692548548e-11,2.39914852034791e-09,-0.521072408185285,0.47,0.607,8.36511114589705e-05
"18","Hspe1",1.98717500208988e-07,0.532735553711389,0.224,0.104,0.00692868307978677,3.03045653130965e-07,-0.500765714424962,0.117,0.224,0.0105662927877173
"19","Mdga2",7.84832417760721e-08,-0.276087681083222,0.936,0.951,0.00273647519100631,1.31843506769681e-07,0.287160521039074,0.95,0.936,0.00459698755053847
"20","Nav3",4.48209862218735e-07,-0.293501338507403,0.912,0.926,0.0156277332659806,6.1105437988803e-07,0.277809015980937,0.91,0.912,0.0213056330635559
"21","Nrgn",1.73688063651202e-14,0.641448697646843,0.772,0.59,6.05598171532648e-10,2.33422348947128e-15,-0.637178182440605,0.649,0.772,8.13873704073951e-11
"22","Ppia",1.3105370411687e-12,0.648087166430691,0.661,0.484,4.56944950144292e-08,5.43356086540303e-08,-0.44792639618877,0.552,0.661,0.00189451966694008
"23","Stmn1",1.50302722235471e-09,0.522402929465016,0.638,0.43,5.24060501618416e-05,6.51775255642498e-11,-0.526703003238015,0.448,0.638,2.2725447838487e-06
"24","Tmem267",4.73347844454095e-20,1.20873428954229,0.179,0.012,1.65042192925809e-15,3.79519727769268e-27,-1.22966984592325,0.007,0.179,1.32327143481311e-22
"25","Tmsb4x",3.06430667902664e-13,0.621389067384706,0.673,0.48,1.06843180977622e-08,1.3255258046037e-10,-0.4732717151273,0.532,0.673,4.6217108229117e-06
"26","Ubb",2.09067056652157e-07,0.451766102517432,0.601,0.443,0.00728954106429074,2.30183477919633e-11,-0.571561736201857,0.43,0.601,8.02580732462385e-07
"27","Ywhab",4.80979296861503e-09,0.590595413792004,0.331,0.176,0.0001677030514367,7.93667193546171e-07,-0.48756540234767,0.217,0.331,0.0276727940373743
"28","Ywhah",4.88490275090088e-07,0.546608603163242,0.422,0.277,0.0170321904215661,1.39511552044262e-06,-0.492786430012923,0.297,0.422,0.0486434928512729
