"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",1.79270011765763e-12,0.407044793229613,0.676,0.536,6.25060750023686e-08,1.50293060560852e-11,-0.408058466252926,0.565,0.676,5.24026814257523e-07
"2","Aldoa",8.12481105426111e-20,0.647705936303018,0.573,0.381,2.83287787028922e-15,5.75403777469806e-18,-0.598524024087551,0.384,0.573,2.00626035090397e-13
"3","Ank3",1.26961250151245e-14,-0.413750654604426,0.705,0.815,4.42675790902347e-10,1.97652109962689e-14,0.433986061199331,0.827,0.705,6.89153611806907e-10
"4","Ano4",2.83212678587292e-13,-0.379440171812593,0.721,0.797,9.87477646430312e-09,8.1739115757431e-16,0.424093413008088,0.819,0.721,2.84999774911434e-11
"5","Arl6ip1",6.84414160602292e-08,0.389326561948995,0.392,0.281,0.00238634685377201,3.13474447629285e-09,-0.417636395702393,0.268,0.392,0.000109299135654903
"6","Arpc3",1.04740524241043e-11,0.530875821959677,0.197,0.093,3.65198785871245e-07,4.80121439090029e-07,-0.39139146806391,0.116,0.197,0.016740394216752
"7","Arpp19",2.78061452657748e-10,0.438409317042716,0.259,0.144,9.69516866981771e-06,1.08725830536735e-08,-0.480046711421956,0.157,0.259,0.000379094353332434
"8","Aspa",9.6546462932138e-10,-0.350018035753618,0.699,0.776,3.36628552305485e-05,8.81966000275843e-15,0.446389578322335,0.788,0.699,3.07515085316178e-10
"9","Atp5g1",3.19801105035857e-13,0.580540649418086,0.312,0.175,1.11505051292852e-08,5.34832749725349e-08,-0.399677475618173,0.205,0.312,0.00186480134846737
"10","Atp5j",1.10032388439131e-10,0.557311330894275,0.279,0.166,3.83649928770719e-06,5.0567783753234e-07,-0.457909901499431,0.189,0.279,0.0176314691612401
"11","Atp6v0c",1.81658637856269e-20,0.589654938184319,0.745,0.58,6.33389172613455e-16,1.72091332346392e-09,-0.357714336155389,0.638,0.745,6.00030848492166e-05
"12","Atp6v1d",1.32044482459806e-12,0.610005094492956,0.29,0.163,4.60399496992607e-08,4.3234294574992e-10,-0.618229013981194,0.181,0.29,1.50745014894625e-05
"13","Atp6v1e1",1.12299316856932e-11,0.491075118852523,0.321,0.188,3.91554028085066e-07,1.13960683190385e-07,-0.440564406168808,0.219,0.321,0.00397346714079915
"14","Auts2",1.33710464410165e-19,-0.663444624625967,0.446,0.612,4.66208276258922e-15,4.34618025025341e-20,0.654134597587744,0.619,0.446,1.51538266785586e-15
"15","Baiap2",9.72852966304982e-09,0.458821467931046,0.105,0.042,0.000339204643761558,1.01122526952242e-06,-0.392309369392326,0.049,0.105,0.0352583914724383
"16","Basp1",2.70306941782994e-20,0.687167801350498,0.51,0.315,9.42479213914767e-16,1.88411160010381e-12,-0.54743763675335,0.368,0.51,6.56933191608195e-08
"17","Bbln",3.45008767783543e-11,0.577718289380843,0.251,0.138,1.20294207063088e-06,1.7372050872985e-08,-0.467002630358567,0.152,0.251,0.000605711297788369
"18","C030029H02Rik",5.44954239163138e-11,-0.481880466362868,0.485,0.599,1.90009194569011e-06,1.37460688231799e-07,0.3989960591035,0.586,0.485,0.00479284181657813
"19","C1qtnf4",2.70724655871463e-08,0.512669053191448,0.27,0.173,0.00094393565762703,8.7163135440925e-08,-0.524166319910133,0.176,0.27,0.00303911704341873
"20","Calm1",8.21401340856285e-39,0.636931473534663,0.91,0.771,2.86398005516361e-34,1.212842128372e-32,-0.587421475191198,0.799,0.91,4.22881664899466e-28
"21","Calm2",2.08202189427589e-52,0.866598054926787,0.828,0.586,7.25938573877175e-48,3.82697930260061e-36,-0.70259958579802,0.661,0.828,1.33435287343775e-31
