"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y","X.1","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","hits.in.circadian.databases"
"1","Actb",4,4.18e-18,0.509156687,0.61,0.466,1.46e-13,9e-23,-0.493442842,0.461,0.61,3.14e-18,"6",1,3.74e-11,0.454126763,0.631,0.498,1.3e-06,3.34e-12,-0.463844943,0.505,0.631,1.16e-07,"6",1,1.79e-12,0.407044793,0.676,0.536,6.25e-08,1.5e-11,-0.408058466,0.565,0.676,5.24e-07,"6"
"2","Aldoa",7,9.37e-26,0.672873146,0.56,0.382,3.27e-21,6.13e-23,-0.562467371,0.415,0.56,2.14e-18,"2",2,8.4e-18,0.725272251,0.562,0.371,2.93e-13,3.12e-14,-0.594074164,0.416,0.562,1.09e-09,"2",2,8.12e-20,0.647705936,0.573,0.381,2.83e-15,5.75e-18,-0.598524024,0.384,0.573,2.01e-13,"2"
"3","Atp6v0c",19,2.82e-28,0.596886805,0.744,0.592,9.83e-24,2.15e-16,-0.368473331,0.657,0.744,7.48e-12,"#N/A",5,4.18e-23,0.60581616,0.769,0.57,1.46e-18,5.39e-13,-0.401825883,0.639,0.769,1.88e-08,"#N/A",11,1.82e-20,0.589654938,0.745,0.58,6.33e-16,1.72e-09,-0.357714336,0.638,0.745,6e-05,"#N/A"
"4","Basp1",23,6.23e-15,0.536267166,0.47,0.347,2.17e-10,1.92e-20,-0.533883775,0.333,0.47,6.68e-16,"#N/A",6,3.64e-08,0.425470589,0.635,0.541,0.001269713,2.4e-10,-0.446913813,0.527,0.635,8.38e-06,"#N/A",16,2.7e-20,0.687167801,0.51,0.315,9.42e-16,1.88e-12,-0.547437637,0.368,0.51,6.57e-08,"#N/A"
"5","Calm1",27,7.25e-55,0.706328791,0.91,0.774,2.53e-50,1.02e-68,-0.688944643,0.775,0.91,3.54e-64,"8",11,1.65e-30,0.605049951,0.907,0.77,5.74e-26,1.46e-32,-0.596002101,0.756,0.907,5.08e-28,"8",20,8.21e-39,0.636931474,0.91,0.771,2.86e-34,1.21e-32,-0.587421475,0.799,0.91,4.23e-28,"8"
"6","Calm2",28,1.66e-52,0.802806749,0.809,0.626,5.78e-48,1.79e-46,-0.63181845,0.657,0.809,6.23e-42,"#N/A",12,1.5e-29,0.669328671,0.825,0.658,5.23e-25,1.2e-23,-0.569119635,0.69,0.825,4.17e-19,"#N/A",21,2.08e-52,0.866598055,0.828,0.586,7.26e-48,3.83e-36,-0.702599586,0.661,0.828,1.33e-31,"#N/A"
"7","Camk2n1",29,3.99e-12,0.400640339,0.507,0.377,1.39e-07,6.04e-08,-0.244293241,0.426,0.507,0.002107652,"2",13,6.19e-12,0.652448706,0.451,0.313,2.16e-07,3.99e-09,-0.516295441,0.341,0.451,0.000139218,"2",22,1.25e-09,0.42564688,0.435,0.309,4.38e-05,1.12e-07,-0.379762736,0.321,0.435,0.003902328,"2"
"8","Chchd2",34,5.02e-23,0.723479052,0.415,0.243,1.75e-18,1.68e-14,-0.473509176,0.295,0.415,5.86e-10,"#N/A",16,2.49e-12,0.645102361,0.398,0.244,8.69e-08,7.43e-08,-0.467140007,0.287,0.398,0.002591265,"#N/A",24,2.77e-15,0.635401655,0.414,0.255,9.67e-11,7.64e-09,-0.476882951,0.304,0.414,0.000266503,"#N/A"
"9","Cox4i1",36,3.19e-23,0.637111531,0.597,0.437,1.11e-18,1.91e-12,-0.379662199,0.5,0.597,6.67e-08,"1",18,1.46e-21,0.721986035,0.577,0.374,5.09e-17,1.13e-07,-0.342997578,0.475,0.577,0.003949229,"1",26,9.06e-19,0.627582931,0.601,0.424,3.16e-14,2.16e-09,-0.429469655,0.484,0.601,7.53e-05,"1"
"10","Cox8a",40,2.95e-20,0.59387926,0.538,0.379,1.03e-15,3.88e-15,-0.434437982,0.42,0.538,1.35e-10,"1",21,6.51e-13,0.577992612,0.493,0.332,2.27e-08,1.98e-08,-0.410540421,0.374,0.493,0.0006903,"1",28,1.99e-14,0.536987106,0.501,0.342,6.94e-10,1.52e-08,-0.390045202,0.386,0.501,0.000529761,"1"
"11","Ddx5",51,1.82e-09,0.307293927,0.794,0.741,6.36e-05,6.58e-10,-0.273835515,0.749,0.794,2.3e-05,"#N/A",24,2.28e-11,0.452568938,0.736,0.63,7.95e-07,3.09e-07,-0.305069377,0.657,0.736,0.010761325,"#N/A",31,1.26e-15,0.504311773,0.66,0.515,4.41e-11,8.33e-12,-0.444035267,0.548,0.66,2.9e-07,"#N/A"
"12","Dnaja1",53,5.11e-09,0.465962367,0.255,0.165,0.000178133,7.44e-15,-0.531797598,0.151,0.255,2.59e-10,"3",25,1.4e-06,0.549989671,0.226,0.14,0.048739212,2.15e-09,-0.649120797,0.13,0.226,7.49e-05,"3",33,7.56e-11,0.594218247,0.286,0.17,2.64e-06,6.27e-13,-0.676521595,0.157,0.286,2.19e-08,"3"
"13","Dynll1",56,3.52e-32,0.859188208,0.461,0.255,1.23e-27,9.45e-29,-0.710784871,0.291,0.461,3.29e-24,"6",26,4.29e-21,0.880637234,0.434,0.233,1.5e-16,1.83e-19,-0.768739613,0.254,0.434,6.39e-15,"6",36,1.97e-23,0.759711316,0.446,0.242,6.85e-19,4.52e-15,-0.601007205,0.284,0.446,1.58e-10,"6"
"14","Egr1",58,3.32e-16,0.603343094,0.137,0.043,1.16e-11,1.11e-28,-0.677284446,0.031,0.137,3.86e-24,"1",28,1.62e-12,0.794867897,0.127,0.039,5.64e-08,2.15e-21,-0.93125348,0.025,0.127,7.51e-17,"1",37,4.91e-25,0.87375289,0.154,0.031,1.71e-20,1.86e-25,-0.92142939,0.028,0.154,6.49e-21,"1"
"15","Fth1",66,6.11e-54,0.829729516,0.798,0.574,2.13e-49,2.12e-53,-0.714245704,0.607,0.798,7.39e-49,"1",32,1.2e-39,0.883750698,0.784,0.55,4.19e-35,2.45e-27,-0.669287331,0.614,0.784,8.53e-23,"1",40,6.83e-38,0.759220598,0.902,0.785,2.38e-33,1.62e-20,-0.543196592,0.812,0.902,5.63e-16,"1"
