,X,found in circadian database,X.1.x,p_val.x.x,avg_log2FC.N2 vs. N1,pct.1.x.x,pct.2.x.x,p_val_adj.x.x,p_val.y.x,avg_log2FC.y.x,pct.1.y.x,pct.2.y.x,p_val_adj.y.x,X.1.y,p_val.x.y,avg_log2FC.x.y,pct.1.x.y,pct.2.x.y,p_val_adj.x.y,p_val.y.y,avg_log2FC.y.y,pct.1.y.y,pct.2.y.y,p_val_adj.y.y,X.1.x,p_val.x.x,avg_log2FC.x.x,pct.1.x.x,pct.2.x.x,p_val_adj.x.x,p_val.y.x,avg_log2FC.y.x,pct.1.y.x,pct.2.y.x,p_val_adj.y.x,X.1.y,p_val.x.y,avg_log2FC.x.y,pct.1.x.y,pct.2.x.y,p_val_adj.x.y,p_val.y.y,avg_log2FC.y.y,pct.1.y.y,pct.2.y.y,p_val_adj.y.y,X.1.x,p_val.x.x,avg_log2FC.x.x,pct.1.x.x,pct.2.x.x,p_val_adj.x.x,p_val.y.x,avg_log2FC.y.x,pct.1.y.x,pct.2.y.x,p_val_adj.y.x,X.1.y,p_val.x.y,avg_log2FC.x.y,pct.1.x.y,pct.2.x.y,p_val_adj.x.y,p_val.y.y,avg_log2FC.y.y,pct.1.y.y,pct.2.y.y,p_val_adj.y.y
1,Actb,6,4,4.18E-18,0.509156687,0.61,0.466,1.46E-13,9.00E-23,-0.493442842,0.461,0.61,3.14E-18,86,8.43E-208,0.685126491,0.803,0.658,2.94E-203,4.39E-156,-0.543308206,0.668,0.803,1.53E-151,14,1.19E-43,0.654187026,0.762,0.607,4.16E-39,5.71E-27,-0.490914115,0.679,0.762,1.99E-22,1,3.74E-11,0.454126763,0.631,0.498,1.30E-06,3.34E-12,-0.463844943,0.505,0.631,1.16E-07,1,1.79E-12,0.407044793,0.676,0.536,6.25E-08,1.50E-11,-0.408058466,0.565,0.676,5.24E-07,1,1.13E-10,0.530293456,0.689,0.516,3.94E-06,2.33E-14,-0.640561754,0.499,0.689,8.12E-10
2,Basp1,#N/A,23,6.23E-15,0.536267166,0.47,0.347,2.17E-10,1.92E-20,-0.533883775,0.333,0.47,6.68E-16,231,1.02E-82,0.390240113,0.881,0.844,3.54E-78,2.48E-86,-0.364454933,0.831,0.881,8.65E-82,40,1.22E-25,0.472502468,0.766,0.684,4.25E-21,1.01E-24,-0.460732458,0.692,0.766,3.51E-20,6,3.64E-08,0.425470589,0.635,0.541,0.001269713,2.40E-10,-0.446913813,0.527,0.635,8.38E-06,16,2.70E-20,0.687167801,0.51,0.315,9.42E-16,1.88E-12,-0.547437637,0.368,0.51,6.57E-08,4,7.33E-07,0.461663851,0.628,0.482,0.02555325,9.68E-11,-0.573986839,0.48,0.628,3.38E-06
3,Calm1,8,27,7.25E-55,0.706328791,0.91,0.774,2.53E-50,1.02E-68,-0.688944643,0.775,0.91,3.54E-64,277,0,0.863669828,0.984,0.957,0,5.57E-237,-0.571501513,0.959,0.984,1.94E-232,50,3.96E-93,0.724446208,0.967,0.912,1.38E-88,6.20E-55,-0.529628792,0.942,0.967,2.16E-50,11,1.65E-30,0.605049951,0.907,0.77,5.74E-26,1.46E-32,-0.596002101,0.756,0.907,5.08E-28,20,8.21E-39,0.636931474,0.91,0.771,2.86E-34,1.21E-32,-0.587421475,0.799,0.91,4.23E-28,6,1.42E-16,0.593816942,0.901,0.799,4.96E-12,3.39E-25,-0.683543433,0.771,0.901,1.18E-20
4,Calm2,#N/A,28,1.66E-52,0.802806749,0.809,0.626,5.78E-48,1.79E-46,-0.63181845,0.657,0.809,6.23E-42,278,0,0.743553459,0.968,0.916,0,1.77E-229,-0.52071818,0.924,0.968,6.18E-225,51,2.52E-79,0.684820939,0.934,0.844,8.78E-75,1.14E-49,-0.53144933,0.882,0.934,3.97E-45,12,1.50E-29,0.669328671,0.825,0.658,5.23E-25,1.20E-23,-0.569119635,0.69,0.825,4.17E-19,21,2.08E-52,0.866598055,0.828,0.586,7.26E-48,3.83E-36,-0.702599586,0.661,0.828,1.33E-31,7,1.68E-25,0.771843464,0.848,0.604,5.86E-21,2.28E-20,-0.564912915,0.646,0.848,7.96E-16
5,Dynll1,6,56,3.52E-32,0.859188208,0.461,0.255,1.23E-27,9.45E-29,-0.710784871,0.291,0.461,3.29E-24,526,6.63E-147,0.611503903,0.665,0.487,2.31E-142,2.32E-109,-0.470788497,0.51,0.665,8.09E-105,78,2.43E-42,0.722471708,0.508,0.298,8.46E-38,1.56E-31,-0.650293774,0.342,0.508,5.45E-27,26,4.29E-21,0.880637234,0.434,0.233,1.50E-16,1.83E-19,-0.768739613,0.254,0.434,6.39E-15,36,1.97E-23,0.759711316,0.446,0.242,6.85E-19,4.52E-15,-0.601007205,0.284,0.446,1.58E-10,9,5.64E-08,0.613229639,0.453,0.311,0.001965758,2.92E-10,-0.630757127,0.298,0.453,1.02E-05
6,Egr1,1,58,3.32E-16,0.603343094,0.137,0.043,1.16E-11,1.11E-28,-0.677284446,0.031,0.137,3.86E-24,546,5.41E-185,0.656885093,0.412,0.187,1.89E-180,3.39E-307,-0.843700797,0.11,0.412,1.18E-302,81,1.31E-22,0.483243174,0.195,0.079,4.56E-18,1.50E-36,-0.580542845,0.05,0.195,5.24E-32,28,1.62E-12,0.794867897,0.127,0.039,5.64E-08,2.15E-21,-0.93125348,0.025,0.127,7.51E-17,37,4.91E-25,0.87375289,0.154,0.031,1.71E-20,1.86E-25,-0.92142939,0.028,0.154,6.49E-21,10,4.93E-09,0.507069425,0.142,0.037,0.000171825,2.68E-13,-0.565382231,0.028,0.142,9.34E-09
7,Fth1,1,66,6.11E-54,0.829729516,0.798,0.574,2.13E-49,2.12E-53,-0.714245704,0.607,0.798,7.39E-49,677,0,0.847968549,0.906,0.759,0,7.00E-150,-0.461066632,0.823,0.906,2.44E-145,99,5.79E-71,0.727708045,0.853,0.694,2.02E-66,3.13E-34,-0.475373734,0.782,0.853,1.09E-29,32,1.20E-39,0.883750698,0.784,0.55,4.19E-35,2.45E-27,-0.669287331,0.614,0.784,8.53E-23,40,6.83E-38,0.759220598,0.902,0.785,2.38E-33,1.62E-20,-0.543196592,0.812,0.902,5.63E-16,11,6.06E-17,0.667525485,0.745,0.549,2.11E-12,2.15E-13,-0.548655917,0.608,0.745,7.48E-09
8,Gapdh,16,67,8.94E-49,0.815254604,0.721,0.494,3.12E-44,4.17E-31,-0.52692959,0.568,0.721,1.45E-26,697,0,0.910754102,0.857,0.664,0,2.62E-121,-0.419398652,0.764,0.857,9.14E-117,105,1.94E-78,0.775828948,0.858,0.714,6.75E-74,5.48E-25,-0.409394719,0.826,0.858,1.91E-20,34,5.37E-30,0.825044566,0.671,0.443,1.87E-25,2.45E-13,-0.454055708,0.532,0.671,8.54E-09,43,6.27E-34,0.798298578,0.705,0.467,2.19E-29,5.32E-17,-0.532008222,0.548,0.705,1.86E-12,13,3.60E-23,0.887203311,0.691,0.416,1.26E-18,2.17E-13,-0.548631862,0.518,0.691,7.58E-09
9,Hsp90ab1,3,79,1.73E-31,0.618882611,0.725,0.551,6.02E-27,3.65E-36,-0.607862602,0.57,0.725,1.27E-31,954,0,0.884319311,0.924,0.818,0,1.10E-222,-0.610477225,0.834,0.924,3.85E-218,131,1.27E-65,0.658084549,0.915,0.848,4.42E-61,1.09E-32,-0.446208145,0.888,0.915,3.79E-28,38,6.52E-19,0.609599121,0.739,0.566,2.27E-14,1.44E-23,-0.652472974,0.557,0.739,5.02E-19,45,3.68E-45,0.830333558,0.812,0.61,1.28E-40,8.84E-45,-0.843334783,0.629,0.812,3.08E-40,14,1.47E-24,0.780696692,0.811,0.594,5.13E-20,1.62E-18,-0.596432429,0.643,0.811,5.64E-14
10,Hspa5,6,81,2.58E-17,0.658717818,0.302,0.164,9.01E-13,4.59E-26,-0.750094122,0.157,0.302,1.60E-21,960,3.63E-229,0.693203244,0.542,0.283,1.26E-224,2.50E-182,-0.595303789,0.309,0.542,8.71E-178,132,5.63E-36,0.619679116,0.473,0.289,1.96E-31,3.04E-27,-0.566040917,0.325,0.473,1.06E-22,39,5.46E-13,0.746089356,0.313,0.172,1.90E-08,4.12E-13,-0.692672837,0.18,0.313,1.44E-08,46,1.02E-22,0.819682471,0.331,0.152,3.55E-18,4.89E-20,-0.824477946,0.164,0.331,1.70E-15,16,3.05E-20,0.96842058,0.397,0.148,1.07E-15,2.89E-13,-0.648191768,0.207,0.397,1.01E-08
