X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
2,4930544I03Rik,1.54E-12,-0.503583657,0.114,0.215,5.37E-08,2.65E-07,0.339648355,0.18,0.114,0.009228047,#N/A
3,4932438H23Rik,3.81E-09,-0.290538896,0.035,0.09,0.000132823,8.95E-07,0.228259031,0.075,0.035,0.03119912,#N/A
22,B3galt1,2.43E-12,-0.282160124,0.858,0.899,8.48E-08,3.96E-13,0.281381035,0.881,0.858,1.38E-08,#N/A
30,Carmil1,7.77E-12,-0.402408282,0.219,0.339,2.71E-07,1.08E-06,0.260459638,0.298,0.219,0.037753632,#N/A
44,Ctso,7.49E-11,-0.405861662,0.111,0.203,2.61E-06,6.61E-13,0.394785863,0.207,0.111,2.30E-08,#N/A
47,D030055H07Rik,2.05E-12,-0.42512388,0.055,0.136,7.16E-08,7.18E-07,0.274837388,0.104,0.055,0.025043046,#N/A
48,D7Ertd443e,1.39E-06,0.220124254,0.04,0.01,0.048369688,5.76E-08,-0.206934143,0.011,0.04,0.00200663,#N/A
49,Dbp,5.40E-07,-0.298153603,0.098,0.165,0.018812116,2.74E-12,0.404147469,0.188,0.098,9.57E-08,24
68,Gldc,2.95E-08,-0.309291131,0.307,0.406,0.00103006,2.84E-07,0.275258401,0.391,0.307,0.00991306,3
69,Gm26512,5.27E-26,-0.65512474,0.198,0.388,1.84E-21,1.25E-17,0.515871569,0.335,0.198,4.35E-13,#N/A
70,Gm26843,3.20E-14,-0.505034475,0.118,0.23,1.12E-09,6.12E-10,0.385549423,0.2,0.118,2.13E-05,#N/A
74,Gpc5,2.76E-28,-0.355385301,0.85,0.896,9.61E-24,1.35E-31,0.354041042,0.843,0.85,4.71E-27,#N/A
75,Gpr158,2.19E-20,-0.648259037,0.098,0.23,7.62E-16,1.12E-07,0.309177217,0.163,0.098,0.003893675,#N/A
76,Grik1,4.04E-12,-0.496155019,0.09,0.182,1.41E-07,1.91E-08,0.375486828,0.158,0.09,0.000667638,#N/A
83,Il18,1.65E-09,-0.381073315,0.321,0.425,5.76E-05,2.01E-07,0.278016819,0.411,0.321,0.006998972,1
85,Kcnk2,2.84E-07,-0.364677291,0.252,0.346,0.009906603,9.09E-09,0.349709268,0.35,0.252,0.000317096,#N/A
86,Kcnma1,2.53E-12,-0.367541888,0.381,0.516,8.83E-08,2.39E-07,0.26223648,0.477,0.381,0.008341341,#N/A
87,Lama3,3.89E-09,-0.32975529,0.27,0.382,0.000135561,4.52E-11,0.326304052,0.387,0.27,1.58E-06,#N/A
98,Nr4a1,7.86E-07,0.268349099,0.047,0.013,0.027390437,6.30E-12,-0.291966286,0.008,0.047,2.20E-07,1
101,Ntm,1.99E-27,-0.321978,0.895,0.935,6.94E-23,1.44E-13,0.211524123,0.895,0.895,5.01E-09,#N/A
110,Phkb,1.41E-08,-0.36535671,0.379,0.484,0.000492222,8.59E-10,0.371688332,0.483,0.379,3.00E-05,#N/A
117,Rbm39,5.55E-08,-0.251534063,0.642,0.725,0.001936639,3.18E-07,0.241447651,0.714,0.642,0.011082774,4
119,Rgs7,7.02E-16,-0.397654937,0.638,0.751,2.45E-11,1.23E-10,0.307520841,0.703,0.638,4.29E-06,1
129,Sema6d,1.79E-09,-0.361748823,0.462,0.565,6.25E-05,5.60E-07,0.283373223,0.547,0.462,0.019525037,2
131,Slc1a3,1.15E-09,-0.224249959,0.893,0.923,4.00E-05,1.40E-31,0.392436681,0.935,0.893,4.89E-27,2
133,Slc30a10,1.25E-06,-0.301821698,0.214,0.299,0.043753175,6.87E-07,0.297444651,0.292,0.214,0.023959014,3
141,Swap70,8.88E-15,-0.52164224,0.128,0.243,3.10E-10,3.49E-08,0.318070115,0.203,0.128,0.001217019,#N/A
142,Syne1,1.59E-12,-0.328658807,0.72,0.797,5.56E-08,5.32E-09,0.282294282,0.757,0.72,0.000185477,6
143,Tlcd1,2.95E-09,-0.282729849,0.076,0.151,0.000103001,1.70E-07,0.239780174,0.136,0.076,0.005928336,3
151,Tubb4a,3.06E-09,0.372483236,0.164,0.085,0.000106657,5.86E-08,-0.270774865,0.099,0.164,0.00204221,#N/A
