X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
1,0610040F04Rik,9.93E-22,-0.069465449,0.033,0.071,3.46E-17,9.24E-16,0.057483716,0.065,0.033,3.22E-11,#N/A
2,1110002O04Rik,2.60E-10,-0.023958233,0.004,0.016,9.05E-06,1.12E-09,0.024560725,0.015,0.004,3.92E-05,#N/A
3,1110004F10Rik,2.49E-19,0.230857237,0.307,0.245,8.69E-15,6.92E-11,-0.191731041,0.265,0.307,2.41E-06,#N/A
4,1500015A07Rik,9.40E-07,-0.047432705,0.093,0.12,0.032762273,3.69E-08,0.051349864,0.126,0.093,0.00128595,1
5,1500015L24Rik,9.82E-16,-0.028809576,0.004,0.018,3.42E-11,3.81E-07,0.01523061,0.011,0.004,0.013295524,#N/A
6,1700016P03Rik,1.19E-37,0.323085945,0.335,0.24,4.14E-33,1.22E-142,-0.620623182,0.142,0.335,4.27E-138,#N/A
7,1700024B18Rik,6.34E-33,-0.219066908,0.393,0.493,2.21E-28,7.29E-10,0.096048609,0.457,0.393,2.54E-05,#N/A
8,1700029J07Rik,1.78E-07,-0.034396806,0.046,0.068,0.006189019,6.53E-08,0.030874445,0.07,0.046,0.002278368,#N/A
9,1700085D07Rik,5.39E-39,0.27663456,0.459,0.366,1.88E-34,3.51E-41,-0.282148044,0.364,0.459,1.22E-36,#N/A
10,1700086O06Rik,8.15E-07,-0.042093095,0.066,0.09,0.028408825,2.15E-07,0.051331032,0.092,0.066,0.00749573,#N/A
11,1810037I17Rik,1.36E-10,0.148328895,0.208,0.165,4.74E-06,6.70E-07,-0.111954143,0.176,0.208,0.023357753,#N/A
12,2010204K13Rik,1.19E-09,0.069735242,0.048,0.028,4.16E-05,4.49E-08,-0.064028051,0.029,0.048,0.001566037,1
13,2210016L21Rik,2.64E-18,0.198090046,0.295,0.232,9.22E-14,2.28E-10,-0.145132301,0.249,0.295,7.97E-06,1
15,2610316D01Rik,2.43E-10,-0.094417214,0.211,0.261,8.49E-06,6.54E-27,0.19343982,0.301,0.211,2.28E-22,#N/A
16,2700046G09Rik,3.33E-15,-0.058445916,0.03,0.059,1.16E-10,5.09E-14,0.05471765,0.059,0.03,1.78E-09,#N/A
17,2810402E24Rik,4.56E-08,-0.034295413,0.021,0.038,0.001590704,4.38E-08,0.03399834,0.039,0.021,0.001528846,#N/A
18,2810432F15Rik,8.16E-10,-0.062077118,0.085,0.118,2.84E-05,3.66E-07,0.0404632,0.115,0.085,0.012750694,#N/A
19,2900005J15Rik,2.21E-12,-0.055532914,0.046,0.076,7.70E-08,1.61E-08,0.035853628,0.071,0.046,0.000561936,#N/A
20,2900064K03Rik,5.53E-38,-0.228038996,0.374,0.479,1.93E-33,2.56E-16,0.165740179,0.448,0.374,8.94E-12,#N/A
21,3830406C13Rik,6.82E-12,-0.087954095,0.15,0.199,2.38E-07,1.01E-10,0.091732186,0.2,0.15,3.53E-06,1
22,4632427E13Rik,3.73E-21,-0.149853252,0.344,0.425,1.30E-16,5.63E-11,0.121786344,0.409,0.344,1.96E-06,1
23,4732440D04Rik,1.64E-31,0.241211327,0.304,0.222,5.71E-27,5.68E-27,-0.237700771,0.229,0.304,1.98E-22,#N/A
24,4921539H07Rik,2.11E-11,-0.08496758,0.174,0.222,7.35E-07,1.25E-15,0.112974071,0.236,0.174,4.36E-11,#N/A
25,4930426I24Rik,5.76E-18,-0.054610551,0.022,0.051,2.01E-13,4.24E-10,0.031427016,0.042,0.022,1.48E-05,#N/A
26,4930428E07Rik,1.42E-09,0.137644146,0.186,0.148,4.96E-05,1.72E-07,-0.127074839,0.153,0.186,0.005993564,#N/A
27,4930431P19Rik,3.16E-12,-0.072654621,0.079,0.116,1.10E-07,3.25E-13,0.065911267,0.12,0.079,1.13E-08,#N/A
28,4930432B10Rik,9.05E-09,-0.050205067,0.036,0.057,0.000315387,1.61E-07,0.046958263,0.056,0.036,0.005614524,#N/A
29,4930444A19Rik,9.68E-08,-0.050795146,0.049,0.072,0.003373632,2.07E-12,0.071791287,0.081,0.049,7.23E-08,#N/A
31,4930445E18Rik,3.56E-07,-0.024003635,0.01,0.021,0.012410482,2.24E-08,0.030596446,0.023,0.01,0.000779653,#N/A
32,4930478K11Rik,3.08E-08,-0.02320312,0.01,0.022,0.001073351,5.49E-08,0.02560202,0.023,0.01,0.001914124,#N/A
33,4930486F22Rik,1.90E-08,-0.038754021,0.029,0.049,0.000664059,1.92E-12,0.053903902,0.056,0.029,6.70E-08,#N/A
34,4930486I03Rik,3.04E-20,-0.056243323,0.008,0.031,1.06E-15,2.78E-09,0.028941413,0.021,0.008,9.70E-05,#N/A
36,4930505A04Rik,1.90E-13,-0.055530263,0.037,0.065,6.63E-09,8.31E-30,0.09218128,0.087,0.037,2.90E-25,#N/A
37,4930547E14Rik,5.85E-36,0.277767318,0.252,0.168,2.04E-31,1.06E-08,-0.132876285,0.214,0.252,0.000367905,#N/A
38,4930549C15Rik,1.49E-08,-0.046589091,0.073,0.102,0.000518283,4.87E-08,0.052103484,0.102,0.073,0.001696978,#N/A
39,4930570G19Rik,5.49E-07,-0.053327942,0.203,0.242,0.01915574,4.56E-13,0.105445361,0.263,0.203,1.59E-08,#N/A
40,4930578G10Rik,1.61E-30,-0.21459259,0.704,0.778,5.61E-26,4.00E-30,0.247991275,0.768,0.704,1.39E-25,2
41,4930579K19Rik,3.48E-07,-0.037922961,0.027,0.043,0.012146203,8.38E-10,0.04854879,0.048,0.027,2.92E-05,#N/A
42,4930590L20Rik,1.45E-22,-0.165205905,0.326,0.413,5.07E-18,3.58E-21,0.184257042,0.415,0.326,1.25E-16,#N/A
43,4931406C07Rik,7.62E-14,-0.064283695,0.078,0.119,2.66E-09,4.93E-13,0.06332637,0.12,0.078,1.72E-08,3
44,4932441J04Rik,2.19E-12,-0.077518653,0.062,0.095,7.62E-08,1.06E-07,0.060836565,0.088,0.062,0.00368237,#N/A
45,4933406I18Rik,5.77E-08,-0.075795072,0.465,0.519,0.002013061,3.78E-07,0.100582518,0.519,0.465,0.013195512,#N/A
46,4933424G06Rik,2.33E-13,-0.083543236,0.058,0.093,8.13E-09,9.67E-14,0.066895803,0.096,0.058,3.37E-09,#N/A
47,5330439K02Rik,3.45E-17,-0.096563893,0.103,0.154,1.20E-12,2.28E-12,0.065705908,0.148,0.103,7.96E-08,#N/A
48,5730522E02Rik,7.02E-23,-0.171664248,0.66,0.737,2.45E-18,1.09E-10,0.147450631,0.704,0.66,3.79E-06,#N/A
49,6030443J06Rik,5.96E-33,-0.169148006,0.139,0.22,2.08E-28,1.03E-27,0.155377004,0.217,0.139,3.59E-23,#N/A
50,6330415G19Rik,2.12E-09,-0.032907998,0.017,0.034,7.39E-05,7.68E-08,0.029373739,0.032,0.017,0.002677753,#N/A
51,9130017K11Rik,9.57E-21,-0.07486815,0.016,0.044,3.34E-16,1.07E-06,0.023895408,0.029,0.016,0.037208831,#N/A
52,9130024F11Rik,1.17E-46,-0.251810876,0.393,0.514,4.08E-42,9.25E-51,0.317646402,0.526,0.393,3.23E-46,#N/A
53,9330111N05Rik,1.00E-18,-0.057163469,0.009,0.03,3.50E-14,1.15E-10,0.032778755,0.024,0.009,4.02E-06,#N/A
56,9630028H03Rik,1.72E-77,-0.390377708,0.629,0.741,6.01E-73,4.04E-08,0.144444046,0.664,0.629,0.001410168,#N/A
58,A230051N06Rik,3.63E-35,-0.13291682,0.054,0.115,1.26E-30,8.80E-17,0.092120831,0.094,0.054,3.07E-12,#N/A
59,A230077H06Rik,6.92E-11,-0.065716216,0.038,0.063,2.41E-06,2.04E-07,0.048371682,0.059,0.038,0.00712553,#N/A
60,A230103L15Rik,2.21E-10,-0.093562124,0.433,0.491,7.72E-06,3.06E-09,0.112848373,0.496,0.433,0.000106586,#N/A
62,A330023F24Rik,2.99E-07,0.108781569,0.724,0.726,0.01042583,4.48E-09,-0.106822762,0.706,0.724,0.000156307,1
63,A330040F15Rik,2.20E-20,-0.107174134,0.074,0.123,7.66E-16,2.22E-16,0.090529009,0.12,0.074,7.74E-12,#N/A
