X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
1,1700087I21Rik,4.10E-07,-0.14613602,0.081,0.136,0.014301525,7.67E-07,0.134272116,0.135,0.081,0.026730091,#N/A
3,4732471J01Rik,6.52E-09,-0.173465966,0.287,0.386,0.000227458,9.45E-12,0.207451833,0.405,0.287,3.30E-07,#N/A
5,6330411D24Rik,4.38E-11,-0.309828083,0.236,0.344,1.53E-06,1.42E-06,0.2287386,0.315,0.236,0.049678705,#N/A
11,A830018L16Rik,2.14E-10,-0.384962305,0.588,0.684,7.46E-06,1.60E-12,0.350166748,0.702,0.588,5.57E-08,1
12,Ablim1,9.06E-09,-0.207082672,0.555,0.66,0.000316055,4.05E-07,0.171224286,0.665,0.555,0.01412811,1
16,Adamts17,2.22E-14,-0.358247348,0.293,0.424,7.75E-10,1.23E-10,0.300939928,0.401,0.293,4.29E-06,6
17,Adamts19,2.95E-08,0.199204723,0.025,0.002,0.001029166,2.42E-07,-0.199028195,0.003,0.025,0.008435895,#N/A
18,Aff2,1.68E-07,-0.221236683,0.437,0.536,0.005870489,5.84E-13,0.320293784,0.569,0.437,2.04E-08,1
22,Alkbh1,3.93E-07,-0.153233262,0.16,0.233,0.013709997,1.19E-06,0.120068532,0.231,0.16,0.041523905,#N/A
36,Atp8a2,6.68E-13,-0.248096627,0.5,0.634,2.33E-08,4.56E-07,0.144187234,0.604,0.5,0.015901669,#N/A
37,B230303A05Rik,7.31E-10,-0.35839613,0.341,0.438,2.55E-05,4.11E-20,0.579662626,0.48,0.341,1.43E-15,#N/A
38,B830012L14Rik,2.46E-10,-0.240649705,0.373,0.489,8.58E-06,1.24E-10,0.226192444,0.494,0.373,4.34E-06,#N/A
47,C79798,1.74E-07,0.23196262,0.06,0.023,0.006065775,3.26E-07,-0.265865883,0.024,0.06,0.011371275,#N/A
69,Cpa6,1.12E-14,0.93324263,0.066,0.013,3.91E-10,1.16E-13,-0.907005611,0.015,0.066,4.03E-09,#N/A
74,Cwc22,6.74E-10,-0.172180038,0.099,0.174,2.35E-05,4.60E-07,0.107402288,0.16,0.099,0.016052398,#N/A
79,E230016M11Rik,2.18E-18,-0.315911092,0.159,0.288,7.59E-14,2.88E-15,0.280594396,0.274,0.159,1.01E-10,#N/A
80,Egfem1,1.76E-08,-0.299210252,0.419,0.522,0.000614134,1.33E-13,0.439363585,0.539,0.419,4.63E-09,#N/A
83,ENSMUSG00000121226,2.76E-08,-0.215669371,0.168,0.245,0.000962562,1.40E-06,0.123956376,0.239,0.168,0.048771172,#N/A
84,Epb41,2.62E-11,-0.262688063,0.205,0.308,9.15E-07,7.87E-07,0.134337594,0.286,0.205,0.027448626,2
85,Epha10,1.78E-12,-0.265203048,0.205,0.312,6.19E-08,1.05E-08,0.167835509,0.299,0.205,0.000365145,#N/A
