X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
3,Ank3,1.27E-14,-0.413750655,0.705,0.815,4.43E-10,1.98E-14,0.433986061,0.827,0.705,6.89E-10,4
4,Ano4,2.83E-13,-0.379440172,0.721,0.797,9.87E-09,8.17E-16,0.424093413,0.819,0.721,2.85E-11,#N/A
8,Aspa,9.65E-10,-0.350018036,0.699,0.776,3.37E-05,8.82E-15,0.446389578,0.788,0.699,3.08E-10,2
18,C030029H02Rik,5.45E-11,-0.481880466,0.485,0.599,1.90E-06,1.37E-07,0.398996059,0.586,0.485,0.004792842,#N/A
35,Dtna,5.13E-12,-0.621788556,0.27,0.397,1.79E-07,1.49E-08,0.467720133,0.387,0.27,0.000520985,2
38,ENSMUSG00000120522,5.02E-32,-0.906714806,0.329,0.559,1.75E-27,1.46E-20,0.678180882,0.52,0.329,5.09E-16,#N/A
39,Fnbp1,1.21E-17,-0.424827426,0.745,0.822,4.21E-13,4.00E-08,0.294758599,0.792,0.745,0.001395895,1
50,Kirrel3,1.19E-19,-0.937449816,0.326,0.498,4.15E-15,6.61E-15,0.837595553,0.471,0.326,2.31E-10,#N/A
60,Mog,3.23E-09,-0.354563647,0.594,0.695,0.000112479,2.42E-11,0.403172606,0.717,0.594,8.44E-07,1
68,Npas3,1.57E-10,-0.552404414,0.388,0.499,5.49E-06,2.07E-11,0.556772977,0.521,0.388,7.20E-07,#N/A
71,Opalin,1.94E-13,-0.56937252,0.263,0.408,6.76E-09,2.96E-13,0.55085671,0.415,0.263,1.03E-08,2
73,Pcdh15,1.08E-09,-0.596896873,0.168,0.274,3.75E-05,6.38E-08,0.587758043,0.263,0.168,0.002224668,#N/A
76,Plcl1,1.98E-08,-0.247551333,0.888,0.926,0.000689446,1.99E-13,0.326293923,0.936,0.888,6.96E-09,#N/A
85,Slc13a1,7.29E-07,0.390298491,0.242,0.155,0.0254257,6.41E-09,-0.542994257,0.143,0.242,0.000223323,#N/A
86,Slc24a2,3.37E-14,-0.282186008,0.95,0.969,1.17E-09,1.61E-14,0.29979393,0.968,0.95,5.60E-10,#N/A
88,Smad7,2.62E-12,-0.686327465,0.212,0.334,9.12E-08,1.16E-06,0.456944323,0.297,0.212,0.040374139,#N/A
91,St18,4.64E-10,-0.261265056,0.886,0.93,1.62E-05,5.57E-23,0.414658009,0.944,0.886,1.94E-18,#N/A
99,Tmeff2,2.97E-08,-0.202498677,0.957,0.967,0.001035555,1.83E-26,0.4260632,0.977,0.957,6.36E-22,1
116,Zfp536,1.31E-06,-0.233235306,0.709,0.764,0.045679952,3.13E-07,0.268700008,0.787,0.709,0.010914085,#N/A
