"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"2","Astro.circadian","Astro","circadian","GO:0006091","generation of precursor metabolites and energy","18/149","465/28943",3.73222880218292e-11,3.58904303339939e-08,2.68924036189882e-08,"11674/71679/11958/103172/14004/12857/12859/12866/13063/14433/17992/68202/66218/347740/102093/20512/20617/67530",18
"10","Astro.circadian","Astro","circadian","GO:0032409","regulation of transporter activity","14/149","317/28943",1.15679707991139e-09,3.15921282523802e-07,2.36717212983974e-07,"11461/109676/11931/12313/12314/12631/14169/14225/17992/18189/11739/20617/22627/22629",14
"11","Astro.circadian","Astro","circadian","GO:0043270","positive regulation of ion transport","14/149","343/28943",3.18274787234476e-09,7.90189494488504e-07,5.92082475008442e-07,"109676/54208/11931/12313/12314/12424/12631/14169/14805/17992/18546/24012/68585/20617",14
"19","Astro.circadian","Astro","circadian","GO:0042391","regulation of membrane potential","15/149","469/28943",2.24774303398705e-08,3.23083485569402e-06,2.42083792690905e-06,"109676/11931/11951/12424/103172/14169/14805/16526/16531/18189/24012/20617/22187/22627/22629",15
"31","Astro.circadian","Astro","circadian","GO:0042026","protein refolding","5/149","24/28943",1.32766139710853e-07,1.16962686306561e-05,8.76391767734801e-06,"12955/15502/15519/14828/15481",5
"44","Astro.circadian","Astro","circadian","GO:0051651","maintenance of location in cell","10/149","232/28943",3.72465116867576e-07,2.3071475047226e-05,1.72872660840669e-05,"109676/12313/12314/103172/14225/14319/14828/20617/64009/19241",10
"51","Astro.circadian","Astro","circadian","GO:0032411","positive regulation of transporter activity","8/149","143/28943",8.0737107971827e-07,4.32339297786391e-05,3.23948272233708e-05,"109676/11931/12313/12314/12631/14169/17992/11739",8
"60","Astro.circadian","Astro","circadian","GO:0050803","regulation of synapse structure or activity","10/149","272/28943",1.58023647815186e-06,7.1754682564102e-05,5.37651922005104e-05,"227580/12631/12386/15481/72289/18189/20617/22142/22154/22631",10
"61","Astro.circadian","Astro","circadian","GO:0034764","positive regulation of transmembrane transport","10/149","273/28943",1.63317371582714e-06,7.1754682564102e-05,5.37651922005104e-05,"109676/54208/11931/12313/12314/12631/14169/17992/24012/20617",10
"73","Astro.circadian","Astro","circadian","GO:0031647","regulation of protein stability","10/149","312/28943",5.34751411970059e-06,0.000200055630971265,0.000149900035309271,"109676/11931/12955/71007/14433/15519/15516/15481/68585/20617",10
"82","Astro.circadian","Astro","circadian","GO:0051954","positive regulation of amine transport","5/149","53/28943",7.94903302625287e-06,0.000261551918008393,0.000195978696297217,"54208/12424/14805/18546/68585",5
