"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"2","Exc-neuron.circadian","Exc-neuron","circadian","GO:0022626","cytosolic ribosome","67/1757","112/28804",3.8440378504921e-52,1.37808756940142e-49,7.04065879984869e-50,"14109/58887/110954/67025/269261/67115/66480/19899/76808/19921/19933/65019/68193/19941/19942/26451/19943/19944/27367/19946/19951/68436/66489/57808/54217/19982/67281/19981/67671/67248/67891/67945/100503670/19988/19989/27176/26961/20005/56040/67186/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/66481/20088/75617/27370/78294/54127/20090/27050/20091/20102/20103/20115/20116/76846/16785/619605",67
"5","Exc-neuron.circadian","Exc-neuron","circadian","GO:0098800","inner mitochondrial membrane protein complex","65/1757","143/28804",1.40353053636146e-40,2.01266278914234e-38,1.02827079295535e-38,"69923/11946/11947/11949/66043/67126/11951/228033/71679/11957/57423/11958/66477/70257/11950/103172/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/66349/17713/93757/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/67067/67680/69029/30059/66152/66594/67530/67003/66694/66576/22272",65
"6","Exc-neuron.circadian","Exc-neuron","circadian","GO:0044391","ribosomal subunit","75/1757","201/28804",2.59333198224019e-39,3.09903171877703e-37,1.58329742073612e-37,"66077/14109/66448/107734/24030/64659/14548/70316/18148/14694/110954/67025/269261/67115/66480/19899/76808/19921/19933/65019/68193/19941/19942/26451/19943/19944/27367/19946/19951/68436/66489/57808/54217/19982/67281/19981/67671/67248/67891/67945/100503670/19988/19989/27176/26961/20005/56040/67186/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/66481/20088/75617/27370/78294/54127/20090/27050/20091/20102/20103/20115/20116/76846/16785/619605",75
"9","Exc-neuron.circadian","Exc-neuron","circadian","GO:0099572","postsynaptic specialization","106/1757","438/28804",2.16324590050934e-35,1.72338590073911e-33,8.80479033189768e-34,"11461/11496/238276/109676/11838/11840/216831/11928/11941/108100/81905/66259/320873/12569/75608/65945/12794/245684/12877/56724/12955/12386/19158/13175/13383/13385/13405/13528/68097/13631/13690/238988/20336/16592/333605/14395/14397/14432/14433/14704/14802/14809/14810/14812/108069/229279/59013/15387/26556/15481/331461/16508/56543/70530/228357/241568/216028/243499/17755/26414/17751/17920/380684/18040/246317/74513/211323/64011/18195/18479/109135/19052/18752/19122/260297/19206/19744/269261/67115/76808/19946/67671/67891/100503670/19988/19989/26961/68052/20044/20084/20085/75617/27050/68585/230863/217692/20541/67826/20616/234214/66673/27204/20977/229521/665113/22631",106
"12","Exc-neuron.circadian","Exc-neuron","circadian","GO:0005746","mitochondrial respirasome","44/1757","85/28804",5.81868693270913e-31,3.4766654422937e-29,1.77623074787963e-29,"12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/66349/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/67680/66152/66594/67530/67003/66694/66576/22272",44
"13","Exc-neuron.circadian","Exc-neuron","circadian","GO:0098803","respiratory chain complex","44/1757","87/28804",2.13797841623253e-30,1.17917732649133e-28,6.02442501092244e-29,"12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/66349/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/67680/66152/66594/67530/67003/66694/66576/22272",44
"15","Exc-neuron.circadian","Exc-neuron","circadian","GO:0070469","respirasome","45/1757","95/28804",1.81013919990414e-29,8.65246537554181e-28,4.42055046713433e-28,"12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/66349/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/102631912/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/67680/66152/66594/67530/67003/66694/66576/22272",45
"16","Exc-neuron.circadian","Exc-neuron","circadian","GO:1902495","transmembrane transporter complex","89/1757","373/28804",2.17774186392439e-29,9.75900572771116e-28,4.98588268845847e-28,"20927/243634/11928/232975/11931/11938/11951/228033/12287/12289/12290/12293/12298/81905/12313/12314/12315/12794/66797/78070/66445/13385/66349/269109/14395/14397/14802/14809/14810/14812/15512/16485/16500/98741/16508/56543/382571/80906/80334/16519/16525/110862/226922/67498/231549/243499/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/56177/58869/20190/20266/72821/53881/69029/20614/237611/22218/22065/68667/66152/66594/67530/67003/66694/66576/22272",89
"23","Exc-neuron.circadian","Exc-neuron","circadian","GO:0043197","dendritic spine","52/1757","200/28804",1.78918264536765e-19,5.57758242055914e-18,2.84959066630636e-18,"238276/11784/11838/11843/216831/76709/232975/67972/11941/108100/12307/12330/12540/12569/12631/65945/12794/56724/12955/13385/81489/13631/333605/54393/67903/14802/14810/14812/108069/15387/26556/15444/15481/16508/56543/17118/17751/17999/64011/18390/114301/327814/19045/19049/19055/19181/14083/19353/217692/20541/229521/23964",52
"25","Exc-neuron.circadian","Exc-neuron","circadian","GO:0005844","polysome","32/1757","78/28804",5.14958999980974e-19,1.47690241194543e-17,7.54550450498438e-18,"224742/239528/218490/12317/13629/13853/26443/67025/19899/76808/19921/68193/19944/19946/19951/54217/19982/67671/67248/67945/19988/19989/27176/26961/66481/75617/27370/54127/20090/27050/20102/66521",32
