"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Exc-neuron.circadian","Exc-neuron","circadian","mmu05020","Prion disease - Mus musculus (house mouse)","105/818","267/9370",6.52943023691716e-44,2.08941767581349e-41,1.5052054967209e-41,"11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12287/12289/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/13001/66445/13063/13198/13653/14810/14812/193740/15511/14828/15481/16593/26414/19094/26417/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/19055/19057/19058/19122/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/19353/20190/67680/11739/11740/20655/20867/22142/22143/22145/22151/22152/227613/22154/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335",105
"2","Exc-neuron.circadian","Exc-neuron","circadian","mmu05012","Parkinson disease - Mus musculus (house mouse)","101/818","264/9370",5.94579499952801e-41,9.51327199924482e-39,6.85331107840334e-39,"11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12313/12314/12315/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/13063/13198/14677/14683/14828/16593/26414/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/57320/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/78294/67680/11739/11740/227059/20617/20655/22142/22143/22145/22151/22152/227613/22154/22166/22187/22190/22223/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335/22433",101
"3","Exc-neuron.circadian","Exc-neuron","circadian","mmu05022","Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)","135/818","471/9370",1.56973801899421e-38,1.67438722026049e-36,1.20621974091134e-36,"11789/11820/68118/11938/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12287/12289/12313/12314/12315/12334/12569/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/93687/27373/13001/66445/13063/53598/13198/13385/240960/14365/14802/14810/14812/15461/15108/14828/16593/16653/66734/67443/26414/19094/26417/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/380684/18039/18040/57320/19055/19057/19058/18751/18752/19122/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/19353/78294/20190/67680/11739/11740/20617/20655/22065/22142/22143/22145/22151/22152/227613/22154/22187/22190/22223/66152/66594/67530/67003/66694/66576/22272/269523/22333/22334/22335/22433",135
"4","Exc-neuron.circadian","Exc-neuron","circadian","mmu00190","Oxidative phosphorylation - Mus musculus (house mouse)","67/818","135/9370",9.16218604443547e-36,7.32974883554837e-34,5.2803124835036e-34,"11946/11947/11949/66043/67126/11951/228033/71679/11957/57423/11958/11950/114143/11984/76252/11964/11966/73834/11973/66144/66290/66237/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/13063/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/67895/67680/66152/66594/67530/67003/66694/66576/22272",67
"5","Exc-neuron.circadian","Exc-neuron","circadian","mmu05010","Alzheimer disease - Mus musculus (house mouse)","116/818","383/9370",1.61758613929119e-35,1.03525512914636e-33,7.45792346325835e-34,"23797/11789/11816/11820/68118/11938/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12289/12313/12314/12315/12334/12569/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/93687/27373/13001/66445/13063/13198/14365/14433/14810/14812/15461/15108/384783/16593/16653/26414/26417/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/19055/19057/19058/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/68585/67680/11739/11740/227059/20617/22142/22143/22145/22151/22152/227613/22154/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335/22433",116
"6","Exc-neuron.circadian","Exc-neuron","circadian","mmu05014","Amyotrophic lateral sclerosis - Mus musculus (house mouse)","113/818","369/9370",4.34972170339065e-35,2.31985157514168e-33,1.67120886498693e-33,"11461/11465/68118/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/103172/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/13063/53598/13198/240960/74412/14810/14812/53379/229279/14828/16593/66734/67443/19094/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/380684/18039/18040/211323/100042150/18183/83961/18643/18645/19055/19057/19058/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/19353/67680/20655/20383/22142/22143/22145/22151/22152/227613/22154/54609/66152/66594/67530/67003/66694/66576/22272/269523/22333/22433",113
"7","Exc-neuron.circadian","Exc-neuron","circadian","mmu05016","Huntington disease - Mus musculus (house mouse)","101/818","302/9370",5.2606917467828e-35,2.40488765567214e-33,1.73246840984276e-33,"71770/11773/232910/68118/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12287/12757/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/13063/53598/13385/240960/14802/14810/14812/16593/26414/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/69833/20022/19016/26441/26442/26443/26444/19170/26446/19172/19173/19175/19181/19182/23996/19184/66997/21762/19185/67680/11739/11740/20655/20656/22142/22143/22145/22151/22152/227613/22154/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335",101
"8","Exc-neuron.circadian","Exc-neuron","circadian","mmu03010","Ribosome - Mus musculus (house mouse)","69/818","177/9370",1.11700412174071e-28,4.46801648696284e-27,3.21873556133178e-27,"14109/66448/107734/24030/64659/110954/67025/269261/67115/66480/19899/76808/19921/19933/65019/68193/19941/19942/26451/19943/19944/27367/19946/19951/68436/66489/57808/54217/19982/67281/19981/67671/67248/67891/67945/100503670/19988/19989/27176/26961/20005/56040/67186/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/66481/20088/75617/27370/78294/54127/20090/27050/20091/20102/20103/20115/20116/76846/16785",69
"9","Exc-neuron.circadian","Exc-neuron","circadian","mmu05208","Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse)","72/818","222/9370",3.72882413741392e-24,1.32580413774717e-22,9.55102322916547e-23,"23797/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/14281/14860/14866/15234/15461/16653/26414/19094/26417/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/14083/19353/67680/11739/11740/20655/20656/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335",72
"10","Exc-neuron.circadian","Exc-neuron","circadian","mmu05415","Diabetic cardiomyopathy - Mus musculus (house mouse)","69/818","211/9370",2.0376545952171e-23,6.52049470469472e-22,4.69733006686889e-22,"23797/11938/11946/11947/11949/66043/67126/11951/228033/71679/11957/11950/12857/12858/12859/12861/110323/12864/12866/66142/12867/12868/66445/14433/26414/19094/70456/54405/69875/66414/67184/17991/66091/17992/68202/67130/68375/70316/68342/104130/68198/230075/66916/67264/66218/68197/226646/595136/75406/17995/72900/18597/19045/18751/18752/19353/67680/11739/11740/66152/66594/67530/67003/66694/66576/22272/22333/22334/22335",69
