"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"2","Exc-neuron.circadian","Exc-neuron","circadian","GO:0051082","unfolded protein binding","36/1733","90/28404",9.07871920816019e-21,4.66192231339026e-18,3.34479128721691e-18,"12317/12330/12461/12462/12464/12465/12466/12468/12469/12955/15502/81489/67838/23950/17713/15519/15516/22027/193740/15511/15512/14828/15481/15528/17938/18148/18221/209586/18637/14976/56351/20394/70356/21454/67952/66435",36
"11","Exc-neuron.circadian","Exc-neuron","circadian","GO:0044325","transmembrane transporter binding","35/1733","148/28404",2.84910620909614e-12,2.66002916067431e-10,1.90849219748067e-10,"20927/60595/109676/11773/11938/12313/12314/12315/100503659/13383/269109/14167/14225/66168/26556/15516/16500/98741/56543/80906/110862/107975/19052/19122/116838/433809/20266/53881/20541/20614/22318/22333/22627/22629/22631",35
"12","Exc-neuron.circadian","Exc-neuron","circadian","GO:0009055","electron transfer activity","23/1733","69/28404",7.92730335142571e-12,6.78445045159517e-10,4.86764240877017e-10,"66885/12857/12858/12861/12864/12866/66142/12867/12868/66445/17991/66916/67264/68197/226646/75406/17995/72900/67680/66594/66694/66576/22272",23
"13","Exc-neuron.circadian","Exc-neuron","circadian","GO:0099106","ion channel regulator activity","32/1733","137/28404",3.42821394230815e-11,2.70828901442344e-09,1.94311721426373e-09,"109676/59046/381290/81905/12313/12314/12315/13383/269109/56205/14167/14169/57780/14693/108069/108073/170638/80906/80334/17999/18189/18190/18191/18751/14694/20266/72821/53881/22218/66109/22627/22629",32
"15","Exc-neuron.circadian","Exc-neuron","circadian","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","11/1733","15/28404",4.59689381736178e-11,2.99502924318034e-09,2.14884484213216e-09,"11946/11947/11949/66043/67126/71679/11957/57423/11958/11950/11964",11
"17","Exc-neuron.circadian","Exc-neuron","circadian","GO:0043021","ribonucleoprotein complex binding","36/1733","171/28404",5.10304005519421e-11,3.08283655099085e-09,2.21184398677148e-09,"224742/12261/12419/12877/432508/13001/13207/13629/20918/68969/56347/73830/22384/276770/231279/15387/14828/270035/18102/18148/19045/15469/30939/14694/66489/56040/16785/57743/66212/66870/103677/20641/107686/67332/69019/66384",36
"19","Exc-neuron.circadian","Exc-neuron","circadian","GO:0019829","ATPase-coupled cation transmembrane transporter activity","19/1733","52/28404",8.32849561783088e-11,4.5017710523749e-09,3.22988749721973e-09,"20927/11928/232975/11931/11938/67972/11941/381290/11947/67126/114143/11984/76252/11964/11966/11973/66144/66290/66237",19
"20","Exc-neuron.circadian","Exc-neuron","circadian","GO:0022804","active transmembrane transporter activity","60/1733","403/28404",1.45424620902354e-10,7.46755428333589e-09,5.35774919113937e-09,"27404/239273/20927/11928/232975/11931/11938/67972/11941/381290/11947/67126/114143/11984/76252/11964/11966/73834/11973/66144/66290/66237/12857/12858/12861/12864/12866/66142/12867/12868/66445/17991/66916/67264/68197/226646/75406/17995/72900/57738/72472/317750/18674/11739/11740/224661/224674/94229/54403/53881/20541/77031/331004/108116/338363/67952/66594/66694/66576/22272",60
"21","Exc-neuron.circadian","Exc-neuron","circadian","GO:0051087","chaperone binding","27/1733","109/28404",2.79795704856235e-10,1.36833423279692e-08,9.81739315285036e-09,"217737/11820/11928/232975/12017/70369/15502/81489/23950/100037258/14697/17713/15512/15481/15510/15528/14976/19122/56351/433809/64136/20655/70356/20867/56424/30059/21856",27
"24","Exc-neuron.circadian","Exc-neuron","circadian","GO:0050839","cell adhesion molecule binding","48/1733","308/28404",2.1674242992187e-09,9.14233359792494e-08,6.55935378316759e-08,"238276/11820/12215/12317/16007/12488/17221/16423/12520/320873/12552/320865/12569/12805/244682/53870/12876/12386/216033/20312/13405/13508/14089/14118/14158/14164/228564/14812/15289/241568/68802/58235/211323/18189/18190/268373/19045/14083/19242/19266/16785/68585/19261/27411/23964/21838/21872/21960",48
