"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097090","presynaptic membrane organization","2/17","12/28943",2.13569874894612e-05,0.0145441084803231,0.00771099653566862,"Ptprd/Apoe",2
"GO:0055094","response to lipoprotein particle","2/17","34/28943",0.0001801599115899,0.0310121006018265,0.0164419978459332,"Apoe/Hmgcs1",2
"GO:0006084","acetyl-CoA metabolic process","2/17","35/28943",0.000191012707349174,0.0310121006018265,0.0164419978459332,"Acss2/Hmgcs1",2
"GO:0071402","cellular response to lipoprotein particle stimulus","2/17","37/28943",0.000213658179096834,0.0310121006018265,0.0164419978459332,"Apoe/Hmgcs1",2
"GO:0071805","potassium ion transmembrane transport","3/17","207/28943",0.000227695305446597,0.0310121006018265,0.0164419978459332,"Kcnip4/Slc1a3/Dpp10",3
"GO:0006813","potassium ion transport","3/17","244/28943",0.00036875594192705,0.034627876882958,0.0183590103885224,"Kcnip4/Slc1a3/Dpp10",3
"GO:0050807","regulation of synapse organization","3/17","264/28943",0.00046412418149571,0.034627876882958,0.0183590103885224,"Malat1/Ptprd/Apoe",3
"GO:0050803","regulation of synapse structure or activity","3/17","272/28943",0.000506306394624,0.034627876882958,0.0183590103885224,"Malat1/Ptprd/Apoe",3
"GO:0006695","cholesterol biosynthetic process","2/17","57/28943",0.00050848571046928,0.034627876882958,0.0183590103885224,"Apoe/Hmgcs1",2
"GO:1902653","secondary alcohol biosynthetic process","2/17","57/28943",0.00050848571046928,0.034627876882958,0.0183590103885224,"Apoe/Hmgcs1",2
"GO:0016126","sterol biosynthetic process","2/17","63/28943",0.000620938355696658,0.0349221072311912,0.0185150054568337,"Apoe/Hmgcs1",2
"GO:0046394","carboxylic acid biosynthetic process","3/17","298/28943",0.000660199115473984,0.0349221072311912,0.0185150054568337,"Acss2/Ptgds/Slc1a3",3
"GO:0016053","organic acid biosynthetic process","3/17","299/28943",0.000666648155661505,0.0349221072311912,0.0185150054568337,"Acss2/Ptgds/Slc1a3",3
"GO:0030336","negative regulation of cell migration","3/17","312/28943",0.000754186734165468,0.0366857975690489,0.019450078933741,"Nrg3/Apoe/Nav3",3
"GO:2000146","negative regulation of cell motility","3/17","325/28943",0.000848755257216076,0.0385334886776099,0.0204296879456221,"Nrg3/Apoe/Nav3",3
"GO:0040013","negative regulation of locomotion","3/17","360/28943",0.00114001442821804,0.0456504842182366,0.0242029771803929,"Nrg3/Apoe/Nav3",3
"GO:0006637","acyl-CoA metabolic process","2/17","88/28943",0.00120662072823533,0.0456504842182366,0.0242029771803929,"Acss2/Hmgcs1",2
"GO:0035383","thioester metabolic process","2/17","88/28943",0.00120662072823533,0.0456504842182366,0.0242029771803929,"Acss2/Hmgcs1",2
"GO:1901379","regulation of potassium ion transmembrane transport","2/17","93/28943",0.00134614039070911,0.0482485055827843,0.0255803963442229,"Kcnip4/Dpp10",2
