"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","39/630","146/28943",2.50402295612092e-31,1.13757762896573e-27,8.57693757812365e-28,"Rplp1/Rpl23/Fau/Rps8/Rpl19/Rps3a1/Rpl28/Rps14/Rpl8/Rps24/Rpl21/Rpl11/Rpl24/Rps4x/Rps27a/Rplp2/Rpl3/Rps2/Rpl32/Rpl18a/Rpl14/Rpl26/Rpl9/Rpl7/Rps11/Rps3/Rps9/Rps10/Rps15a/Rps25/Rps23/Rps7/Rpl30/Rpl13/Rpl36a/Rps26/Rpl34/Hnrnpu/Rpl23a",39
"GO:0050808","synapse organization","54/630","496/28943",2.09571851953722e-22,4.7604246171288e-19,3.58919371714428e-19,"Tuba1a/Rab3a/Chchd10/Tubb5/Grin1/Sorbs2/Homer1/Kalrn/Arc/Sncb/Ppfibp1/Cacna1a/Pdzrn3/Gpm6a/Tnr/Lrrtm4/Arhgap44/Grm5/Clstn1/Cttnbp2/Farp1/Lgi2/Mapt/Cask/Ppp1r9a/Dgkz/Palm/Syndig1/Apoe/Nrxn2/Atp2b2/Malat1/Drp2/Ppfia3/Slitrk5/Igfn1/Srcin1/Cacnb2/Numb/Ntng2/Asic2/Nfasc/Ptprs/Abl2/Npas4/Adgrb3/Ngef/Xlr3b/Magi2/Camk1/Cntnap2/Cntn5/Sdk2/Col4a1",54
"GO:0016358","dendrite development","41/630","315/28943",4.07335162032657e-20,6.16841213704787e-17,4.65076707808514e-17,"Hecw2/Grin1/Dcx/Kalrn/Arc/Cacna1a/Fat3/Tnik/Arhgap44/D130043K22Rik/Dclk1/Cit/Iqsec1/Cux1/Farp1/Arid1b/Cask/Matn2/Ppp1r9a/Map1b/Palm/Asap1/Apoe/Phactr1/Mark1/Slitrk5/Pacsin1/Srcin1/Camk2a/Numb/Nsmf/Ptprs/Abl2/Adgrb3/Ngef/Xlr3b/Camk1/Hprt/Cntnap2/Clip1/Prkg1",41
"GO:0007409","axonogenesis","48/630","493/28943",4.96995913588702e-18,5.64463108858369e-15,4.25585448109905e-15,"Hsp90ab1/Hsp90aa1/Stmn1/Cck/Rab3a/Slit2/Atp5g1/Grin1/Dcx/Kalrn/Rpl24/Cacna1a/Mt3/Col25a1/Unc5d/Apbb2/Tnr/Golga4/Atp8a2/Ext1/D130043K22Rik/Dclk1/Lmtk2/Macf1/Sema6d/Mapt/Matn2/Map1b/Adarb1/Ece1/Apoe/Cdh4/Nin/Slitrk5/Trio/Dip2b/Enah/Numb/Ntng2/Nfasc/Ptprs/Ifrd1/Cntnap2/Epha10/Cntn5/Dst/Bmpr1b/Nr4a3",48
"GO:0050890","cognition","37/630","358/28943",5.46203782182122e-15,4.51445774539344e-12,3.40374329587688e-12,"Egr1/Cck/Csmd1/Camk2n1/Grin1/Plcb1/Kalrn/Pak5/Arc/Pde8b/Thra/Tnr/Gria1/Pak6/Dop1b/Grm5/Abcc8/Trpm4/Itga8/Camk4/Mapt/Brinp1/Adcy8/Dgki/Meis2/Apoe/Nrxn2/Kmt2a/Atp1a3/Crhr1/Ldlr/Abl2/Npas4/Adgrb3/Jakmip1/Cntnap2/Adrb1",37
"GO:0007611","learning or memory","35/630","321/28943",5.96230386800806e-15,4.51445774539344e-12,3.40374329587688e-12,"Egr1/Cck/Csmd1/Camk2n1/Grin1/Plcb1/Kalrn/Pak5/Arc/Pde8b/Thra/Tnr/Gria1/Pak6/Grm5/Abcc8/Trpm4/Itga8/Camk4/Mapt/Brinp1/Adcy8/Dgki/Meis2/Apoe/Nrxn2/Kmt2a/Atp1a3/Crhr1/Ldlr/Abl2/Npas4/Adgrb3/Cntnap2/Adrb1",35
"GO:0006091","generation of precursor metabolites and energy","41/630","465/28943",4.16676073691813e-14,2.70422771825987e-11,2.03889314856114e-11,"Gapdh/Aldoa/Cox4i1/Chchd2/Chchd10/Ndufa4/Atp5h/Pgam1/Cox5b/Uqcrb/Ndufb9/Ndufs7/Atp5j/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Mdh2/Ndufc2/Ndufa11/Uqcrfs1/Ndufb10/Ndufb11/Ndufa8/Ndufab1/Mt3/Slc4a4/Phka2/Ndufb3/Ndufa7/Oxct1/Lepr/Stk40/Ogt/Ccnb1/Slc1a3/Ppp1r1a/Plec/Adrb1/Nr4a3/Hdac4",41
"GO:0006119","oxidative phosphorylation","23/630","140/28943",4.81123557033012e-14,2.73218039950121e-11,2.05996849287555e-11,"Cox4i1/Chchd2/Chchd10/Atp5h/Cox5b/Uqcrb/Ndufb9/Ndufs7/Atp5j/Cox7a2/Ndufa13/Ndufb7/Uqcr11/Ndufc2/Ndufa11/Uqcrfs1/Ndufb10/Ndufb11/Ndufa8/Ndufab1/Ndufb3/Ndufa7/Ccnb1",23
"GO:0048813","dendrite morphogenesis","26/630","186/28943",5.67373197778204e-14,2.86397381945153e-11,2.15933612347401e-11,"Hecw2/Grin1/Dcx/Kalrn/Arc/Cacna1a/Tnik/Arhgap44/Dclk1/Cit/Cux1/Farp1/Cask/Ppp1r9a/Phactr1/Slitrk5/Srcin1/Camk2a/Numb/Nsmf/Abl2/Adgrb3/Ngef/Xlr3b/Hprt/Cntnap2",26
"GO:0007613","memory","24/630","160/28943",1.0860790002111e-13,4.93405689795905e-11,3.72010638598625e-11,"Egr1/Cck/Csmd1/Camk2n1/Grin1/Plcb1/Kalrn/Pak5/Arc/Gria1/Pak6/Abcc8/Trpm4/Itga8/Camk4/Mapt/Brinp1/Adcy8/Apoe/Atp1a3/Crhr1/Ldlr/Npas4/Adrb1",24
