"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","14/63","146/28943",1.10440652453592e-19,1.6544009737548e-16,1.12533212184291e-16,"Rpl23/Rpl3/Rps24/Rps27a/Rplp1/Rpl28/Rps4x/Rps14/Rpl32/Rpl11/Rps3a1/Rps10/Rpl21/Rps2",14
"GO:0009205","purine ribonucleoside triphosphate metabolic process","8/63","251/28943",7.34339782077928e-08,3.29732473384853e-05,2.24285738343432e-05,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0009144","purine nucleoside triphosphate metabolic process","8/63","257/28943",8.8046054308372e-08,3.29732473384853e-05,2.24285738343432e-05,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0009199","ribonucleoside triphosphate metabolic process","8/63","257/28943",8.8046054308372e-08,3.29732473384853e-05,2.24285738343432e-05,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0009141","nucleoside triphosphate metabolic process","8/63","275/28943",1.47847223298793e-07,4.42950281003184e-05,3.0129707821733e-05,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","6/63","117/28943",2.15889611296003e-07,4.85932668493204e-05,3.30533921088765e-05,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0009145","purine nucleoside triphosphate biosynthetic process","6/63","118/28943",2.27071340417385e-07,4.85932668493204e-05,3.30533921088765e-05,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0009201","ribonucleoside triphosphate biosynthetic process","6/63","122/28943",2.76670614957884e-07,5.16661602077468e-05,3.51435901068786e-05,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0010656","negative regulation of muscle cell apoptotic process","5/63","65/28943",3.1041084236964e-07,5.16661602077468e-05,3.51435901068786e-05,"Gapdh/Hspa8/Slc25a4/Naca/Npm1",5
"GO:0009142","nucleoside triphosphate biosynthetic process","6/63","132/28943",4.4063618305316e-07,6.57881416653687e-05,4.47494351289979e-05,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0031396","regulation of protein ubiquitination","7/63","218/28943",4.83090492869863e-07,6.57881416653687e-05,4.47494351289979e-05,"Ppia/Hsp90ab1/Ubb/Rpl23/Rpl11/Npm1/Rps2",7
"GO:0046034","ATP metabolic process","7/63","224/28943",5.79820295395232e-07,7.17803057919174e-05,4.88253362424117e-05,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Ndufa13/Atp5d",7
"GO:0006119","oxidative phosphorylation","6/63","140/28943",6.22926552266306e-07,7.17803057919174e-05,4.88253362424117e-05,"Cox4i1/Ndufb9/Chchd10/Atp5h/Ndufa13/Atp5d",6
"GO:0006091","generation of precursor metabolites and energy","9/63","465/28943",7.24602791826264e-07,7.75324987254102e-05,5.27380077058514e-05,"Gapdh/Aldoa/Cox4i1/Ndufb9/Ndufa4/Chchd10/Atp5h/Ndufa13/Atp5d",9
"GO:1903320","regulation of protein modification by small protein conjugation or removal","7/63","252/28943",1.27452313864739e-06,0.000127282377446253,8.65781332077666e-05,"Ppia/Hsp90ab1/Ubb/Rpl23/Rpl11/Npm1/Rps2",7
"GO:0010664","negative regulation of striated muscle cell apoptotic process","4/63","40/28943",1.75599980228596e-06,0.000164405481489023,0.000111829461092948,"Hspa8/Slc25a4/Naca/Npm1",4
"GO:0010660","regulation of muscle cell apoptotic process","5/63","103/28943",3.08765984915012e-06,0.00027207732082511,0.000185068404580639,"Gapdh/Hspa8/Slc25a4/Naca/Npm1",5
"GO:0009060","aerobic respiration","6/63","187/28943",3.35915045201906e-06,0.000274358902554178,0.000186620348304718,"Cox4i1/Ndufb9/Chchd10/Atp5h/Ndufa13/Atp5d",6
"GO:0006754","ATP biosynthetic process","5/63","106/28943",3.55653919325861e-06,0.000274358902554178,0.000186620348304718,"Aldoa/Ndufb9/Atp5h/Ndufa13/Atp5d",5
"GO:0009150","purine ribonucleotide metabolic process","8/63","425/28943",3.86921303758436e-06,0.000274358902554178,0.000186620348304718,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0010657","muscle cell apoptotic process","5/63","108/28943",3.89895855443324e-06,0.000274358902554178,0.000186620348304718,"Gapdh/Hspa8/Slc25a4/Naca/Npm1",5
"GO:0050821","protein stabilization","6/63","193/28943",4.02930297476097e-06,0.000274358902554178,0.000186620348304718,"Gapdh/Hsp90ab1/Rpl23/Rpl11/Npm1/Bag1",6
"GO:0009152","purine ribonucleotide biosynthetic process","6/63","200/28943",4.94469002066879e-06,0.000322049810911385,0.000219059951487752,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0031647","regulation of protein stability","7/63","312/28943",5.21801065409965e-06,0.000324731230918407,0.000220883867282003,"Gapdh/Hsp90ab1/Hspa8/Rpl23/Rpl11/Npm1/Bag1",7
"GO:0009259","ribonucleotide metabolic process","8/63","445/28943",5.41941306606153e-06,0.000324731230918407,0.000220883867282003,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0006163","purine nucleotide metabolic process","8/63","449/28943",5.78549969851552e-06,0.000333333790322163,0.000226735372800122,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0019693","ribose phosphate metabolic process","8/63","456/28943",6.47663952565808e-06,0.00035933355590503,0.000244420548180781,"Gapdh/Aldoa/Hspa8/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",8
"GO:0009260","ribonucleotide biosynthetic process","6/63","212/28943",6.90329418924446e-06,0.000369326239124578,0.000251217623127392,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0006164","purine nucleotide biosynthetic process","6/63","217/28943",7.88597904000356e-06,0.000407351606962942,0.000277082675525352,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0046390","ribose phosphate biosynthetic process","6/63","221/28943",8.75129046189883e-06,0.000436981103730815,0.000297236812881336,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
"GO:0072522","purine-containing compound biosynthetic process","6/63","225/28943",9.69203764253354e-06,0.000460440383416737,0.000313193936580283,"Aldoa/Ndufb9/Atp5h/Nme7/Ndufa13/Atp5d",6
