"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","2/11","61/28943",0.000237388105477355,0.0431194999075341,0.0173904012532906,"Malat1/Rbfox1",2
"GO:0000380","alternative mRNA splicing, via spliceosome","2/11","79/28943",0.000398179353005565,0.0431194999075341,0.0173904012532906,"Malat1/Rbfox1",2
"GO:1901379","regulation of potassium ion transmembrane transport","2/11","93/28943",0.000551273581162971,0.0431194999075341,0.0173904012532906,"Kcnip4/Dpp10",2
"GO:0043266","regulation of potassium ion transport","2/11","114/28943",0.000826397035572441,0.0431194999075341,0.0173904012532906,"Kcnip4/Dpp10",2
"GO:0048024","regulation of mRNA splicing, via spliceosome","2/11","116/28943",0.000855423536978751,0.0431194999075341,0.0173904012532906,"Malat1/Rbfox1",2
"GO:0050684","regulation of mRNA processing","2/11","154/28943",0.00149904903412289,0.0431194999075341,0.0173904012532906,"Malat1/Rbfox1",2
"GO:0043484","regulation of RNA splicing","2/11","187/28943",0.00219779320567697,0.0431194999075341,0.0173904012532906,"Malat1/Rbfox1",2
"GO:0071805","potassium ion transmembrane transport","2/11","207/28943",0.00268329864454886,0.0431194999075341,0.0173904012532906,"Kcnip4/Dpp10",2
"GO:0006813","potassium ion transport","2/11","244/28943",0.00370250853211334,0.0431194999075341,0.0173904012532906,"Kcnip4/Dpp10",2
"GO:0021826","substrate-independent telencephalic tangential migration","1/11","10/28943",0.00379466917889804,0.0431194999075341,0.0173904012532906,"Nrg3",1
"GO:0021843","substrate-independent telencephalic tangential interneuron migration","1/11","10/28943",0.00379466917889804,0.0431194999075341,0.0173904012532906,"Nrg3",1
"GO:0038130","ERBB4 signaling pathway","1/11","10/28943",0.00379466917889804,0.0431194999075341,0.0173904012532906,"Nrg3",1
"GO:0099545","trans-synaptic signaling by trans-synaptic complex","1/11","11/28943",0.00417341520036196,0.0431194999075341,0.0173904012532906,"Ptprd",1
