,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
1,Aacs,5.54E-08,-0.28212197,0.038,0.09,0.001932026,1.17E-07,-0.276361811,0.041,0.09,0.004062708,0
2,Acss2,4.70E-23,-0.683309252,0.234,0.41,1.64E-18,1.27E-14,-0.513365754,0.286,0.41,4.44E-10,0
3,Apoe,1.26E-08,0.216729759,0.885,0.844,0.00043974,3.52E-13,0.30092,0.908,0.844,1.23E-08,0
4,Cst3,2.49E-08,0.300735502,0.802,0.747,0.000866627,3.58E-26,0.478115434,0.866,0.747,1.25E-21,0
5,Dpp10,1.53E-07,-0.291442422,0.294,0.39,0.005317347,1.13E-09,-0.209032064,0.287,0.39,3.95E-05,0
6,Gm47283,1.74E-09,0.245139638,0.04,0.003,6.08E-05,5.67E-21,0.460146199,0.082,0.003,1.98E-16,0
7,Hmgcs1,7.17E-07,-0.331860919,0.182,0.263,0.024989078,4.44E-11,-0.464360301,0.168,0.263,1.55E-06,0
8,Kcnip4,4.07E-16,-0.483737913,0.368,0.534,1.42E-11,1.95E-14,-0.287787137,0.393,0.534,6.80E-10,0
9,Malat1,3.47E-32,-0.167063564,1,1,1.21E-27,8.54E-07,-0.073841186,1,1,0.029759223,0
10,Nav3,1.81E-07,-0.331311315,0.194,0.28,0.006304333,9.45E-07,-0.282029195,0.205,0.28,0.03293527,0
11,Nrg3,1.29E-11,-0.388170189,0.23,0.351,4.50E-07,4.25E-15,-0.393572494,0.225,0.351,1.48E-10,1
12,Pcyt2,4.91E-17,-0.56697128,0.28,0.424,1.71E-12,2.87E-18,-0.548192027,0.283,0.424,9.99E-14,0
13,Ptgds,1.03E-16,0.488002364,0.571,0.417,3.59E-12,3.93E-27,0.787783218,0.62,0.417,1.37E-22,0
14,Ptprd,1.80E-09,-0.142349345,0.555,0.67,6.27E-05,2.18E-07,-0.227433692,0.608,0.67,0.007589609,0
15,Rplp1,1.39E-16,0.605886965,0.389,0.25,4.86E-12,4.87E-07,0.37277039,0.336,0.25,0.016984014,0
16,Rps8,1.81E-16,0.570300162,0.395,0.247,6.30E-12,2.45E-07,0.340642073,0.339,0.247,0.008540351,0
17,Sgcz,6.06E-11,-0.399868404,0.095,0.185,2.11E-06,3.49E-09,-0.339191318,0.109,0.185,0.000121699,0
18,Slc1a3,1.15E-09,-0.224249959,0.893,0.923,4.00E-05,6.55E-07,0.168186722,0.935,0.923,0.022843418,0
