,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
1,1700016P03Rik,1.19E-37,0.323085945,0.335,0.24,4.14E-33,2.09E-43,-0.297537238,0.142,0.24,7.28E-39,0
2,1700024B18Rik,6.34E-33,-0.219066908,0.393,0.493,2.21E-28,4.70E-08,-0.123018299,0.457,0.493,0.001637178,0
3,4930545L23Rik,1.26E-11,-0.112102705,0.318,0.377,4.41E-07,1.90E-07,-0.083755911,0.334,0.377,0.006625002,0
4,4930547E14Rik,5.85E-36,0.277767318,0.252,0.168,2.04E-31,2.80E-10,0.144891034,0.214,0.168,9.76E-06,0
5,4930567K20Rik,1.57E-31,0.242487735,0.211,0.135,5.47E-27,3.11E-17,0.145974259,0.195,0.135,1.08E-12,0
6,5031439G07Rik,3.83E-07,-0.074526598,0.284,0.329,0.013367669,7.75E-15,-0.138619814,0.268,0.329,2.70E-10,0
7,5530401A14Rik,2.75E-16,0.178545503,0.359,0.302,9.58E-12,1.26E-10,0.129793786,0.362,0.302,4.40E-06,0
8,6330403K07Rik,1.43E-22,0.246546855,0.398,0.326,4.99E-18,6.01E-08,0.159161612,0.378,0.326,0.002095064,0
9,6330576A10Rik,8.69E-16,-0.075354382,0.022,0.049,3.03E-11,3.43E-09,-0.065627822,0.027,0.049,0.000119431,0
10,9330162G02Rik,9.66E-07,0.091759167,0.877,0.896,0.03366521,1.45E-16,0.149293734,0.879,0.896,5.05E-12,0
11,9430041J12Rik,9.46E-12,-0.058919412,0.064,0.098,3.30E-07,1.65E-07,-0.05847698,0.07,0.098,0.005749811,0
12,9630014M24Rik,3.15E-18,0.088730172,0.106,0.062,1.10E-13,1.28E-06,0.070106702,0.086,0.062,0.044555232,0
13,9630028H03Rik,1.72E-77,-0.390377708,0.629,0.741,6.01E-73,1.29E-33,-0.245933662,0.664,0.741,4.50E-29,0
14,A230057D06Rik,6.77E-24,0.213226808,0.864,0.866,2.36E-19,4.02E-41,0.28687989,0.87,0.866,1.40E-36,0
15,Abcb9,1.06E-12,-0.08004261,0.158,0.208,3.71E-08,4.87E-11,-0.09124961,0.163,0.208,1.70E-06,0
16,Abcc5,4.72E-13,-0.103050393,0.597,0.665,1.65E-08,1.59E-14,-0.114493703,0.611,0.665,5.55E-10,0
17,Abcc8,4.02E-28,-0.141076178,0.126,0.199,1.40E-23,1.03E-06,-0.077457402,0.166,0.199,0.035994314,0
18,Abi3bp,1.16E-141,-0.446708115,0.098,0.276,4.03E-137,5.06E-95,-0.404010918,0.117,0.276,1.76E-90,0
19,Abl2,1.83E-10,-0.097181005,0.365,0.423,6.39E-06,2.08E-07,-0.09015084,0.386,0.423,0.007241272,0
20,Actg1,2.70E-109,0.543631687,0.542,0.379,9.41E-105,1.52E-13,0.250837968,0.445,0.379,5.30E-09,1
21,Actn4,4.89E-07,-0.078736742,0.399,0.445,0.017044476,2.21E-24,-0.177119651,0.361,0.445,7.71E-20,0
22,Actr1b,7.84E-33,-0.162909434,0.408,0.513,2.73E-28,1.00E-14,-0.112600531,0.456,0.513,3.49E-10,0
23,Acvr1,5.23E-10,-0.090085416,0.326,0.382,1.82E-05,8.35E-07,-0.077495848,0.346,0.382,0.029115505,0
