,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
1,Aldoa,1.13E-45,0.648870799,0.744,0.594,3.93E-41,5.15E-07,0.217909592,0.675,0.594,0.017962404,0
2,Arl6ip1,1.15E-23,0.543587946,0.542,0.42,4.01E-19,2.69E-08,0.255484059,0.513,0.42,0.000936729,0
3,Atp5d,4.89E-12,0.406116792,0.372,0.278,1.71E-07,5.32E-07,0.204684134,0.362,0.278,0.018565333,0
4,Atp5h,4.32E-17,0.438154457,0.484,0.362,1.50E-12,2.94E-09,0.235007781,0.476,0.362,0.000102476,0
5,Atp6v0c,1.45E-69,0.676133576,0.912,0.82,5.05E-65,5.98E-22,0.372153598,0.893,0.82,2.08E-17,0
6,Bag1,2.83E-07,0.259875341,0.186,0.123,0.009870359,1.31E-06,0.154736754,0.19,0.123,0.045742889,0
7,Bex2,2.84E-32,0.566160116,0.633,0.482,9.91E-28,3.33E-08,0.253514008,0.578,0.482,0.001160071,0
8,Cacna1a,1.07E-21,-0.328134913,0.777,0.882,3.73E-17,2.16E-13,-0.261871097,0.829,0.882,7.52E-09,0
9,Calm1,3.96E-93,0.724446208,0.967,0.912,1.38E-88,1.90E-08,0.194817417,0.942,0.912,0.000661496,0
10,Cck,3.71E-38,0.592822883,0.667,0.479,1.29E-33,3.30E-08,0.26951527,0.589,0.479,0.001149814,0
11,Chchd10,2.80E-20,0.458042625,0.477,0.348,9.76E-16,4.81E-07,0.237147111,0.428,0.348,0.016763932,0
12,Ckb,2.63E-30,0.526897758,0.79,0.716,9.17E-26,1.90E-08,0.26408418,0.783,0.716,0.000660902,0
13,Cox4i1,1.33E-39,0.619806885,0.725,0.583,4.65E-35,5.01E-07,0.211566194,0.668,0.583,0.017463374,0
14,Cox6c,4.32E-16,0.409573389,0.48,0.368,1.51E-11,1.27E-07,0.222379324,0.463,0.368,0.004424553,0
15,Cst3,3.99E-22,0.468675152,0.65,0.541,1.39E-17,1.41E-36,0.530269424,0.732,0.541,4.92E-32,0
16,Dst,1.12E-08,-0.160467846,0.752,0.868,0.000391341,2.27E-07,-0.163285647,0.816,0.868,0.007903619,0
17,Elob,1.24E-10,0.372635314,0.332,0.245,4.34E-06,4.91E-08,0.233149917,0.335,0.245,0.001710486,0
18,Esco1,3.74E-10,-0.182978746,0.274,0.387,1.30E-05,2.38E-08,-0.232995078,0.299,0.387,0.000828566,0
19,Fth1,5.79E-71,0.727708045,0.853,0.694,2.02E-66,3.94E-10,0.252334312,0.782,0.694,1.37E-05,0
