,X,hits in databases,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y
1,Cox4i1,0,1.46E-21,0.721986035,0.577,0.374,5.09E-17,9.67E-08,0.378988456,0.475,0.374,0.003373379
2,Dpp10,0,4.61E-09,-0.507521591,0.285,0.414,0.000160574,5.79E-13,-0.476324686,0.274,0.414,2.02E-08
3,Gapdh,0,5.37E-30,0.825044566,0.671,0.443,1.87E-25,1.92E-07,0.370988858,0.532,0.443,0.006690898
4,Kcnip4,0,3.80E-13,-0.558907334,0.307,0.474,1.33E-08,2.49E-16,-0.515093983,0.314,0.474,8.69E-12
5,Malat1,0,3.49E-70,-0.303127062,1,1,1.22E-65,4.69E-23,-0.141657988,1,1,1.64E-18
6,Mir6236,0,5.43E-07,-0.491862301,0.244,0.349,0.018931006,1.99E-10,-0.499175484,0.236,0.349,6.95E-06
7,Nrg3,1,2.03E-11,-0.612053343,0.193,0.338,7.06E-07,2.08E-08,-0.384828544,0.236,0.338,0.000725793
8,Plxdc2,0,5.79E-19,-0.440765677,0.837,0.91,2.02E-14,7.52E-09,-0.245599413,0.863,0.91,0.000262067
9,Ptgds,0,2.94E-16,0.725929002,0.494,0.328,1.03E-11,2.31E-37,0.966893694,0.557,0.328,8.04E-33
10,Ptprd,0,4.07E-16,-0.666294521,0.357,0.53,1.42E-11,1.12E-17,-0.443719561,0.366,0.53,3.90E-13
11,Rbfox1,0,6.79E-08,-0.481805017,0.258,0.37,0.00236887,9.12E-11,-0.481473783,0.253,0.37,3.18E-06
12,Rplp1,0,1.52E-11,0.623072232,0.415,0.27,5.30E-07,1.18E-06,0.459851796,0.351,0.27,0.041061115
13,Sgcz,0,2.99E-08,-0.64105541,0.078,0.166,0.001042582,1.04E-07,-0.51805699,0.094,0.166,0.003633855
