,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
1,Apoe,5.06E-11,0.542043736,0.586,0.466,1.76E-06,1.97E-18,0.577957471,0.623,0.466,6.88E-14,0
2,Celf2,9.11E-13,-0.598523332,0.322,0.457,3.18E-08,3.06E-15,-0.541755879,0.324,0.457,1.07E-10,0
3,Ckb,2.49E-13,0.481590734,0.605,0.445,8.68E-09,5.14E-07,0.316916744,0.547,0.445,0.017916515,0
4,Cmss1,3.33E-07,-0.330756039,0.509,0.6,0.01162572,7.24E-32,-0.7613183,0.4,0.6,2.52E-27,0
5,Cox6a1,1.82E-15,0.695683691,0.235,0.109,6.36E-11,1.36E-06,0.346589329,0.178,0.109,0.047286444,0
6,Cst3,2.46E-08,0.468256184,0.596,0.491,0.000856504,9.50E-29,0.709648637,0.69,0.491,3.31E-24,0
7,Dpp10,2.84E-07,-0.4093424,0.319,0.411,0.009888423,5.62E-16,-0.55605526,0.274,0.411,1.96E-11,0
8,Kcnip4,9.25E-16,-0.612179235,0.307,0.46,3.23E-11,4.24E-11,-0.402290807,0.347,0.46,1.48E-06,0
9,Nrg3,1.09E-11,-0.482648976,0.2,0.337,3.81E-07,6.87E-11,-0.377618516,0.228,0.337,2.40E-06,1
10,Ptgds,1.91E-13,0.492127588,0.83,0.733,6.66E-09,2.83E-32,0.660851131,0.862,0.733,9.88E-28,0
11,Rps14,2.94E-11,0.514925234,0.283,0.159,1.03E-06,5.53E-09,0.411878496,0.259,0.159,0.000192718,0
12,Rps3,2.48E-09,0.492644091,0.21,0.115,8.66E-05,2.04E-07,0.395917668,0.189,0.115,0.007121278,0
13,Scd2,4.13E-09,0.389491348,0.703,0.614,0.000144037,1.36E-06,0.27854695,0.689,0.614,0.047302865,1
14,Sgcz,7.68E-15,-0.727552471,0.079,0.201,2.68E-10,6.53E-09,-0.475140131,0.118,0.201,0.000227842,0
15,Snhg11,1.55E-07,-0.435292381,0.319,0.414,0.005415535,3.05E-10,-0.446296667,0.309,0.414,1.06E-05,1
16,Tmeff2,2.97E-08,-0.202498677,0.957,0.967,0.001035555,2.66E-09,0.223564523,0.977,0.967,9.29E-05,1
