X.1,X,hits in databases,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
3,Atp5d,0,4.89E-12,0.406116792,0.372,0.278,1.71E-07,5.32E-07,0.204684134,0.362,0.278,0.018565333,0
6,Bag1,0,2.83E-07,0.259875341,0.186,0.123,0.009870359,1.31E-06,0.154736754,0.19,0.123,0.045742889,0
24,Hspa8,0,2.80E-38,0.552152242,0.795,0.698,9.77E-34,1.32E-10,0.25496707,0.769,0.698,4.60E-06,0
28,Naca,0,2.04E-12,0.342463444,0.373,0.272,7.11E-08,5.49E-07,0.222785219,0.355,0.272,0.019144356,0
29,Nap1l5,0,1.61E-08,0.307739852,0.638,0.601,0.000562268,1.58E-09,0.250923777,0.699,0.601,5.51E-05,0
33,Nme7,0,1.81E-16,0.399603313,0.606,0.513,6.30E-12,1.24E-06,0.23084345,0.581,0.513,0.043269403,0
34,Npm1,0,3.43E-11,0.354920252,0.405,0.315,1.19E-06,4.41E-07,0.240158367,0.4,0.315,0.015390717,0
38,Psmb6,0,1.44E-11,0.304952228,0.202,0.117,5.02E-07,1.21E-06,0.179365054,0.181,0.117,0.042062334,0
41,Rnf227,0,5.58E-08,0.297840861,0.48,0.412,0.001947234,2.67E-08,0.2441278,0.51,0.412,0.000930316,0
63,Tubb2a,0,2.55E-17,0.455210353,0.633,0.545,8.91E-13,5.30E-10,0.271631417,0.657,0.545,1.85E-05,0
