"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm1",1.91859229989262e-52,0.67964046907238,0.973,0.924,6.68955577203559e-48
"Snhg11",5.82110097567541e-50,-0.288352922641078,0.999,1,2.02964327718875e-45
"Gapdh",4.71578567208551e-48,0.766319555405861,0.889,0.743,1.64425299028606e-43
"Fth1",6.63194464292509e-45,0.663449332217247,0.866,0.696,2.31236013864869e-40
"Calm2",6.779494401447e-44,0.620947105710466,0.942,0.855,2.36380631295253e-39
"Atp6v0c",1.04267153077288e-41,0.651108698816362,0.935,0.837,3.63548282634581e-37
"Ppia",4.34895323462638e-39,0.727956926336714,0.821,0.649,1.51634952431718e-34
"Tmem267",1.14951777083175e-37,1.01539648842656,0.213,0.02,4.00802361155907e-33
"Nrgn",1.77042942713848e-34,0.672090520965356,0.815,0.649,6.17295628360373e-30
"Hsp90ab1",1.12306050894966e-33,0.597955927960597,0.925,0.877,3.91577507655477e-29
"Tmsb4x",6.47071888560947e-33,0.643129401548194,0.8,0.617,2.25614555384545e-28
"Actb",2.41859497629827e-27,0.56061411068223,0.784,0.61,8.43291510385918e-23
"Dynll1",4.93312489878875e-26,0.621146662925434,0.512,0.29,1.72003265846067e-21
"Olfm1",2.92882901328232e-25,0.536059990176378,0.747,0.586,1.02119481206115e-20
"Aldoa",6.7477318079789e-25,0.561980412474094,0.763,0.616,2.352731649488e-20
"Slc25a4",2.09630654139219e-24,0.525107849927638,0.798,0.674,7.30919201787216e-20
"Hspa5",2.14018393912021e-24,0.61024431886262,0.509,0.304,7.46217934053044e-20
"Stmn1",2.24212481714104e-24,0.578226992347344,0.751,0.59,7.81761659992568e-20
"Tuba1a",2.23998911464234e-23,0.575171625889111,0.688,0.52,7.81017004602346e-19
"Tspyl4",1.99385824015388e-22,0.600918423478714,0.722,0.597,6.95198552594454e-18
"Cck",7.17179704251276e-22,0.54152689799033,0.643,0.447,2.50059047481292e-17
"Ubb",1.13047223221862e-21,0.529867744429287,0.745,0.574,3.94161753207665e-17
"Rtn1",1.56521642737454e-20,0.420098913582896,0.947,0.917,5.4574401173268e-16
"Cox4i1",5.35531322571007e-20,0.486896084621227,0.754,0.625,1.86723706240833e-15
