"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm1",4.36632241310905e-06,0.763551507800969,0.915,0.756,0.152240563577873
"Stmn1",1.48720006806502e-05,1.06680514783468,0.646,0.389,0.518542047732229
"Atp5g1",4.79056508832544e-05,1.36081329389388,0.377,0.133,1
"Basp1",8.00362285605465e-05,1.13450987052936,0.531,0.289,1
"Airn",9.91153323273623e-05,-0.920851028402577,0.192,0.433,1
"Bex2",0.000126087362227824,1.08759530819213,0.477,0.233,1
"Prkg1",0.000216870808142097,-0.6812233202589,0.646,0.822,1
"Lmo4",0.000234664095936736,1.10200882137284,0.362,0.133,1
"Cox8a",0.000284474980610951,0.906327696020146,0.569,0.356,1
"Tle1",0.000300022974641153,-1.27213073295765,0.023,0.156,1
"Ywhaz",0.000396434340382399,1.1364656859415,0.346,0.144,1
"Psmb4",0.000401634147781844,1.28831996930556,0.154,0.011,1
"Cox5b",0.000439714384592551,1.31704323961749,0.292,0.1,1
"Snap25",0.000443913470025313,0.819560861389294,0.6,0.378,1
"Stmn2",0.000454544441807425,0.8431046816115,0.469,0.233,1
"Dpp10",0.000483545983095084,-0.83140181763943,0.246,0.478,1
"Zfp609",0.000513067161201317,-1.12545740832143,0.023,0.144,1
"Tceal9",0.000664913570034305,1.40838264179009,0.185,0.033,1
"Uqcrb",0.000794238229922808,0.948767767976925,0.231,0.056,1
"Hspa8",0.000807009947146696,0.737628962307383,0.562,0.333,1
"Glt8d1",0.00083927990771021,-1.09818946219038,0.015,0.122,1
"Rab3a",0.000921695845121832,1.04833130506782,0.354,0.156,1
"Ckb",0.0010038367300397,0.795385231937026,0.523,0.311,1
"Homer1",0.00110293336656267,1.14153506005241,0.2,0.044,1
"Atpif1",0.00116134198826293,1.05898822187999,0.369,0.178,1
"Aldoa",0.00117674124054943,0.797169357884813,0.546,0.344,1
"Ndufa7",0.00118277471835752,1.09869977062433,0.2,0.044,1
"Hsp90ab1",0.00120956945904507,0.748345254894039,0.692,0.533,1
"Cep83os",0.00121578114291715,-0.913022975177152,0.008,0.1,1
"Gstt2",0.00121581094043879,-1.04590182321812,0.008,0.1,1
"Evl",0.00124099435290269,-0.834725825347271,0.031,0.156,1
"Fam214a",0.00129515824868616,-1.1341151331556,0.023,0.133,1
"Fth1",0.00130868746712597,0.576714326759261,0.715,0.533,1
"Tbca",0.00135000244957208,1.29072618581205,0.108,0,1
"Ldlr",0.0013774677735196,-0.893708158837482,0.008,0.1,1
"Clybl",0.0014109641824275,-0.966742748486111,0.023,0.133,1
"Fkbp1a",0.00142850503649158,0.979631594224615,0.254,0.078,1
"Cct6a",0.00149275901739558,1.15174506771101,0.154,0.022,1
"Rtn4",0.00152185735817911,0.686219097057766,0.569,0.356,1
"Kcnip4",0.00156354691274548,-0.621714224707208,0.292,0.511,1
"Nrgn",0.00158236748501951,0.581819912610935,0.777,0.656,1
"Lcorl",0.00168406042488102,-1.0200600562165,0.085,0.233,1
"Chd9",0.00170368605109141,-0.891125564739309,0.108,0.278,1
"Pde4d",0.00173940846573812,-0.700868956462308,0.431,0.678,1
"Mapkap1",0.00180305394136211,-0.923828027762174,0.054,0.189,1
"Eif1",0.00190562599274039,0.773959956755316,0.531,0.322,1
"Kctd3",0.00206167918052633,1.00619114503816,0.1,0,1
"Cox5a",0.00216281659563368,0.807744256393513,0.4,0.211,1
"Ago3",0.00218463877150816,-0.980763901118016,0.031,0.144,1
"Gm1673",0.00226399483971662,1.184897131343,0.162,0.033,1
"Hint2",0.00231658970738944,-0.958246806760357,0.015,0.111,1
"Bzw1",0.00232987607154152,1.0495771216478,0.146,0.022,1
"Tpi1",0.00234135292433506,0.946949084582132,0.254,0.089,1
"Adap2os",0.00249456137737479,-1.17412072323015,0.062,0.189,1
"Chst1",0.00283073258624195,1.07137034224264,0.162,0.033,1
"Ints6",0.00284832291182155,-0.882662447393654,0.023,0.122,1
"1110004F10Rik",0.00285536264125488,1.301786833912,0.138,0.022,1
"Ap2m1",0.00320865823119581,1.00163230205566,0.215,0.067,1
"Mertk",0.00329123097887983,-0.940728508747399,0.054,0.178,1
"Zbtb20",0.00329197275604859,-0.50152013436763,0.7,0.811,1
"Bcap29",0.00330410899136957,1.18582830892305,0.115,0.011,1
"Rbm3",0.0033554630872966,1.1500023998904,0.115,0.011,1
"Egr1",0.00346772218318892,1.22749375982929,0.154,0.033,1
