"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Apoe",1.15272410537478e-09,1.08174588269827,0.519,0.244,4.01920313821025e-05
"Rps6kb2",1.48677478753011e-06,-0.671071864666264,0.024,0.122,0.0518393765168125
"Hs6st3",1.43990195918204e-05,-0.642269245682319,0.245,0.436,0.502050616108004
"Rora",5.40165365609138e-05,-0.807507745159633,0.267,0.424,1
"Ptgds",7.82924439365674e-05,0.89856515517912,0.584,0.43,1
"Rasgef1b",0.000136336093193916,-0.659135292877183,0.132,0.267,1
"Slc7a8",0.000147182387628571,-0.670952827258538,0.046,0.134,1
"Meg3",0.000245298266529053,-0.311319205780793,0.863,0.913,1
"Tspan5",0.000325725797416993,-0.550875843634071,0.291,0.442,1
"Gapdh",0.000532936032490433,0.522035967692186,0.654,0.523,1
"Heatr5b",0.00054164847276674,-0.607581911578045,0.034,0.105,1
"R3hdm1",0.000550505652206857,-0.387058370220903,0.493,0.628,1
"Snhg11",0.000603510811474133,-0.358141243668049,0.829,0.855,1
"Il1rapl2",0.000680224272607549,-0.950010102257576,0.07,0.163,1
"Dleu2",0.000710984954175089,-0.469235230038991,0.082,0.18,1
"Arntl",0.000781563462579796,-0.46819782557784,0.038,0.11,1
"Ptprn",0.000839435210697199,-0.499016345590273,0.226,0.372,1
"Mark1",0.000956898807556724,-0.51079697931908,0.072,0.163,1
"Ptprd",0.00101800229739129,-0.377571042949507,0.695,0.837,1
"Hnrnpu",0.00124873533155528,-0.424089068487794,0.226,0.36,1
"Zfyve28",0.00125654190480226,-0.625936746601898,0.067,0.151,1
"Abhd16a",0.00130862448701749,-0.378802188642906,0.036,0.105,1
"Ergic1",0.00141499679158521,-0.53726176152047,0.055,0.134,1
"Slc2a13",0.001664723521327,-0.550016630433887,0.142,0.256,1
"Rpl9",0.00168657542197667,0.571293822309337,0.368,0.233,1
"Rab3b",0.00179093922240848,-0.640824162280721,0.046,0.116,1
"Rn18s-rs5",0.0019917678125128,-0.272336167165522,0.995,1,1
"Trerf1",0.00201063112105783,-0.412407001167388,0.144,0.256,1
"Tmbim6",0.00220108180872817,-0.703561705346181,0.087,0.174,1
"Uggt2",0.00220226662104249,-0.503182382773533,0.091,0.18,1
"Arap2",0.0022298890266599,-0.514586455047029,0.087,0.174,1
"Ubc",0.00229460709242531,-0.494732525723814,0.175,0.291,1
"Fras1",0.00262506577730593,-0.591317747194625,0.062,0.14,1
"Zbtb16",0.00296402854661405,-0.651601523488175,0.053,0.122,1
"St7",0.0029988034421583,-0.276852213877497,0.058,0.134,1
"Cadps2",0.00310734380762383,-0.576715174236657,0.079,0.163,1
"Uba1",0.00312200514208195,-0.465421475375621,0.048,0.116,1
"Esyt2",0.00319014944214279,-0.347323617306224,0.12,0.221,1
"Fgf14",0.0031952158119234,-0.289024080972934,0.493,0.628,1
"Robo2",0.00322065895186061,-0.475730974891825,0.257,0.384,1
"Sel1l",0.00323729766684213,-0.500765080776342,0.084,0.169,1
"Slit2",0.00332486941437759,-0.485148919287428,0.089,0.174,1
"5031425E22Rik",0.00340955592813306,-0.381227302356127,0.079,0.163,1
"Tcf12",0.0035661262009027,-0.389902593359247,0.118,0.215,1
"Rps15a",0.0036541301842963,0.667227782730501,0.144,0.058,1
"Elapor1",0.00370489076923485,-0.478754056876938,0.065,0.14,1
"Syne1",0.00377853171713538,-0.599159402466347,0.269,0.384,1
"Clstn3",0.00421274229011186,-0.377788770827823,0.106,0.198,1
"Cd2ap",0.00421516298158766,-0.487403000167913,0.075,0.151,1
"Rangap1",0.0043228295115154,-0.309360424872522,0.072,0.151,1
"Clcn4",0.00435456712281151,-0.6472645361544,0.067,0.14,1
"Astn2",0.00454516440449164,-0.734829035509039,0.127,0.221,1
"Ank2",0.00461250706003258,-0.523786561267897,0.409,0.535,1
"Vgf",0.00475902935818989,-0.574018407366997,0.079,0.157,1
"Ube3c",0.00483523724420462,-0.47010224519592,0.055,0.122,1
"Focad",0.00524963342560318,-0.658432844694842,0.094,0.174,1
"Ptprs",0.00532639426671932,-0.467640306974982,0.228,0.343,1
"Gabra4",0.00541520417852505,-0.43290070929158,0.127,0.221,1
"Diaph2",0.00558910511813698,-0.429237111882003,0.108,0.198,1
"Tmem234",0.00569593195561056,-0.528866936710253,0.091,0.169,1
"Ccnt2",0.00570721583142514,-0.445684132403586,0.084,0.163,1
"Prkag2",0.00577898870636025,-0.429922077823808,0.111,0.198,1
"Elmo1",0.00597875318487142,-0.532063988969033,0.106,0.192,1
"Cd81",0.00613777816742837,0.603701002294644,0.238,0.14,1
"Rps3a1",0.00644492312288991,0.730086816124909,0.327,0.233,1
"Mpc2",0.00651437159218565,0.744821920846849,0.173,0.087,1
"AI593442",0.00663642828579008,-0.396878103171443,0.089,0.169,1
"Gm37340",0.00670389352526166,-0.498443302794028,0.099,0.18,1
"Fndc3a",0.00675775382197426,-0.50384220170612,0.07,0.14,1
"Pkd1",0.00677147222989302,-0.430712314186519,0.072,0.145,1
"Rpl34",0.00721928836375558,0.630771837753268,0.166,0.081,1
"Osbpl3",0.0073845336289599,-0.360985837498215,0.067,0.14,1
"Pfkp",0.00739870629448226,-0.636481469399318,0.147,0.233,1
"Ankrd12",0.00744415116316742,-0.292889212789925,0.226,0.337,1
"Atp11b",0.00747075386770334,-0.308069979662357,0.115,0.203,1
"Pds5a",0.00754898491678976,-0.652787294358035,0.067,0.134,1
"Ppp4r3a",0.00757037439740007,-0.448181569624282,0.046,0.105,1
"1700024B18Rik",0.00766833195405191,-0.510745306405916,0.05,0.11,1
"Zcchc7",0.00767801743805855,-0.568057625557226,0.202,0.308,1
"Elavl4",0.00773382759191704,-0.421050264024102,0.113,0.198,1
"Eml5",0.00791217226977695,-0.446177826599211,0.118,0.203,1
"Cst3",0.00800217072480328,0.452968957080535,0.649,0.57,1
"Gria1",0.00811161168254947,0.795229872801935,0.418,0.331,1
"Ndufb11",0.00811779355611481,0.744821363172884,0.139,0.064,1
"Srrm3",0.00825736926282443,-0.36238672200193,0.108,0.192,1
"Tpt1",0.00848520333768092,0.50664814810336,0.356,0.25,1
"Tln2",0.00887658415306577,-0.652822511308962,0.12,0.198,1
"9330162G02Rik",0.00890545779772516,-0.517084198414092,0.243,0.349,1
"Plppr4",0.00916694514253414,-0.356869210743255,0.2,0.297,1
"Ndfip2",0.00924893779749621,-0.475212209529363,0.125,0.209,1
"Calm2",0.00933296050434718,0.343293513693328,0.75,0.669,1
"Vstm2l",0.00957583690900011,-0.27362237162197,0.046,0.105,1
"Marchf6",0.00979484069659508,-0.491274795027504,0.118,0.198,1
"Ppm1l",0.0102089393360106,-0.301375793511287,0.139,0.233,1
"Plcl2",0.0104533613396042,-0.273842868475995,0.12,0.203,1
"Gm42303",0.0105374144852547,-0.495350027253729,0.055,0.116,1
"Tfrc",0.0105528073609217,-0.518089823195865,0.065,0.128,1
"mt-Nd1",0.0105704273271742,0.552496763150081,0.351,0.256,1
"Senp7",0.0108137376951648,-0.403406262868729,0.089,0.163,1
"Ubr5",0.0111612577002926,-0.628461407848446,0.089,0.157,1
"9630028H03Rik",0.011408491681875,-0.28078172002568,0.115,0.198,1
"Hnrnph3",0.0117346211125743,-0.409248683866887,0.06,0.122,1
"Tiam1",0.0117396896807227,-0.343927195755541,0.065,0.128,1
"Atl1",0.0119289595237078,-0.48295689606578,0.118,0.198,1
"Arid1a",0.0120047743402763,-0.356045554750794,0.06,0.122,1
"Hspa4",0.0120324086118592,-0.474264034312954,0.135,0.215,1
"Bc1",0.0121508512888644,-0.501057252720219,0.096,0.169,1
"Gm41505",0.0122450636788456,0.608397356024388,0.103,0.041,1
"Fat3",0.0123141315614941,-0.499344899777884,0.228,0.326,1
"Bin1",0.0123950287867607,-0.310298732955954,0.115,0.198,1
"Opa1",0.0124410879817052,-0.400773504259957,0.091,0.163,1
"Sec62",0.012486645814082,0.566197101819082,0.356,0.262,1
"Rpl5",0.0127739897399346,0.69736670565521,0.192,0.11,1
"Sub1",0.0128314620845053,0.691278361451919,0.26,0.174,1
"Wls",0.012875816181766,-0.374773412960846,0.082,0.151,1
"Vdac2",0.0132819133764106,0.622515459705714,0.204,0.122,1
"1110004F10Rik",0.0132985442829963,-0.49384589629659,0.058,0.116,1
"Fhit",0.0134758994636935,-0.450858503369636,0.053,0.11,1
"Klhl24",0.0134986805325029,-0.328502970851103,0.053,0.11,1
"Rbm5",0.0136394579742124,-0.393131889804655,0.123,0.203,1
"Atp1a3",0.0137315819129083,-0.263225427036009,0.228,0.337,1
"Agpat3",0.0138264109631325,-0.452627983090394,0.07,0.134,1
"Cdc37",0.0138768823093311,-0.299519285008574,0.06,0.122,1
"Mgat4c",0.0139881576227408,0.280278761771373,0.243,0.157,1
"Ncoa6",0.013996475028118,-0.526211479578593,0.05,0.105,1
"Elavl2",0.0140631254514287,-0.661379033469976,0.079,0.145,1
"Plcb1",0.0142960106373178,-0.310617800013852,0.397,0.506,1
"Oaz1",0.0145116991340104,-0.387668782863513,0.195,0.291,1
"Cit",0.0146433544187388,-0.358094723764752,0.118,0.198,1
"Cmss1",0.0146730241917423,-0.266958820427125,0.382,0.517,1
"Calr",0.0156274575602908,-0.32784569178298,0.161,0.25,1
"Kcnq5",0.015878928429009,-0.4019012143533,0.418,0.512,1
"Saraf",0.0159392915299802,-0.428312929633195,0.139,0.221,1
"Ildr2",0.0159965508165734,-0.506400805801481,0.118,0.192,1
"Gpatch8",0.0163119472421179,-0.36421783653254,0.24,0.331,1
"Ift20",0.0164636181338633,-0.323458257371002,0.058,0.116,1
"Rplp1",0.0165532223174584,0.458994095235961,0.365,0.262,1
"Tmeff1",0.0165540154913175,-0.446427086444367,0.089,0.157,1
"Slc24a2",0.0168099487033419,-0.355441983895146,0.291,0.401,1
"Tmem178",0.0169976878824309,-0.319539611641641,0.075,0.14,1
"Ythdc1",0.0172225784828238,-0.448734287737469,0.055,0.11,1
"Drp2",0.0172817396783853,-0.371741213079189,0.05,0.105,1
"Fmn2",0.0176489099982083,-0.260552604874923,0.137,0.221,1
"Ano3",0.0177672148869038,-0.364848467455697,0.255,0.36,1
"Ank",0.0178767785368255,-0.329312189170855,0.12,0.198,1
"B3gat1",0.0179428429045259,-0.536109360232413,0.06,0.116,1
"Slc35f3",0.0181249934863155,-0.253271586567241,0.062,0.122,1
"Nxph1",0.0182323295589668,-0.308327149495238,0.05,0.105,1
"Rnf112",0.0182523363996129,-0.280599998430185,0.156,0.244,1
"Tenm4",0.0184292929677118,-0.540441132388181,0.207,0.291,1
"Car10",0.0184452437515754,-0.270688578832344,0.315,0.448,1
"Katnip",0.018491427675198,-0.332003594223909,0.055,0.11,1
"Klhl29",0.0187674141118448,-0.3878445082961,0.147,0.227,1
"Lars2",0.0189466578579034,-0.288368383386905,0.156,0.244,1
"Mdga2",0.0192146183819724,-0.286717997522386,0.368,0.465,1
"Dnajc13",0.0192471836790424,-0.484449064286744,0.077,0.14,1
"Lrif1",0.0194847166010212,-0.288220440648007,0.05,0.105,1
"Immp2l",0.0199406757450321,-0.338299141735287,0.103,0.174,1
"Mcf2l",0.0199800976605901,-0.540084084108068,0.07,0.128,1
"Dusp3",0.0205030548250798,-0.326119497594232,0.072,0.134,1
"Rps12",0.0206551657685957,0.653522633256226,0.163,0.093,1
"Nap1l5",0.020769511519746,0.519991507889414,0.267,0.18,1
"Smap1",0.0209257820114798,-0.407236152997846,0.118,0.192,1
"Cyfip1",0.0210057152271525,-0.304691025767944,0.072,0.134,1
"Srsf1",0.0211100589942571,-0.440668345302127,0.079,0.14,1
"Snrpn",0.0212891669258192,0.542145282538822,0.368,0.285,1
"Cdh6",0.0215469354070705,-0.291729643259821,0.055,0.11,1
