"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",3.60866272322877e-79,-0.494057053514926,0.999,1,1.25823243170817e-74
"Tmem267",4.65514523443988e-33,-1.29237275599775,0.005,0.116,1.62310948889215e-28
"Calm1",1.45657918435492e-32,-0.596002101176307,0.756,0.907,5.07865464209031e-28
"Fth1",2.44698277422439e-27,-0.669287331035364,0.614,0.784,8.5318948388882e-23
"Olfm1",4.4359986661024e-26,-0.734895566522265,0.417,0.637,1.54669965490992e-21
"Calm2",1.1960874523239e-23,-0.569119634630234,0.69,0.825,4.17039812001774e-19
"Hsp90ab1",1.44091965051812e-23,-0.652472974113548,0.557,0.739,5.02405454546152e-19
"Cst3",5.48527155767071e-23,0.520723937235354,0.969,0.933,1.91254963401305e-18
"Egr1",2.15353823162202e-21,-0.931253480082715,0.025,0.127,7.50874175219649e-17
"Nrgn",6.19664255989283e-21,-0.528344320919647,0.659,0.813,2.16058336135783e-16
"Stmn1",9.39878983842157e-21,-0.62904072502011,0.422,0.628,3.27707605296245e-16
"Dynll1",1.83171534333625e-19,-0.768739613063832,0.254,0.434,6.38664188761049e-15
"Rtn1",4.73173548889187e-19,-0.485617710082014,0.672,0.813,1.64981421291193e-14
"Nav3",7.23503636011809e-18,0.579686186656644,0.759,0.62,2.52264012768237e-13
"Hsp90aa1",1.02663337286718e-15,-0.615172546886352,0.425,0.585,3.579562581176e-11
"Tmsb4x",1.62676177814274e-14,-0.433908023887382,0.662,0.77,5.67203029185028e-10
"Ppia",2.93074798062427e-14,-0.529060711162957,0.56,0.702,1.02186389840426e-09
"Aldoa",3.12241163535189e-14,-0.594074163926442,0.416,0.562,1.08869126489814e-09
"Snap25",4.13826697964234e-14,-0.551338060562043,0.443,0.577,1.44288954779189e-09
"Gapdh",2.44979629010713e-13,-0.454055708110482,0.532,0.671,8.54170472471653e-09
"Luc7l2",2.80548153068782e-13,0.56073428424633,0.494,0.34,9.78187245304922e-09
"Hspa5",4.123383303686e-13,-0.692672837272167,0.18,0.313,1.4377000564962e-08
"Arpp21",4.19501692608993e-13,-0.676443835798338,0.142,0.265,1.46267655161978e-08
"Vsnl1",4.39870397818688e-13,-0.651800571949349,0.21,0.35,1.53369611607442e-08
"Atp6v0c",5.38733159771285e-13,-0.401825883160778,0.639,0.769,1.87840090817454e-08
"Tuba1a",6.0030293597472e-13,-0.526388244163935,0.357,0.505,2.09307624686306e-08
"Bex2",1.26813125956798e-12,-0.642177568145227,0.254,0.393,4.42159326273566e-08
"Actb",3.33511808043686e-12,-0.463844943388637,0.505,0.631,1.16285562110592e-07
"Tanc2",5.21059719676901e-12,0.28062235463393,0.921,0.896,1.81677892459745e-07
"C1qa",9.56239921968125e-12,0.498961535494816,0.662,0.552,3.33412173592626e-07
"Hexb",1.31498127724333e-11,0.376085135568103,0.825,0.737,4.58494521936431e-07
"Hspa8",1.84121827307218e-11,-0.551110946536268,0.442,0.561,6.41977575272078e-07
"P2ry12",1.87828701942087e-11,0.499978234977769,0.703,0.602,6.54902335061476e-07
"Gm10790",2.41178264557277e-11,0.535379376895145,0.604,0.478,8.40916255031858e-07
"Nme1",4.92917278407756e-11,-0.684165885862408,0.152,0.265,1.71865467462432e-06
"Bc1",9.63146115817553e-11,-0.598351097101122,0.097,0.197,3.35820156202106e-06
"Tubb2a",9.96715068025225e-11,-0.536124640485626,0.246,0.378,3.47524642768355e-06
"Cox6b1",1.1702385651514e-10,-0.51717315829097,0.159,0.279,4.08027080511338e-06
"Fkbp1a",1.2027662450302e-10,-0.601869363756016,0.139,0.25,4.19368506654681e-06
"Mir99ahg",1.48779100603996e-10,0.390928885163436,0.681,0.573,5.18748090075952e-06
"C1ql3",1.53397077722344e-10,-0.664346790489605,0.171,0.283,5.34849590894497e-06
"Basp1",2.40308362893221e-10,-0.446913812549945,0.527,0.635,8.37883168899794e-06
"Elmo1",3.91379772426998e-10,0.298738787616039,0.867,0.808,1.36462385252122e-05
"Siglech",3.94408786391944e-10,0.476009174835,0.606,0.486,1.37518511551279e-05
"Stmn2",7.10012616882832e-10,-0.504578971227839,0.296,0.423,2.47560099128537e-05
"Eif1",7.79242732524839e-10,-0.490520236162273,0.372,0.491,2.71698563549436e-05
"Prkn",8.31379648433249e-10,0.534675641072232,0.443,0.311,2.89877142019221e-05
"Tgfbr1",9.44876138686199e-10,0.345179046239825,0.815,0.748,3.29449963275717e-05
"Nav2",9.52522784020204e-10,0.347695639649654,0.788,0.712,3.32116119104325e-05
"Lrmda",1.43595333905688e-09,0.472728341631,0.62,0.516,5.00673850728964e-05
"Aim2",1.62142503130696e-09,0.56921045733728,0.233,0.125,5.65342265665797e-05
"Thra",1.71262167462122e-09,-0.546023042571324,0.152,0.255,5.97139799290179e-05
"Snu13",1.7624685760344e-09,-0.548546751308621,0.069,0.151,6.14519918405913e-05
"Fhit",1.95191257765724e-09,0.605918051618826,0.386,0.264,6.80573358451748e-05
"Chgb",2.0574185848174e-09,-0.526253325479799,0.173,0.283,7.17360137968284e-05
"Calm3",2.09852437591044e-09,-0.550009737875721,0.176,0.281,7.31692494148692e-05
"Dnaja1",2.14878335959151e-09,-0.649120797406829,0.13,0.226,7.49216293988773e-05
"Cplx2",2.17542406395312e-09,-0.602566428825205,0.089,0.176,7.58505108378533e-05
"C1qb",2.18065643238777e-09,0.458449013416546,0.568,0.451,7.60329478280644e-05
"Mdh1",3.77567153700177e-09,-0.483528855990261,0.335,0.457,0.000131646339480641
"Camk2n1",3.99282197613756e-09,-0.516295440738823,0.341,0.451,0.000139217723841988
"Sub1",4.36715180194827e-09,-0.552809914896056,0.195,0.304,0.000152269481878531
"Ptms",6.31174496517261e-09,-0.512204789670975,0.199,0.307,0.000220071611700673
"Pcp4",7.11420111027726e-09,-0.545286483421069,0.276,0.393,0.000248050850112037
"Snca",7.93346338380727e-09,-0.557508849019168,0.149,0.251,0.000276616067803208
"Macf1",9.27575799657833e-09,0.354103003194531,0.672,0.569,0.000323417854066697
"Gabarapl1",1.00191304943189e-08,-0.594427802984534,0.115,0.204,0.000349337022945416
"Ctxn1",1.3512121556635e-08,-0.537927170835838,0.108,0.196,0.000471127142315194
"Ywhae",1.38691566405614e-08,-0.513729153721481,0.27,0.376,0.000483575884586454
"Hdac9",1.65154169537631e-08,0.613098847272486,0.325,0.218,0.000575843042926857
"Snrpn",1.77571565858528e-08,-0.511825904276976,0.207,0.318,0.000619138778678929
"Cox8a",1.97980830902686e-08,-0.410540420542403,0.374,0.493,0.000690299763108395
"Atp5b",2.22491185527993e-08,-0.448790782718465,0.191,0.298,0.000775760016580453
"Dynll2",2.38439670396159e-08,-0.529843825966847,0.129,0.222,0.000831367598770287
"Atp1b1",2.55444929328199e-08,-0.407681825159762,0.505,0.607,0.000890659835088631
"Rgs4",3.62858766078701e-08,-0.499193651271718,0.056,0.124,0.00126517965968661
"Cx3cl1",3.72926677736469e-08,-0.485223837799088,0.073,0.147,0.00130028344726375
"Gm13710",3.83762359178249e-08,0.578375377904635,0.122,0.049,0.0013380642177468
"Inpp5d",3.91221893264254e-08,0.346047405121496,0.724,0.644,0.00136407337524447
"Gab2",4.95347248351867e-08,0.412584122316789,0.603,0.503,0.00172712725082845
"Ltc4s",6.22608025012828e-08,0.572665631379999,0.262,0.162,0.00217084740081223
"Chchd2",7.4318539691337e-08,-0.467140007430764,0.287,0.398,0.00259126452341785
"Syn2",8.01691938281413e-08,-0.462999626228183,0.13,0.221,0.0027952592812058
"Psip1",8.25083647443384e-08,-0.429364922066167,0.188,0.289,0.00287681915354085
"Ttc9b",8.69880114100144e-08,-0.512339162129385,0.128,0.216,0.00303301099383297
"Cox4i1",1.13265518571676e-07,-0.342997578381261,0.475,0.577,0.00394922883603862
"Mdh2",1.16650319760228e-07,-0.495656663142334,0.144,0.237,0.00406724669907987
"Map7d2",1.21183222209977e-07,-0.535233084138353,0.067,0.135,0.00422529540879526
"Ccdc85b",1.42212552766566e-07,-0.521086320076017,0.096,0.172,0.00495852507731185
"Gria2",1.46897449341094e-07,-0.396185061445633,0.307,0.419,0.00512187336617592
"Cck",1.75002591557586e-07,-0.406417250978875,0.502,0.599,0.00610181535983835
"Myl6",2.34736362340862e-07,-0.48143465236508,0.197,0.292,0.00818455274573883
"Chn1",2.38077204104443e-07,-0.519590165242146,0.189,0.279,0.00830103787550961
"Cox6c",2.45303278694259e-07,-0.465640360035974,0.239,0.344,0.00855298941823272
"Rpl28",2.51230931296852e-07,-0.499953215847829,0.192,0.288,0.00875966888152736
"Ddx5",3.08639243664499e-07,-0.305069377464508,0.657,0.736,0.0107613245088501
"Lmo4",3.18615431720135e-07,-0.45661271045602,0.21,0.31,0.011109164257786
"4933406I18Rik",3.18801440155761e-07,0.459136863043904,0.578,0.495,0.0111156498139109
"Ttc3",3.23723137550537e-07,-0.379451547986612,0.411,0.506,0.0112872546369746
"Camk2d",3.42858178163931e-07,0.483604157530474,0.391,0.281,0.0119544360980418
"Ywhah",3.43192609407396e-07,-0.429368175999945,0.34,0.438,0.0119660967122077
"Stmn3",3.56225377131229e-07,-0.379257048927549,0.38,0.485,0.0124205102244346
"Atp5o.1",3.58226896604562e-07,-0.44412085390293,0.166,0.259,0.0124902972039113
"Ubb",3.65710791961611e-07,-0.369858997823356,0.415,0.526,0.0127512381833255
"Rbm39",3.85606519521187e-07,0.386688057984774,0.606,0.528,0.0134449425161452
"Ppp3r1",4.13578084358395e-07,-0.532047121152924,0.121,0.202,0.0144202270673242
"Pde3b",4.46489728090085e-07,0.28561779909885,0.669,0.569,0.015567757349317
"Uchl1",4.50398434111895e-07,-0.485027473638308,0.232,0.329,0.0157040422021795
"Hspe1",5.37013390258716e-07,-0.476879239573408,0.107,0.183,0.0187240458781507
"Ptma",5.39033833364209e-07,-0.489063505914634,0.195,0.285,0.0187944926679099
"Rab6b",5.59823740949081e-07,-0.507010320261074,0.216,0.307,0.0195193743756716
"Meis2",6.01463241894735e-07,-0.482755827590435,0.045,0.101,0.0209712188551437
"Bex3",6.03430256146227e-07,-0.449545936766979,0.129,0.212,0.0210398027410505
"Ctsd",6.36086596968282e-07,0.344829340271787,0.48,0.371,0.0221784313764931
"Tle5",6.38638904975365e-07,-0.470443180673089,0.115,0.196,0.0222674226997761
"Camk2b",6.49298055770814e-07,-0.44969307615953,0.065,0.129,0.022639075310561
"Hspd1",7.74522996883221e-07,-0.52184602139877,0.067,0.13,0.0270052933323273
"Bbln",8.90666080696898e-07,-0.467201408888024,0.149,0.233,0.0310548542356587
"Fyco1",9.31872430454016e-07,0.460838400957368,0.162,0.085,0.0324915960326402
"Gap43",9.36419627711548e-07,-0.40508739367113,0.153,0.24,0.0326501431594185
"Gpr34",1.00560889429019e-06,0.388979096970489,0.494,0.393,0.0350625653172161
"Rpl10",1.0941303519307e-06,-0.569633950917731,0.172,0.252,0.0381490429807678
"Tmcc3",1.12599219026477e-06,0.30661410317315,0.708,0.629,0.0392599696979616
"Qki",1.35400075046441e-06,0.250223014703587,0.766,0.695,0.0472099441664427
"Hsph1",1.42450999613935e-06,-0.536418395742555,0.066,0.126,0.0496683900353905
"Ppcdc",1.58700448145094e-06,0.501327582280458,0.259,0.172,0.0553340852547501
"ENSMUSG00000120941",1.70917696561369e-06,0.634210721762645,0.111,0.05,0.0595938732600525
"Homer1",1.85681035177805e-06,-0.495603246421097,0.06,0.118,0.0647414065354452
"Swi5",1.88848978873454e-06,-0.462277680409264,0.103,0.175,0.0658459734638071
"Rps8",1.90934251590991e-06,-0.351553519906797,0.307,0.41,0.0665730455022307
"Sdk1",2.09146933858282e-06,0.564047614745623,0.172,0.097,0.0729232614283673
"Tceal9",2.11189444871405e-06,-0.425386114498592,0.073,0.135,0.0736354237433128
"E230029C05Rik",2.22190561935889e-06,0.403244033925398,0.501,0.409,0.0774711832301865
