"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",2.86031105733368e-12,-0.480567825219368,1,1,9.97304656360536e-08
"Nr1d2",4.67058181743591e-10,1.51674193310877,0.358,0.044,1.62849176228538e-05
"Hspa5",2.2424169749192e-09,-1.17228693690858,0.226,0.522,7.81863526645078e-05
"Slc38a2",2.21482198994584e-07,0.462496770929535,0.972,0.947,0.00772241983234416
"Stmn1",4.58157279456012e-07,-0.79159547178851,0.406,0.664,0.0159745698627928
"Calm1",8.59641739335513e-07,-0.674912936091893,0.769,0.894,0.0299731285254113
"Slc4a10",9.90396319352583e-07,0.482278395941767,0.962,0.929,0.0345321484668665
"Pcp4",1.9510351238854e-06,-0.87989844819093,0.236,0.496,0.0680267416645122
"Ank2",2.0601195366268e-06,0.545819595303395,0.953,0.867,0.0718301878835667
"Tef",2.76318731150253e-06,1.01661843124978,0.429,0.186,0.0963440519901587
"Tmem267",3.05218964324065e-06,-1.0384068300964,0.005,0.115,0.106420696290872
"Calm2",6.91059905074249e-06,-0.815856374318267,0.665,0.814,0.240951857102238
"Aldoa",8.32567714199531e-06,-0.836468995787644,0.42,0.611,0.290291384909951
"9530026P05Rik",8.49287467518514e-06,0.880459212693627,0.675,0.46,0.29612106129968
"Ppp1r3c",1.11670833990654e-05,-0.939180004674016,0.066,0.23,0.389362696875213
"Zbtb20",1.15838967464953e-05,0.495520472982213,0.925,0.832,0.403895727860051
"Per3",1.40828327562523e-05,0.77580542784695,0.34,0.115,0.49102612971225
"Prkar1b",3.96591550104981e-05,-0.937894246384079,0.08,0.239,1
"Mill2",4.6393607247111e-05,0.859532487898089,0.373,0.15,1
"Fth1",5.9221507919626e-05,-0.603145422641613,0.642,0.805,1
"Akt3",6.63251289796683e-05,0.860802303895533,0.406,0.186,1
"Nrgn",7.12452240362363e-05,-0.679450110603213,0.703,0.788,1
"Ddx5",8.46110543905635e-05,-0.514277725095473,0.807,0.876,1
"Dnajc21",9.32091254204775e-05,-0.781680903117925,0.057,0.195,1
