"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",8.33464026667203e-123,-0.532883455525559,0.999,1,2.90603902178054e-118
"Nrgn",1.76675129486921e-65,-0.730370676323043,0.666,0.816,6.16013173982046e-61
"Tmem267",2.83254781782986e-61,-1.00841777511429,0.017,0.2,9.87624447642739e-57
"Calm1",6.19716532696005e-55,-0.529628791514092,0.942,0.967,2.16076563455116e-50
"Calm2",1.13954843629385e-49,-0.531449330404135,0.882,0.934,3.97326353282576e-45
"Meis2",1.27583456301735e-44,-2.15316041018007,0.083,0.259,4.44845237087259e-40
"Egr1",1.50326990710451e-36,-0.580542845449852,0.05,0.195,5.24145118510129e-32
"Fth1",3.12964051017928e-34,-0.475373733795793,0.782,0.853,1.09121175668421e-29
"Hsp90ab1",1.08623378831945e-32,-0.446208144919915,0.888,0.915,3.78737134973342e-28
"Nrg3",1.00433909975247e-31,0.360501553807683,0.984,0.884,3.50182913910694e-27
"Dynll1",1.56180929385725e-31,-0.650293774093445,0.342,0.508,5.44556046489206e-27
"Ppia",1.60116896251272e-28,-0.476802090243778,0.733,0.813,5.5827958215931e-24
"Snhg11",3.41605613042517e-28,0.250543709809853,0.993,0.949,1.19107629099534e-23
"Gm46102",6.70317909419771e-28,0.516099483146803,0.227,0.091,2.33719745477392e-23
"Gm47283",9.64409037343723e-28,0.326991012007753,0.24,0.095,3.36260499050636e-23
"Hspa5",3.03617631642392e-27,-0.566040916674142,0.325,0.473,1.05862359624753e-22
"Tmsb4x",3.25817473458737e-27,-0.521473821522127,0.65,0.746,1.13602778470858e-22
"Actb",5.71340830552933e-27,-0.490914114508205,0.679,0.762,1.99209407388891e-22
"Stmn1",7.45215647152814e-27,-0.516837999532008,0.631,0.733,2.59834339692772e-22
"Cmss1",1.03779532487182e-25,-0.497881258133415,0.523,0.645,3.61848095923056e-21
"Grip1",1.24706094358953e-25,0.308569303836626,0.978,0.913,4.3481273920136e-21
"Pcp4",4.32483644691581e-25,-0.584601834754781,0.307,0.459,1.50794072394614e-20
"Gapdh",5.47940833391662e-25,-0.409394718526417,0.826,0.858,1.91050530378671e-20
"Basp1",1.00722215347037e-24,-0.46073245769145,0.692,0.766,3.51188148250515e-20
"Luc7l2",2.82099955268817e-24,0.295554993867826,0.902,0.795,9.83597914035784e-20
"Tuba1a",3.29540791999407e-24,-0.480403685868429,0.592,0.691,1.14900987946433e-19
"Bc1",2.27976841080442e-23,-0.498826517032372,0.307,0.451,7.94886851795178e-19
"mt-Rnr2",9.02295460863721e-23,-0.569017439124159,0.845,0.875,3.14603358339354e-18
