"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","2610035D17Rik",1.1361505114691e-07,0.296085273326796,0.268,0.175,0.0039614159883393,0.296085273326796,0.204236640993577,-0.0623710647301732,0.247,0.268,1,-0.0623710647301732,"non-sig","#00AFBB"
"2","9330159F19Rik",8.32719276773739e-07,0.264180388847819,0.22,0.139,0.02903442302327,0.264180388847819,0.0014508640610321,-0.200781633658572,0.174,0.22,1,-0.200781633658572,"non-sig","#00AFBB"
"3","Acss2",3.73101203879997e-25,-0.7671626985397,0.254,0.41,1.30089196756839e-20,-0.7671626985397,1.88060221242124e-08,0.387166992028472,0.334,0.254,0.000655709573404912,0.387166992028472,"sig","#E7B800"
"4","Adamts20",1.06451959517746e-11,0.305391869114589,0.079,0.019,3.71166047250524e-07,0.305391869114589,0.00169452445377807,-0.138068899740751,0.051,0.079,1,-0.138068899740751,"non-sig","#00AFBB"
"5","Agmo",5.3826755928805e-10,0.417693186981776,0.427,0.31,1.87677749896965e-05,0.417693186981776,0.0704346854173701,-0.141494330037182,0.404,0.427,1,-0.141494330037182,"non-sig","#00AFBB"
"6","Akt2",1.76208115282265e-12,-0.528267924084286,0.153,0.246,6.14384835554675e-08,-0.528267924084286,3.67858072908034e-06,0.283473978261118,0.211,0.153,0.128261074280844,0.283473978261118,"non-sig","#00AFBB"
"7","Apba2",4.00172847574666e-08,-0.384582083513388,0.374,0.441,0.00139528266763859,-0.384582083513388,1.82188136304872e-05,0.269241656371294,0.432,0.374,0.635235374854196,0.269241656371294,"non-sig","#00AFBB"
"8","Apod",1.24170735593551e-06,0.586212268972116,0.22,0.149,0.0432946103794033,0.586212268972116,0.0138693422971719,-0.249480087179135,0.187,0.22,1,-0.249480087179135,"non-sig","#00AFBB"
"9","Apoe",1.8636219607731e-30,0.489946783020303,0.942,0.844,6.49789069062758e-26,0.489946783020303,2.04941477911716e-10,-0.234171054318931,0.906,0.942,7.14569451034781e-06,-0.234171054318931,"sig","#E7B800"
"10","Arglu1",3.48829168464253e-07,0.222708145021989,0.632,0.507,0.0121626266168431,0.222708145021989,0.880857772694616,0.019923801594858,0.607,0.632,1,0.019923801594858,"non-sig","#00AFBB"
"11","Asic2",7.94215953153662e-35,0.660060622244232,0.532,0.307,2.76919276386088e-30,0.660060622244232,5.74236854246422e-06,-0.289147034971052,0.469,0.532,0.2002191639701,-0.289147034971052,"non-sig","#00AFBB"
"12","Atp1a2",7.56053350707561e-11,0.302392377815051,0.92,0.877,2.63613121791205e-06,0.302392377815051,8.76722261415924e-08,-0.273018267265583,0.906,0.92,0.0030568675088789,-0.273018267265583,"sig","#E7B800"
"13","Atxn1",2.71548366131117e-07,0.296698181516024,0.431,0.328,0.00946807688189367,0.296698181516024,0.000129551359758436,-0.250243317984946,0.368,0.431,1,-0.250243317984946,"non-sig","#00AFBB"
"14","B3galt1",1.33319493274342e-06,-0.197465089388503,0.85,0.899,0.0464845077199647,-0.197465089388503,4.31164694796476e-06,0.174247865669023,0.898,0.85,0.150334194134687,0.174247865669023,"non-sig","#00AFBB"
"15","Calm1",6.42415694868489e-10,-0.28302162900096,0.723,0.774,2.23991080329796e-05,-0.28302162900096,0.504295842115844,-0.037949547452679,0.714,0.723,1,-0.037949547452679,"non-sig","#00AFBB"
"16","Calm2",2.80010695787316e-08,-0.26495639327086,0.55,0.626,0.000976313293001635,-0.26495639327086,0.012519531286461,0.114135646753883,0.592,0.55,1,0.114135646753883,"non-sig","#00AFBB"
"17","Car8",7.85741081107403e-08,-0.369700745401728,0.116,0.186,0.00273964342749718,-0.369700745401728,0.00869089508280299,0.14167022511198,0.147,0.116,1,0.14167022511198,"non-sig","#00AFBB"
"18","Ccdc85a",1.16143122428919e-06,0.329893746570322,0.389,0.299,0.0404956224972912,0.329893746570322,0.328782211352331,-0.00851316910267452,0.369,0.389,1,-0.00851316910267452,"non-sig","#00AFBB"
"19","Ccnd3",2.72581513604699e-16,0.532336988069262,0.245,0.117,9.50409963485503e-12,0.532336988069262,0.00113826424799853,-0.205643074420945,0.195,0.245,1,-0.205643074420945,"non-sig","#00AFBB"
"20","Cdh19",6.9728899435387e-27,0.73000423111169,0.514,0.326,2.43123753661364e-22,0.73000423111169,0.00818298869892737,-0.184286853019027,0.482,0.514,1,-0.184286853019027,"non-sig","#00AFBB"
"21","Cep164",1.09544071919792e-06,0.210438508737475,0.094,0.043,0.0381947315562739,0.210438508737475,0.00472116315815245,-0.161514848454853,0.066,0.094,1,-0.161514848454853,"non-sig","#00AFBB"
"22","Clk1",8.23379014157335e-07,0.254046408399211,0.383,0.282,0.0287087560866238,0.254046408399211,0.00152414687739322,-0.192862572217361,0.329,0.383,1,-0.192862572217361,"non-sig","#00AFBB"
"23","Cmss1",5.82399200295111e-10,-0.335126785432479,0.512,0.595,2.03065129166896e-05,-0.335126785432479,0.00091273165426773,-0.191563310224031,0.463,0.512,1,-0.191563310224031,"non-sig","#00AFBB"
"24","Coq10b",5.6409848455364e-08,0.227118736620568,0.121,0.057,0.00196684218609318,0.227118736620568,0.0107015478750849,-0.0882053224827138,0.092,0.121,1,-0.0882053224827138,"non-sig","#00AFBB"
"25","Crlf3",1.09053117062152e-06,0.276836179794929,0.45,0.343,0.0380235503260607,0.276836179794929,0.102322782088307,-0.106933030587577,0.419,0.45,1,-0.106933030587577,"non-sig","#00AFBB"
"26","Cst3",8.77444801550541e-17,0.417352458202381,0.853,0.747,3.05938678956627e-12,0.417352458202381,0.586689002972818,-0.0430477651437311,0.856,0.853,1,-0.0430477651437311,"non-sig","#00AFBB"
"27","Cyp51",4.95531689910223e-11,-0.467487334395525,0.137,0.227,1.72777034320997e-06,-0.467487334395525,0.0452153985007504,0.127420684374362,0.161,0.137,1,0.127420684374362,"non-sig","#00AFBB"
"28","Echdc2",5.55863424364076e-20,0.548978566727436,0.173,0.055,1.93812900173022e-15,0.548978566727436,1.21019517246884e-13,-0.425258302327314,0.083,0.173,4.2195875078471e-09,-0.425258302327314,"sig","#E7B800"
"29","Eci2",5.10673874539299e-07,0.252868779377561,0.271,0.181,0.0178056659835617,0.252868779377561,0.000143259416382824,-0.222272118805531,0.21,0.271,1,-0.222272118805531,"non-sig","#00AFBB"
"30","Erc1",8.18895989094935e-07,0.253668577154747,0.381,0.282,0.0285524464517731,0.253668577154747,0.235594178763353,0.0721216274222616,0.406,0.381,1,0.0721216274222616,"non-sig","#00AFBB"
"31","Etnppl",7.27971659346264e-33,0.878710680696399,0.238,0.066,2.53821878464262e-28,0.878710680696399,0.000689782443866838,-0.261879752789554,0.191,0.238,1,-0.261879752789554,"non-sig","#00AFBB"
"32","Fam184a",4.20148971376051e-10,0.386488126208502,0.465,0.343,1.46493341849688e-05,0.386488126208502,0.137434464244771,-0.103806689916458,0.44,0.465,1,-0.103806689916458,"non-sig","#00AFBB"
"33","Fgf13",9.27916997151452e-10,0.463244206536329,0.45,0.339,3.23536819396797e-05,0.463244206536329,0.576074855366858,-0.0732351699121701,0.444,0.45,1,-0.0732351699121701,"non-sig","#00AFBB"
"34","Fkbp5",9.62731508568591e-13,0.458452028439664,0.08,0.017,3.35675595092611e-08,0.458452028439664,0.000192597024645214,-0.255370134809528,0.047,0.08,1,-0.255370134809528,"non-sig","#00AFBB"
"35","Galnt18",8.69815131434845e-18,0.548377601597302,0.272,0.131,3.03278441877387e-13,0.548377601597302,0.0125688044633849,-0.184341223917177,0.233,0.272,1,-0.184341223917177,"non-sig","#00AFBB"
"36","Gm11417",1.74973236783332e-13,0.347978284798228,0.1,0.027,6.10079184692444e-09,0.347978284798228,0.00181941514956149,-0.146316216826786,0.069,0.1,1,-0.146316216826786,"non-sig","#00AFBB"
"37","Gm20713",2.99315980132964e-09,-0.251609278147856,0.748,0.817,0.00010436250279296,-0.251609278147856,8.41520695383685e-07,0.191183642882384,0.803,0.748,0.0293413020859429,0.191183642882384,"sig","#E7B800"
"38","Gm29683",1.52092838957021e-09,0.685006542577835,0.088,0.031,5.30302101591446e-05,0.685006542577835,4.83620363197004e-06,-0.388278084314095,0.046,0.088,0.168623912035899,-0.388278084314095,"non-sig","#00AFBB"
