"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","1700111E14Rik",1.09537835074831e-07,0.371703667805077,0.376,0.304,0.00381925569555413,0.371703667805077,0.0789177445897719,-0.247235349420765,0.371,0.376,1,-0.247235349420765,"non-sig","#00AFBB"
"2","2210408F21Rik",5.92672133459492e-07,-0.172481053808903,0.439,0.509,0.0206646992773321,-0.172481053808903,3.07333672120513e-08,0.20101975117083,0.531,0.439,0.00107158031458259,0.20101975117083,"sig","#E7B800"
"3","2900079G21Rik",4.5832783525693e-20,0.446934103573549,0.095,0.02,1.59805166319034e-15,0.446934103573549,1.28446246148088e-16,-0.386678730746834,0.026,0.095,4.4785352644454e-12,-0.386678730746834,"sig","#E7B800"
"4","4930428E07Rik",4.1522850802004e-07,0.228166750880788,0.097,0.052,0.0144777723891347,0.228166750880788,1.0143026176382e-07,-0.249663346818211,0.05,0.097,0.0035365689369191,-0.249663346818211,"sig","#E7B800"
"5","4930445B16Rik",2.83975008083608e-10,-0.28611627702004,0.245,0.336,9.90135660685116e-06,-0.28611627702004,4.86981771100167e-08,0.165771653450094,0.331,0.245,0.00169795934129495,0.165771653450094,"sig","#E7B800"
"6","4930555F03Rik",1.66154719751175e-11,0.612102144918483,0.218,0.136,5.79331661356423e-07,0.612102144918483,1.62500142425777e-09,-0.548939967790779,0.145,0.218,5.66589246595957e-05,-0.548939967790779,"sig","#E7B800"
"7","6330411D24Rik",1.8584066175151e-10,-0.429696114341872,0.256,0.344,6.47970635328989e-06,-0.429696114341872,8.59867394005557e-09,0.464301187766944,0.331,0.256,0.000299809964267918,0.464301187766944,"sig","#E7B800"
"8","9330158H04Rik",1.90191198145408e-08,0.190429981422011,0.059,0.021,0.000663139650573593,0.190429981422011,0.000242248435206719,-0.168965408147886,0.033,0.059,1,-0.168965408147886,"non-sig","#00AFBB"
"9","9330162G02Rik",4.21304154541775e-07,-0.148863821532497,0.806,0.905,0.0146896119564081,-0.148863821532497,4.4724099746618e-11,0.209893044788499,0.887,0.806,1.55939518586533e-06,0.209893044788499,"sig","#E7B800"
"10","A230006K03Rik",1.86845881366034e-09,-0.267357412738969,0.485,0.581,6.51475534558949e-05,-0.267357412738969,4.90104242816189e-13,0.294440451290692,0.603,0.485,1.70884646342721e-08,0.294440451290692,"sig","#E7B800"
"11","A330008L17Rik",1.43266071718044e-06,-0.249183317215506,0.186,0.247,0.0499525812259306,-0.249183317215506,9.79293690860386e-07,0.205252220652113,0.25,0.186,0.0341450331192291,0.205252220652113,"sig","#E7B800"
"12","A330015K06Rik",5.56688932871302e-13,-0.232210389064079,0.43,0.567,1.94100730224237e-08,-0.232210389064079,7.29686201408931e-31,0.472203881435395,0.631,0.43,2.54419687845252e-26,0.472203881435395,"sig","#E7B800"
"13","A330023F24Rik",1.41982668044096e-06,-0.126934528727934,0.616,0.713,0.0495050968669351,-0.126934528727934,0.020620673379722,0.0284966333631613,0.702,0.616,1,0.0284966333631613,"non-sig","#00AFBB"
"14","A330102I10Rik",5.46580079024337e-08,-0.241215624948313,0.345,0.42,0.00190576076153416,-0.241215624948313,0.00315648925360924,0.0930229471585799,0.396,0.345,1,0.0930229471585799,"non-sig","#00AFBB"
