"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","9130019P16Rik",7.922767920132e-07,0.464799141856929,0.138,0.07,0.0276243149071242,0.464799141856929,0.527582535152047,-0.0849124643438075,0.129,0.138,1,-0.0849124643438075,"non-sig","#00AFBB"
"2","Abca9",7.59807049920781e-07,0.392582865194819,0.417,0.306,0.0264921924095879,0.392582865194819,0.00044392936722768,-0.2753522673895,0.35,0.417,1,-0.2753522673895,"non-sig","#00AFBB"
"3","Agmo",6.02226200300602e-12,0.49237026470978,0.582,0.442,2.09978209258811e-07,0.49237026470978,0.0620514239049557,-0.121362143535701,0.553,0.582,1,-0.121362143535701,"non-sig","#00AFBB"
"4","Apoe",1.78009325147896e-09,0.430432263923116,0.469,0.333,6.20665113993167e-05,0.430432263923116,0.478736095729544,-0.0516739681155265,0.465,0.469,1,-0.0516739681155265,"non-sig","#00AFBB"
"5","C1qa",1.09309156506171e-07,0.353196086816603,0.642,0.533,0.00381128235990067,0.353196086816603,0.0360802019833126,0.130580863209694,0.678,0.642,1,0.130580863209694,"non-sig","#00AFBB"
"6","C1qc",7.54355407440197e-10,0.410689390892491,0.586,0.457,2.63021099912173e-05,0.410689390892491,0.111289338847166,0.157478412259166,0.601,0.586,1,0.157478412259166,"non-sig","#00AFBB"
"7","Calm1",6.98256710061751e-11,-0.379338860665726,0.695,0.77,2.43461167097231e-06,-0.379338860665726,0.234441120833554,-0.0476874185823428,0.679,0.695,1,-0.0476874185823428,"non-sig","#00AFBB"
"8","Ccnd3",2.84007700107859e-27,0.877631184046332,0.464,0.231,9.90249647966071e-23,0.877631184046332,0.000125576937558121,-0.281162740833645,0.392,0.464,1,-0.281162740833645,"non-sig","#00AFBB"
"9","Cd33",2.01313104821048e-07,0.410819910976713,0.352,0.238,0.00701918402579548,0.410819910976713,0.760844192205229,-0.0381935318015687,0.345,0.352,1,-0.0381935318015687,"non-sig","#00AFBB"
"10","Cmss1",1.31276917947502e-07,-0.35781145657354,0.489,0.578,0.00457723229807554,-0.35781145657354,0.000333486901154137,-0.249676850618805,0.428,0.489,1,-0.249676850618805,"non-sig","#00AFBB"
"11","Cst3",6.2627759071286e-13,0.320080382104153,0.96,0.905,2.18364207553853e-08,0.320080382104153,1.18838336774591e-11,0.320899555284702,0.967,0.96,4.14353628831966e-07,0.320899555284702,"sig","#E7B800"
"12","Ctss",9.52884620819782e-07,0.330264511484978,0.597,0.487,0.0332242280741233,0.330264511484978,0.0394386612724924,0.173030563948778,0.617,0.597,1,0.173030563948778,"non-sig","#00AFBB"
"13","Dbp",3.67811781483292e-09,0.497620819090995,0.077,0.021,0.00012824493384978,0.497620819090995,0.000816307704801546,-0.268795371826873,0.044,0.077,1,-0.268795371826873,"non-sig","#00AFBB"
"14","Dlg2",5.47319069845619e-07,-0.499917174819376,0.242,0.33,0.0190833740083072,-0.499917174819376,0.330130632075425,0.119223444593398,0.26,0.242,1,0.119223444593398,"non-sig","#00AFBB"
"15","Dpp10",1.70269896538057e-07,-0.447986598447347,0.327,0.414,0.00593680048259243,-0.447986598447347,0.210558275039158,-0.076967827611703,0.299,0.327,1,-0.076967827611703,"non-sig","#00AFBB"
"16","Echdc2",3.17112144928255e-12,0.507797294543082,0.053,0.003,1.10567491572135e-07,0.507797294543082,3.33566208100215e-15,-0.517277834280624,0.002,0.053,1.16304529778302e-10,-0.517277834280624,"sig","#E7B800"
"17","Elmo1",2.77528871090912e-09,0.239730814393883,0.911,0.856,9.67659914832683e-05,0.239730814393883,0.739281925109955,0.0287957649155128,0.901,0.911,1,0.0287957649155128,"non-sig","#00AFBB"
"18","Etl4",1.18541711839282e-06,-0.518784858360768,0.067,0.13,0.0413319386670025,-0.518784858360768,0.0868769384561809,0.1792106496218,0.087,0.067,1,0.1792106496218,"non-sig","#00AFBB"
"19","Gm10790",1.20937002814503e-07,0.370071545949271,0.658,0.556,0.00421671047713327,0.370071545949271,0.231006718960748,0.033827726068091,0.688,0.658,1,0.033827726068091,"non-sig","#00AFBB"
"20","Gm47283",3.61135089713108e-08,0.384496892837325,0.036,0.003,0.00125916971730269,0.384496892837325,1.4886711957362e-09,-0.380732881450525,0.003,0.036,5.19054985817342e-05,-0.380732881450525,"sig","#E7B800"
"21","Gm55122",2.72223461949282e-12,0.524411960574353,0.449,0.29,9.49161544778562e-08,0.524411960574353,0.0564272910308531,-0.13346500048122,0.406,0.449,1,-0.13346500048122,"non-sig","#00AFBB"
"22","Hsp90aa1",5.13800521608573e-07,-0.428191582527394,0.361,0.443,0.0179146827869261,-0.428191582527394,0.177423211849643,0.110100258101944,0.385,0.361,1,0.110100258101944,"non-sig","#00AFBB"
"23","Hsp90ab1",1.12964263166478e-06,-0.334912236759836,0.494,0.566,0.0393872496382558,-0.334912236759836,0.536050376861009,-0.0641428429092823,0.484,0.494,1,-0.0641428429092823,"non-sig","#00AFBB"
"24","Inpp5d",2.84580836364282e-09,0.310229449870155,0.828,0.692,9.92248002151341e-05,0.310229449870155,0.00260221685782327,-0.158191664481474,0.769,0.828,1,-0.158191664481474,"non-sig","#00AFBB"
"25","Lysmd4",2.24208386752422e-10,0.411421276026712,0.599,0.44,7.81747382089671e-06,0.411421276026712,0.722812801294296,-0.0288669623529927,0.588,0.599,1,-0.0288669623529927,"non-sig","#00AFBB"
