"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"1","A330015K06Rik",7.27143243706188e-34,0.82582291088927,0.525,0.29,2.53533034783037e-29,0.82582291088927,3.10016196677976e-08,-0.351928569379989,0.423,0.525,0.0010809334729571,-0.351928569379989,"sig","#E7B800"
"2","Anks1b",2.3581381243941e-07,-0.328215742944419,0.57,0.634,0.00822212019832492,-0.328215742944419,0.00721521387931614,0.130339272614618,0.616,0.57,1,0.130339272614618,"non-sig","#00AFBB"
"3","Ankub1",3.14163011729007e-08,0.332757232806988,0.186,0.104,0.00109539217299553,0.332757232806988,0.00252239755160865,-0.193226192343039,0.142,0.186,1,-0.193226192343039,"non-sig","#00AFBB"
"4","Anln",1.42848432616213e-13,0.550514756799132,0.342,0.207,4.98069630002948e-09,0.550514756799132,0.000311535818733596,-0.293686282517966,0.279,0.342,1,-0.293686282517966,"non-sig","#00AFBB"
"5","Apoe",3.9061671538405e-15,0.549351805165976,0.625,0.466,1.36196330152957e-10,0.549351805165976,0.017284013504902,-0.150875040009526,0.571,0.625,1,-0.150875040009526,"non-sig","#00AFBB"
"6","Arrdc3",6.75434482423272e-10,0.414828406856995,0.311,0.196,2.35503740986522e-05,0.414828406856995,7.54836997420173e-09,-0.383368894469539,0.211,0.311,0.000263189015890492,-0.383368894469539,"sig","#E7B800"
"7","Atp6v0c",1.91743325336622e-07,-0.327922811548685,0.524,0.58,0.00668551452451199,-0.327922811548685,0.000489151261564213,0.204900607850981,0.57,0.524,1,0.204900607850981,"non-sig","#00AFBB"
"8","Calm1",2.07159050311389e-15,-0.439324498258873,0.696,0.771,7.22301460720719e-11,-0.439324498258873,0.280337359961825,0.101593973117408,0.695,0.696,1,0.101593973117408,"non-sig","#00AFBB"
"9","Calm2",7.24126848903184e-08,-0.342543742989818,0.531,0.586,0.00252481308407073,-0.342543742989818,2.38611855822317e-07,0.293894864360296,0.598,0.531,0.00831967957695671,0.293894864360296,"sig","#E7B800"
"10","Camk1d",9.42361197350299e-09,-0.386507007634902,0.454,0.534,0.000328573078680129,-0.386507007634902,0.0540946485403624,0.117334418531911,0.477,0.454,1,0.117334418531911,"non-sig","#00AFBB"
"11","Ccdc50",1.47311880299095e-09,0.335758329979242,0.348,0.223,5.13632333038853e-05,0.335758329979242,0.00320126304645547,-0.122702259023503,0.29,0.348,1,-0.122702259023503,"non-sig","#00AFBB"
"12","Cdc37l1",1.96279310693643e-16,0.398983244000317,0.75,0.603,6.84367072595524e-12,0.398983244000317,0.000306643639811889,-0.137934866867161,0.694,0.75,1,-0.137934866867161,"non-sig","#00AFBB"
"13","Cdc42bpa",4.28936704992266e-21,0.472598227242056,0.762,0.603,1.49557360929654e-16,0.472598227242056,0.000250069082158147,-0.163764012472929,0.704,0.762,1,-0.163764012472929,"non-sig","#00AFBB"
"14","Cdh19",1.8735570387401e-14,0.534816469460231,0.439,0.287,6.53253132697512e-10,0.534816469460231,0.00377306154341993,-0.180037048746443,0.38,0.439,1,-0.180037048746443,"non-sig","#00AFBB"
"15","Celf2",2.1159501533119e-08,-0.365474810788533,0.38,0.457,0.000737768339955261,-0.365474810788533,0.833004794413588,-0.0588076492483576,0.369,0.38,1,-0.0588076492483576,"non-sig","#00AFBB"
"16","Clk1",5.52714522026686e-08,0.367867472823376,0.278,0.183,0.00192714972395045,0.367867472823376,0.00219998657809182,-0.210677194106998,0.228,0.278,1,-0.210677194106998,"non-sig","#00AFBB"
"17","Cmss1",1.68292028941723e-11,-0.407984152666566,0.507,0.6,5.86783817311105e-07,-0.407984152666566,0.000104108309913536,-0.243887773336758,0.43,0.507,1,-0.243887773336758,"non-sig","#00AFBB"
"18","Dgki",2.9137816358412e-10,0.443722862219345,0.431,0.307,1.01594824296875e-05,0.443722862219345,0.0118622449069163,-0.16922138169343,0.378,0.431,1,-0.16922138169343,"non-sig","#00AFBB"
"19","Dpp10",1.29975101684099e-12,-0.581700390211815,0.31,0.411,4.53184187041947e-08,-0.581700390211815,0.0905916759707584,0.18417983222611,0.33,0.31,1,0.18417983222611,"non-sig","#00AFBB"
"20","Dtnb",1.12950299140336e-09,0.39719777287049,0.174,0.09,3.93823808012608e-05,0.39719777287049,0.0290618317647385,-0.12877088465248,0.14,0.174,1,-0.12877088465248,"non-sig","#00AFBB"
"21","E330020D12Rik",2.96186673506269e-11,0.596818449953512,0.207,0.11,1.03271407451431e-06,0.596818449953512,0.0879289314448078,-0.137555468748677,0.18,0.207,1,-0.137555468748677,"non-sig","#00AFBB"
