"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",1.53432560424036e-08,-0.383895667011886,1,1,0.000534973308430487
"Lrrk1",5.03782252749868e-06,0.765117261412442,0.735,0.473,0.175653758066297
"Fkbp5",1.52409784273464e-05,0.947720887964792,0.326,0.107,0.531407194826288
"4930578G10Rik",1.578110294875e-05,0.949056608381165,0.372,0.143,0.550239716514066
"Plekhh2",2.60885249031428e-05,0.765489408865926,0.451,0.196,0.90962859779788
"Kcnip4",0.000178366856726047,-0.726478129402475,0.484,0.696,1
"Rcan2",0.000199975285828039,1.02669037560241,0.298,0.116,1
"Phf14",0.000210318280470928,0.796554038520364,0.363,0.161,1
"Sorbs1",0.000244549573852584,0.678220998796333,0.502,0.295,1
"Nrgn",0.00027081139095663,-0.620125441204634,0.419,0.607,1
"Nrxn1",0.000389040254777641,-0.670703713662739,0.321,0.5,1
"Maml3",0.000410196593425624,-0.667113449482851,0.312,0.473,1
"Fbxo3",0.000557943978831098,0.740899513785443,0.195,0.054,1
"Cct4",0.000619835780747197,-0.735640190108371,0.06,0.179,1
"Cmss1",0.000819661142070401,-0.576692813356204,0.474,0.607,1
"Glul",0.000870189546973445,0.678202474811273,0.474,0.286,1
"Alcam",0.000922542555932539,0.381287050780523,0.865,0.795,1
"Stim1",0.000958159682702552,0.700773032720043,0.358,0.179,1
"Fmn1",0.00105917985818574,0.82234026545285,0.2,0.062,1
"Smyd3",0.00109544668087905,0.635854380538398,0.535,0.366,1
"Cdh2",0.00110772513173286,-0.592783213089039,0.047,0.152,1
"Calb1",0.0011262819471588,-0.674079552053593,0.023,0.107,1
"Gm9993",0.00113906138248957,-0.513159299274485,0.023,0.107,1
"Srsf5",0.00117844755608303,0.500064687395859,0.479,0.268,1
"Gm10974",0.00124376113249661,0.652231207766028,0.191,0.054,1
"Chic2",0.00125489279549477,0.74731592940739,0.158,0.036,1
"Fgf12",0.00148449267426709,-0.638060125919648,0.144,0.286,1
"Pcgf5",0.00150985448534644,0.702940925099599,0.181,0.054,1
"Nr6a1",0.00152219911865166,0.564624820775544,0.321,0.143,1
"Rngtt",0.00157597460734369,0.665868949724245,0.195,0.062,1
"Tpm1",0.00164631050293044,0.684690740601392,0.447,0.268,1
"Ccser1",0.00164927565089046,-0.673632180692827,0.056,0.161,1
"Faf1",0.00171010210433579,0.60703070296844,0.353,0.179,1
"Slc7a11",0.00173079720786913,-0.367319560187182,0.856,0.902,1
"Lrmda",0.00182042394400704,0.576466610318695,0.693,0.536,1
"Hsp90ab1",0.00182468200095713,-0.452609107846012,0.493,0.652,1
"Dlg2",0.00217006167827454,-0.463978082819854,0.335,0.473,1
"Rora",0.00249223975047922,0.300446861714635,0.967,0.955,1
"Slc13a4",0.00251833048399212,0.546370181522381,0.535,0.366,1
"Tef",0.0025765337145471,0.570254934965198,0.451,0.268,1
"Smarcd3",0.00285316352893905,0.564284448972207,0.13,0.027,1
"Epn2",0.00315312849625417,0.606232602676525,0.293,0.134,1
"Rtn1",0.00323028223836963,-0.419198379582144,0.581,0.688,1
"Hlf",0.00329313157041028,0.585891085650499,0.633,0.482,1
"Rbm4b",0.00339194339744072,-0.740000378179055,0.051,0.143,1
"Mpzl2",0.00343643196728863,0.478481055818295,0.112,0.018,1
"Fjx1",0.00350482000217476,-0.488427936786636,0.056,0.152,1
"Zfp266",0.00352818791646747,0.659977250764281,0.209,0.08,1
"Nr2c1",0.00372096237345966,0.569386846423081,0.126,0.027,1
"Atp2b1",0.0037905270435126,-0.632391966147155,0.414,0.527,1
"Bpnt2",0.00386008120037422,-0.675506640423113,0.047,0.134,1
"Lama4",0.00386635649399951,0.602412253541893,0.33,0.179,1
"Sap130",0.00400238883379858,0.628561324604867,0.214,0.089,1
"Dkk3",0.00409829768763362,-0.515046181498144,0.186,0.33,1
"Cacna2d1",0.00410768766614699,-0.507151819412785,0.247,0.402,1
"C1qtnf7",0.00411858092843177,0.479003552597155,0.395,0.214,1
"Ogn",0.00412336999847397,0.418760994548659,0.27,0.125,1
"Foxp2",0.00414256737502871,-0.54077551748729,0.312,0.464,1
"Znrf3",0.00418234776606461,-0.527855524625958,0.256,0.402,1
"Lrrcc1",0.00420255696671516,-0.59137686438965,0.042,0.125,1
"Cnn2",0.00427513932165516,0.614527379599862,0.167,0.054,1
"Agap1",0.00430899608350209,0.666911860484702,0.191,0.071,1
"Yipf4",0.00444659210804007,0.69669787786734,0.121,0.027,1
"9530026P05Rik",0.00449780661474365,0.387866726092944,0.814,0.714,1
"Slc6a20a",0.00462472259274254,-0.332553398272625,0.795,0.929,1
"Rps29",0.00475260323055212,0.573489022891222,0.242,0.107,1
"Rap1gap2",0.00499106863044993,-0.688827018076992,0.033,0.107,1
"Hnrnpul2",0.00506919822325748,0.622277642908273,0.135,0.036,1
"Rbpj",0.00512275670546799,-0.663995780660008,0.102,0.205,1
"Edn3",0.00514976542777602,-0.824869069572041,0.06,0.152,1
"Pcdh9",0.00515968237467554,-0.787631581206073,0.316,0.446,1
"Stag1",0.00522677205963548,0.38905269133376,0.549,0.348,1
"Sv2b",0.00536824895718557,-0.546434031421896,0.07,0.17,1
"Ggnbp2",0.00538629197873061,0.602317287421642,0.279,0.143,1
"0610012G03Rik",0.00539479764362357,-0.76602032039514,0.056,0.143,1
"Grin2b",0.00548953449807649,-0.521171720011499,0.167,0.295,1
"Agmo",0.00551692425442528,0.637470103441636,0.372,0.214,1
"Ppm1l",0.00552416663468262,-0.660428360328538,0.074,0.17,1
"Rassf2",0.00555349878257699,-0.695334547055178,0.107,0.214,1
"Adam12",0.00557912883831275,0.473266989811923,0.777,0.643,1
"Prpf39",0.00565868472042827,0.606614345003578,0.223,0.098,1
"Cyp26b1",0.00567886213612722,0.724297969314995,0.102,0.018,1
"Gm42439",0.00572682630276598,0.69676270055466,0.219,0.098,1
"Per2",0.00574231426038688,0.649121886875728,0.116,0.027,1
"Itpr2",0.00574446733437511,0.659237590006752,0.288,0.152,1
"Ppp1r10",0.00591413606489633,0.4381146613766,0.298,0.143,1
"Naaladl2",0.00597944989172036,0.413206040132066,0.665,0.536,1
"Npr3",0.00601606302250025,0.788523889655499,0.116,0.027,1
"Nek1",0.00611981332483124,0.471200116801298,0.135,0.036,1
"Trpm3",0.00621295877507694,0.695013452625799,0.563,0.438,1
"Eif2ak2",0.00622324112874194,0.597633633919428,0.102,0.018,1
"Alpk1",0.00637637224368509,0.673079904440822,0.158,0.054,1
"Ubap2l",0.00638859874460085,0.421850519477966,0.335,0.179,1
"Nfib",0.00647383688100801,0.475897444989974,0.619,0.482,1
"6720427I07Rik",0.0064826920659144,0.514546633953416,0.284,0.152,1
"Vti1a",0.00657590853048489,0.478603873375012,0.405,0.241,1
"Smim4",0.00671928624695986,0.597584124946829,0.158,0.054,1
"Ankrd16",0.00675125457525077,0.518595060029194,0.13,0.036,1
"Mtmr10",0.0068299406182413,-0.576810912681539,0.051,0.134,1
"Rbm27",0.00684387513323573,0.724174063459117,0.181,0.071,1
"Cep164",0.0069622096051143,0.472266567917107,0.116,0.027,1
"Gm36975",0.00706448428081372,0.615959233956414,0.144,0.045,1
"Lnpk",0.00711270884821372,0.540569387729605,0.144,0.045,1
"Il17ra",0.00763795516070809,0.622810989109222,0.112,0.027,1
"Thap3",0.00790509072468695,0.458768815125578,0.293,0.152,1
"Ctsb",0.00799226179862357,-0.641599752253925,0.177,0.295,1
"Map2",0.00817620384772315,0.367058706186779,0.265,0.125,1
"AU023762",0.00856539464015996,0.539933643907317,0.153,0.054,1
"Hmcn1",0.00869024388271513,-0.749236752811778,0.047,0.125,1
"Hs3st3a1",0.00895935629799495,0.577750977326048,0.153,0.054,1
"Hsph1",0.00897249609012801,-0.511813595068184,0.047,0.125,1
"Nudt4",0.0091077975475676,0.462145231033618,0.209,0.089,1
"Dvl3",0.00916894391937286,0.456978841016585,0.112,0.027,1
"Ncdn",0.00925494161062437,0.573200429450453,0.14,0.045,1
"Col26a1",0.00925506727520814,-0.654269771336282,0.326,0.438,1
"Gab2",0.0093609505186036,0.483979832983548,0.642,0.545,1
"Cacna1e",0.0094960396747462,-0.809697664775692,0.2,0.312,1
"Zbtb16",0.0096929940844767,0.491441668549819,0.126,0.036,1
"Cirbp",0.00970395517332689,0.701812575315403,0.181,0.08,1
"Zrsr2",0.00985431729486349,0.545481332701761,0.121,0.036,1
"Rcor3",0.0101600947829209,0.437015691782863,0.14,0.045,1
"Api5",0.0101604091872104,-0.486850257449872,0.042,0.116,1
"Echdc2",0.0102171078226221,0.628886872686406,0.107,0.027,1
"Ptchd4",0.0102948232468718,0.777241561835131,0.107,0.027,1
"Ttc19",0.0103751263488974,0.441907315965324,0.195,0.08,1
"Ubtd1",0.010385566766471,-0.533901880696979,0.037,0.107,1
"Slc16a12",0.0104221963522838,0.531011164509992,0.4,0.259,1
"Mospd1",0.0104983552383774,-0.590012743584455,0.042,0.116,1
"Nisch",0.0110200204615591,0.518429073229582,0.377,0.241,1
"Ttc7b",0.0112432885269902,-0.585064061502215,0.158,0.268,1
"Ngly1",0.0115251631655137,0.502417867126236,0.223,0.107,1
"Washc3",0.0115253486091532,0.503820959281904,0.107,0.027,1
"Gm49969",0.0116088420618622,0.450826429852863,0.153,0.054,1
"Sf1",0.0116502271554415,0.42053564209532,0.214,0.098,1
"Hlcs",0.0116655093011187,0.494833408331537,0.163,0.062,1
"Svep1",0.0116941359186119,0.546566784113914,0.367,0.232,1
"Strn3",0.0118470264601755,0.365557535046535,0.591,0.429,1
"Ppfia2",0.0121369171691751,-0.682083257625881,0.051,0.125,1
"Kdm5d",0.0121702239407715,-0.551886194305965,0.074,0.161,1
"Pak1",0.0122366638698546,-0.581090699759436,0.102,0.196,1
"Gm7240",0.0130762569287411,0.321888794789575,0.107,0.027,1
"Arf4",0.0131694203466605,0.656416511792349,0.172,0.071,1
"Senp3",0.0131917773336058,0.395774403735416,0.149,0.054,1
"Rangap1",0.0131969535382747,-0.527948884782061,0.06,0.143,1
"Rock1",0.0134354782024945,0.506667989965259,0.391,0.241,1
"Hltf",0.0135359999632893,0.549771882746892,0.102,0.027,1
"4930599N23Rik",0.0136412886647215,0.606458411555755,0.13,0.045,1
"Pde1a",0.0138432726921711,0.336505822307005,0.721,0.562,1
"Pclo",0.0139520894502347,-0.597716801719616,0.098,0.188,1
"Ptms",0.0141007126360556,-0.609199529244043,0.177,0.286,1
"Camk2n1",0.0141374845127344,-0.444064507887438,0.298,0.42,1
"Gabrb3",0.0143334279940944,-0.371131260087422,0.079,0.17,1
"Grid2",0.0144239734497736,-0.427484344465323,0.079,0.17,1
"Syne1",0.0148152913684905,-0.46463460307735,0.126,0.232,1
"Zfyve26",0.0148546317838785,-0.625206263306571,0.051,0.125,1
"Calm1",0.0149189455294048,-0.322587157378089,0.753,0.804,1
"Cpeb3",0.0149491736145465,-0.61915139102661,0.163,0.259,1
"Eef2",0.0150849786818453,-0.57164338533644,0.07,0.152,1
"Glis3",0.0153708399140997,0.571609076028825,0.205,0.098,1
"Tbc1d23",0.0154547137098385,0.532032083289714,0.191,0.089,1
"Baz2b",0.0155497146207809,0.464477438282699,0.563,0.42,1
"Rbm39",0.0156831353534477,0.360620395416466,0.772,0.625,1
"Gm27151",0.015877198071021,0.552219299485723,0.167,0.071,1
"Phldb2",0.0159682516187497,0.45237325183406,0.595,0.464,1
"Pamr1",0.0161225508075204,-0.409844454980489,0.093,0.188,1
"Aifm3",0.0163041643899257,0.438685662500189,0.265,0.143,1
"C1qtnf1",0.0163447812097447,-0.491754911451136,0.051,0.125,1
"Zic4",0.0163903808286342,-0.371758359929118,0.372,0.482,1
"Thoc2l",0.016426729184125,0.506701000096978,0.237,0.125,1
"Aqr",0.0166444407282097,0.603447207423525,0.126,0.045,1
"Pdcd4",0.0166903114705705,-0.619794661179796,0.14,0.232,1
"Thbs2",0.0167532664899472,-0.502440874221551,0.07,0.152,1
"Bicral",0.0168737878884176,0.384863335972807,0.312,0.188,1
"Cntfr",0.0169004794993887,0.517294895340598,0.167,0.071,1
"Nxf1",0.0169189168309442,-0.531046040393919,0.047,0.116,1
"Med1",0.0174194323927397,0.623110365575757,0.126,0.045,1
"Pak2",0.0176133224897968,0.558139438969437,0.228,0.125,1
"Nlgn1",0.0176888216816528,-0.291161907634725,0.242,0.384,1
"Sema3a",0.0177165382723152,0.60885077067306,0.349,0.223,1
"Dcbld2",0.0177678072571484,0.492492907278767,0.153,0.062,1
"Klf9",0.0180941154334346,-0.639662214547927,0.223,0.321,1
"Stx1b",0.0181061387006695,-0.438505488511341,0.047,0.116,1
"Kcnip3",0.018128538110016,0.405714925052721,0.191,0.089,1
"Zkscan3",0.0185231853159137,0.457805116378276,0.27,0.152,1
"Rxylt1",0.0188247094015603,0.511773056547624,0.14,0.054,1
"Cys1",0.0192883714218617,0.586122692018822,0.14,0.054,1
"Ccdc191",0.0192889749995407,0.397489689051896,0.181,0.08,1
"Ccnl1",0.0194152533230231,0.385125589488698,0.242,0.125,1
"Aopep",0.019437297699657,0.391374150726441,0.344,0.205,1
"Ccnd3",0.0197556471755293,0.520693018123106,0.223,0.116,1
"Gm9801",0.0197871010627811,0.460401323177709,0.112,0.036,1
"Samd4",0.0199217485094125,0.698912027167628,0.302,0.196,1
"Fgfbp1",0.020056951266133,0.484621341723086,0.112,0.036,1
"Sgms1",0.0201400497061507,-0.680340615429498,0.135,0.223,1
"Cramp1",0.0202457179864385,0.461376949233856,0.14,0.054,1
"Malsu1",0.0203300078253629,0.460496036829701,0.112,0.036,1
"Sbf2",0.0206406488650246,0.381400738022804,0.512,0.384,1
"Rnf34",0.0207000420461334,-0.43502205254042,0.042,0.107,1
"Rps6kb1",0.0209387142044844,0.38776491619094,0.237,0.125,1
"Tm7sf3",0.0211828927662795,-0.437136303077386,0.042,0.107,1
"Arl15",0.0212581957690223,0.503008365067978,0.279,0.161,1
"Timmdc1",0.0213033934267869,0.487183952596542,0.209,0.107,1
"ENSMUSG00000120012",0.0213114047347593,0.403874573901576,0.112,0.036,1
"Gm44899",0.0215005027648836,0.408067872115723,0.14,0.054,1
"Vrk2",0.0215005027648836,0.389647634572055,0.14,0.054,1
"Mir6236",0.0215090830135279,-0.41623469873472,0.265,0.393,1
"Nfix",0.0215783064158544,-0.509796594128158,0.135,0.232,1
"Aff3",0.0216253725799429,0.415338816137922,0.451,0.321,1
"Gm49417",0.0216417313417375,0.607172538868406,0.251,0.143,1
"Grm3",0.0217122765191959,-0.46894537051066,0.065,0.143,1
"Arhgap18",0.0217972890080155,0.535511026478737,0.149,0.062,1
"Sh3bgrl",0.0224897938850657,0.483333815235344,0.251,0.143,1
"Btbd9",0.0225525595363036,0.285118665714712,0.14,0.054,1
"Aak1",0.0227159090094745,0.40464823713233,0.363,0.223,1
"Nprl3",0.0228242616834126,0.51390350215678,0.149,0.062,1
"Ndufa2",0.0232021521921023,0.563666380158119,0.121,0.045,1
"Bmp2",0.023213660865439,-0.46166564991425,0.042,0.107,1
"Gm12394",0.0232822657712187,0.477063285764898,0.195,0.098,1
"Nfkb1",0.0233296242578649,0.537184701124616,0.228,0.125,1
"Orc2",0.0234791502030587,0.499363293063642,0.158,0.071,1
"Tmtc4",0.0235334922287288,0.425066010839583,0.651,0.518,1
"Septin9",0.0235985975418573,-0.452929974260655,0.056,0.125,1
"Hdgfl2",0.0236039282764523,0.495530231949229,0.107,0.036,1
"Pfkp",0.0238682538036262,0.341595896909921,0.112,0.036,1
"Ebf2",0.0239338857281603,0.363343759973946,0.126,0.045,1
"Gbe1",0.0239613470076402,0.475390445487152,0.149,0.062,1
"Adamts12",0.023968833814237,-0.634859356734419,0.144,0.241,1
"Efcc1",0.0242910849484002,-0.381972117730059,0.042,0.107,1
"D3Ertd751e",0.0243460679136863,0.304193447331886,0.112,0.036,1
"Zbtb7a",0.0243460679136863,0.379817091291185,0.112,0.036,1
"Ppp4r1",0.0244007211098799,0.368686763848374,0.177,0.08,1
"Zfp609",0.024452212707735,0.427335486698288,0.326,0.196,1
"Runx1t1",0.0245212247786057,0.321563383383181,0.381,0.241,1
"Mob2",0.0245748607854447,0.503054552794577,0.107,0.036,1
"Gpr137c",0.0247932271574999,0.452345133400822,0.149,0.062,1
"Ddo",0.0248743635767075,0.469631465885074,0.302,0.179,1
"Pfdn5",0.0250569770165,0.363189506026288,0.163,0.071,1
"Gria4",0.0250623804984198,-0.431958872099711,0.088,0.17,1
"Ptpa",0.0252412090989474,0.449499554635194,0.107,0.036,1
"Il34",0.0253640965785412,0.630483913711732,0.377,0.259,1
"Cabin1",0.0253805138436418,0.300588151930392,0.14,0.054,1
"Manf",0.0253858569413417,-0.530052650374371,0.074,0.152,1
"Vkorc1l1",0.0255021686140998,0.496978078322631,0.121,0.045,1
"Mrfap1",0.0256474784810649,-0.538883664013663,0.098,0.179,1
"Plcl1",0.0257415107355978,0.467043356649173,0.549,0.411,1
"Slc1a5",0.0258431965339566,0.468560628318693,0.256,0.143,1
"Tbce",0.0258448207132508,0.341537975253281,0.177,0.08,1
"Ncor2",0.0258705411648051,-0.39404550234893,0.121,0.214,1
"Ppp1r12a",0.0261586458210064,0.354724909775618,0.451,0.312,1
"Slc7a2",0.0264141270107888,-0.466239772781113,0.288,0.411,1
"Lrch3",0.0265566115487323,-0.43383469569662,0.237,0.339,1
"Rps20",0.0266723175584511,-0.53835164999139,0.084,0.161,1
"Arhgef12",0.0267245974708532,-0.385837007191063,0.367,0.473,1
"Tln2",0.0268784710216198,0.387468543801063,0.284,0.17,1
"Cdkl3",0.0273135383594921,0.56770891054877,0.13,0.054,1
"Hspa9",0.0276880235026157,0.479320640371368,0.144,0.062,1
"Rps9",0.0278543490489086,-0.434713058351949,0.135,0.232,1
"Gja1",0.0279139821829608,-0.642536454308781,0.2,0.286,1
"Usp54",0.0279237836097671,0.423001432503443,0.144,0.062,1
"Btaf1",0.0281861919167614,-0.382342708573969,0.144,0.241,1
"Zfp106",0.028271729835536,0.54634732839646,0.205,0.116,1
"Ppp1r13b",0.0286966375585252,0.482156878444119,0.121,0.045,1
"Vip",0.0290620949997913,0.395335462773782,0.181,0.089,1
"Aplp2",0.029267603598019,-0.390405339196219,0.405,0.482,1
"Sp3",0.0293604358837895,0.467514470943323,0.214,0.116,1
"2010315B03Rik",0.029498587871466,0.51614629312711,0.13,0.054,1
"Fus",0.0295321523404462,0.337015133705637,0.442,0.321,1
"Tug1",0.029576779517157,0.3864367754075,0.107,0.036,1
"Rbms2",0.0296349178025782,0.512896493766744,0.214,0.116,1
"Gapvd1",0.0301118624048315,-0.442500664888478,0.2,0.304,1
"Glce",0.030378164249271,-0.581807939299919,0.079,0.152,1
"4921539H07Rik",0.0304818485255524,0.370877644729466,0.158,0.071,1
"Aldh1a1",0.0307186588209981,0.511053139259097,0.437,0.321,1
"Csad",0.0307362522978809,0.442522395533745,0.13,0.054,1
"Plce1",0.0307362522978809,0.592874050584211,0.13,0.054,1
