"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",8.17806835072695e-90,-0.471990834426592,0.999,1,2.85144709184796e-85
"Hif3a",5.45594148783103e-43,0.93942403648166,0.386,0.127,1.90232311856205e-38
"Asic2",3.10395112491792e-40,0.897715689780717,0.586,0.324,1.08225463872513e-35
"Etnppl",1.82041470913455e-37,1.0012366739709,0.278,0.069,6.34723996633945e-33
"Grm3",2.90214746972934e-35,-0.507936525147388,0.872,0.927,1.01189175827053e-30
"Cdh19",1.03738744591054e-34,0.812551200613726,0.596,0.354,3.61705880765628e-30
"Mdga2",3.55760810126053e-34,0.53535894275592,0.94,0.901,1.24043121666651e-29
"Apoe",2.20708814460406e-33,0.561723075823814,0.953,0.843,7.69545423379099e-29
"Rora",5.95005490277515e-33,0.38254793139242,0.985,0.973,2.07460564295061e-28
"Acss2",2.23372627034975e-23,-0.769128813272566,0.283,0.442,7.78833338682846e-19
"Galnt18",1.0241261984397e-20,0.639309991660707,0.309,0.139,3.5708208160997e-16
"Gphn",4.04329332391532e-20,0.402959212292905,0.892,0.793,1.40977508324956e-15
"Echdc2",2.16310223622858e-19,0.559951645838977,0.183,0.056,7.54208856705818e-15
"Qki",2.08879029428368e-18,0.319043930271523,0.941,0.911,7.2829851190789e-14
"Cst3",2.63840490463259e-17,0.426388226083814,0.881,0.764,9.19932638098244e-13
"Plce1",5.85054643148745e-17,0.842792118113998,0.229,0.099,2.03991002426673e-12
"Rgs7",7.64191414061771e-17,-0.409411403956424,0.753,0.827,2.66450620340918e-12
"Phka1",3.1771385590956e-16,0.485844926832744,0.619,0.438,1.10777290139986e-11
"Ccnd3",3.11069553356273e-15,0.533974720255467,0.246,0.113,1.08460621168732e-10
"Pcyt2",2.18151927522723e-14,-0.544687634037744,0.332,0.458,7.60630325693478e-10
"Mertk",3.23805507465227e-14,0.331577429971158,0.878,0.831,1.12901266287901e-09
"Npas3",5.45593258244142e-14,-0.253219901129115,0.926,0.968,1.90232001351985e-09
"Gm11417",6.05109449846664e-14,0.395066358565491,0.115,0.03,2.10983511878037e-09
"Fam184a",1.06263933567608e-12,0.443486292620689,0.527,0.373,3.7051045717018e-08
"Akt2",1.31536693745069e-12,-0.554483187647769,0.17,0.274,4.58628990080932e-08
"Fgf13",1.39205353853063e-12,0.524770749227943,0.515,0.372,4.85367307279474e-08
"Zfhx3",3.53152684668468e-12,0.780228783884273,0.164,0.069,1.23133746563355e-07
"Gm36944",6.02019279980934e-12,0.415073818001953,0.161,0.066,2.09906062350952e-07
"Sgcd",8.73021076042138e-12,0.908597507830672,0.233,0.123,3.04396258583612e-07
"Tsc22d3",4.28557248425685e-11,0.389060713211696,0.156,0.065,1.49425055808583e-06
"Hmgcs1",1.53709203484047e-10,-0.511465715449493,0.184,0.282,5.35937879787827e-06
"Calm1",2.68729634153529e-10,-0.312876613831782,0.718,0.775,9.3697961540311e-06
"Mt1",1.16035304022944e-09,0.402283277422925,0.505,0.371,4.04580294536798e-05
"Cyp51",1.25083473538953e-09,-0.465240489800934,0.152,0.243,4.36128547188269e-05
"Gm9925",1.37179281686978e-09,0.334912591092778,0.354,0.231,4.78303001457986e-05
"Calm2",1.92791454388544e-09,-0.325470297604483,0.543,0.631,6.72205964016535e-05
"Rmst",1.99256446119224e-09,0.413091926147683,0.648,0.549,6.94747450683899e-05
"Pigk",2.42567773131219e-09,-0.392393010961285,0.533,0.62,8.45761054576621e-05
"Rgs6",3.88483625699121e-09,-0.342914014302232,0.627,0.7,0.000135452585772513
"Ptprd",5.26903731897082e-09,-0.281000019136676,0.629,0.685,0.000183715524200556
"Plcb4",6.17947462415004e-09,0.333844757269766,0.464,0.335,0.00021545974172024
"2610035D17Rik",8.06969709207476e-09,0.356043722320574,0.296,0.184,0.000281366128509371
"Cadm1",9.2527901811799e-09,0.26842363693224,0.896,0.895,0.0003226170352472
"Tra2a",1.14553441976695e-08,0.33796185441826,0.492,0.361,0.000399413486140141
"Ptgds",1.84555982971262e-08,0.369005886293877,0.486,0.356,0.0006434913458259
"Gpr158",1.86823226887965e-08,-0.483988000357949,0.162,0.248,0.000651396545190268
"Nrgn",2.46566293499416e-08,-0.327715533126628,0.514,0.595,0.000859702695544415
"Pitpnm2",3.73872288028815e-08,0.336354774348348,0.191,0.106,0.00130358050667007
"Agmo",3.9532763096148e-08,0.370180402629197,0.429,0.314,0.00137838885087339
"Spacdr",4.63631535098282e-08,0.316434392720853,0.463,0.328,0.00161654407342718
"Mat2a",4.73052978467774e-08,0.331577696306764,0.444,0.317,0.00164939382002359
"Nalcn",5.00495466375712e-08,0.383467832481407,0.101,0.041,0.0017450775426122
"Id3",5.28824893497021e-08,0.39990592597703,0.208,0.121,0.00184385375615606
"Ttyh1",5.41299313539954e-08,0.265842947944114,0.738,0.62,0.00188734831651976
"Cmss1",5.41975182427683e-08,-0.311780200066925,0.517,0.591,0.0018897048685706
"Erc1",5.44466831517235e-08,0.299484085511765,0.418,0.299,0.00189839250145114
"Nrg3",5.61324492242289e-08,-0.353859558385565,0.274,0.359,0.00195717010710119
"Plcl1",5.62452943142309e-08,0.318671757042245,0.507,0.382,0.00196110467685429
"Gm49708",7.74022387504658e-08,0.375573024834631,0.223,0.134,0.00269878385851249
"Kcnd3",8.23150678396685e-08,0.385901045602946,0.157,0.082,0.00287007947036572
"Tef",8.59221814937943e-08,0.292886513828048,0.4,0.282,0.00299584870214413
"Sat1",1.07436642687354e-07,-0.335813357229005,0.587,0.64,0.00374599342057999
"Crlf3",1.1644470381003e-07,0.300272973541376,0.491,0.36,0.00406007748774431
"Ccdc85a",1.22746197339536e-07,0.353095669564448,0.434,0.323,0.00427979166263761
"Prr5",1.73054215220738e-07,0.252962584699083,0.121,0.056,0.00603388132210148
"Camk1d",1.76017990054274e-07,-0.290471842458686,0.601,0.655,0.00613721925922238
"Pdgfd",1.79865028436024e-07,0.390988097372113,0.125,0.06,0.00627135394647883
"Mical2",2.0624859059371e-07,0.291662420896658,0.534,0.414,0.00719126960823089
"Ate1",2.16891824836698e-07,0.292388397273092,0.373,0.258,0.00756236725658114
"Slc24a3",2.54075714165165e-07,0.270453286815989,0.269,0.17,0.00885885792579682
"Mir6236",2.59675787872625e-07,-0.426724595239512,0.261,0.337,0.00905411569575483
"9330159F19Rik",2.66754126937911e-07,0.29598499484222,0.247,0.152,0.00930091614394416
"Plekhg1",3.02975938212169e-07,0.301725510079822,0.536,0.417,0.0105638620376437
"Car8",6.12176324960112e-07,-0.370547772063079,0.134,0.208,0.0213447519223842
"Prkd1",6.22474589431117e-07,0.263862462481435,0.681,0.574,0.0217038215096948
"Hmgcr",6.36741913124627e-07,-0.39096237364328,0.219,0.294,0.0222012802849164
"Cnn3",6.5261691606576e-07,0.294103193742051,0.181,0.103,0.0227547940124649
"Hsp90aa1",8.97456516533306e-07,-0.33803532954895,0.361,0.433,0.0312916163619668
"Gpt2",9.92947315511735e-07,0.314740014557082,0.153,0.085,0.0346210940499476
"Zcchc7",1.98621012200154e-06,0.253134325249565,0.58,0.463,0.0692531883238277
"A330093E20Rik",2.0852886601486e-06,0.304829991084535,0.163,0.093,0.0727077597134011
"Apba2",2.15239609712093e-06,-0.346731236976071,0.426,0.477,0.0750475947183156
"Atp2b2",2.60635663901038e-06,-0.291811131159853,0.353,0.426,0.0908758369323748
"9630028H03Rik",2.63116416522559e-06,0.317023983547984,0.309,0.216,0.0917408009489208
"Slco1c1",2.75361030904165e-06,-0.26053449111429,0.657,0.717,0.0960101306453551
"Msmo1",3.09468418001937e-06,-0.343830664271476,0.32,0.391,0.107902353304735
"Cables1",3.68224649595298e-06,0.261883953184098,0.293,0.205,0.128388888574392
"Tmsb4x",3.96457524443623e-06,-0.302480373732882,0.417,0.48,0.138232845047758
"Ivd",5.20678146054741e-06,0.275978208948009,0.382,0.282,0.181544849184906
"Mgat5",5.22551989281381e-06,-0.330490529180419,0.41,0.47,0.182198202102739
"4930505G20Rik",5.68887804914928e-06,0.253821322360815,0.26,0.172,0.198354110939688
"Lama3",6.92519169676991e-06,-0.347048789332588,0.356,0.421,0.241460658891277
"Nhsl1",6.92968846840203e-06,-0.320432602055309,0.552,0.599,0.241617447827774
"Ptprj",8.88199140354675e-06,0.37113642101431,0.191,0.12,0.309688394267465
"Gm34408",9.6911913943623e-06,0.30050263504856,0.144,0.083,0.33790277034723
"Wnk2",9.7626622034741e-06,0.257377486366257,0.538,0.439,0.340394743048531
"Clk1",1.08791416327152e-05,0.251444908310636,0.377,0.278,0.379323031307881
"Gm35552",1.12968677311991e-05,0.292237785527902,0.412,0.32,0.393887887183719
"Stmn2",1.2602142412172e-05,-0.335427468463209,0.224,0.295,0.439398899485201
"Nt5c2",1.4116843912927e-05,0.252592902734702,0.438,0.332,0.492211996712025
"Pard3bos1",2.14827783557131e-05,0.283548418849727,0.25,0.174,0.74904003292865
"Unc13c",2.15087057577886e-05,0.343127918999627,0.551,0.478,0.749944043656816
"Gm13187",3.25768137003336e-05,0.263236695645685,0.257,0.181,1
"Gm15738",3.62972520154647e-05,0.252635635155143,0.133,0.078,1
"Atxn1",3.81744938228888e-05,0.256650932323903,0.407,0.312,1
"Basp1",5.05344079514565e-05,-0.297160512800909,0.286,0.352,1
"Clu",6.8928071818609e-05,0.289381045789359,0.487,0.402,1
"Fhit",7.0946304512852e-05,0.266894020626173,0.423,0.336,1
"Bach2",0.000131014795180786,-0.25095770867458,0.479,0.53,1
"Cd63",0.000148035713360665,0.254990032356069,0.207,0.145,1
"Sc5d",0.000175914915984542,-0.250816391548043,0.085,0.131,1
"Fdft1",0.000177300174685645,-0.347957308602767,0.176,0.225,1
"Lrmda",0.000200321358186763,0.347335124748152,0.214,0.153,1
"Lhfp",0.0002186250757621,0.303575413511727,0.221,0.158,1
"Chgb",0.000241442940549974,-0.297996772423467,0.181,0.233,1
"Gabbr2",0.000260248434794716,-0.25766754111551,0.384,0.431,1
"Epha4",0.000318206337854913,-0.310402073859819,0.169,0.219,1
"Atp8a1",0.000337589472268155,-0.278461869197779,0.328,0.375,1
"Grm7",0.000481036692415983,-0.262285802820129,0.109,0.153,1
"Elovl6",0.000501303356037173,-0.354461232794258,0.163,0.21,1
"Frrs1l",0.000514283266393381,-0.258790503749372,0.121,0.169,1
