"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",2.68783115945253e-08,-0.67242340711289,1,1,0.000937166090366315
"Grm7",4.41665889196177e-05,0.933468287829887,0.955,0.755,1
"Prkca",0.00014391042538313,1.59598020084475,0.318,0.038,1
"Rora",0.000242561453795814,0.866762519393925,0.924,0.736,1
"Plcb4",0.000404345204614827,1.56716038592672,0.409,0.113,1
"Eif4g3",0.000572543910698728,-1.52461863485317,0.091,0.34,1
"Rpl12",0.000591242490124921,-1.48472897799659,0.045,0.264,1
"Cisd1",0.000591618542171896,-1.37631974969196,0.03,0.245,1
"Airn",0.000994116800499201,-0.79364821564319,0.394,0.66,1
"Scg2",0.00117217893401171,-1.54452618378091,0,0.151,1
"Ano4",0.00122657479169667,1.1517486036704,0.576,0.264,1
"Tbx3os1",0.00148030321758422,0.883555008445653,0.606,0.34,1
"Dync1i2",0.00178884019365015,1.23126567674095,0.288,0.057,1
"Itpr2",0.00183492721660086,1.0642649451777,0.591,0.302,1
"Nvl",0.00195819904002981,1.34638840853215,0.167,0,1
"Ldlrad4",0.00198844376130162,1.6993656701825,0.242,0.038,1
"Uchl1",0.00208306162550373,-1.36287819155619,0.106,0.321,1
"G3bp1",0.00237239575220866,-1.34538066068445,0.015,0.17,1
"Cblb",0.00250002706657965,1.2261127890462,0.242,0.038,1
"Pex1",0.00251000831442059,-1.23929374547967,0,0.132,1
"Mrpl54",0.00251000831442059,-1.28135833892622,0,0.132,1
"Dnajc15",0.00251000831442059,-1.28818529626048,0,0.132,1
"Pdzd2",0.00255787128582815,0.89486496259075,0.636,0.358,1
"Baz1b",0.00282424202325085,1.37568230875185,0.197,0.019,1
"Pik3c2a",0.00310065015313938,1.36923032649777,0.197,0.019,1
"Scn1b",0.00319189475019014,-1.28936646650212,0.045,0.226,1
"Snx24",0.00329113589632969,1.26114079420402,0.152,0,1
"Apoe",0.00336968080620327,1.159360724157,0.545,0.264,1
"Nae1",0.00337315231796842,-1.46741256769514,0.03,0.189,1
"Pkn2",0.00362658103000911,1.01833407589726,0.273,0.057,1
"Tia1",0.00379108623297806,1.05388947036686,0.303,0.075,1
"Ncor2",0.00384232219070215,1.18904206718542,0.227,0.038,1
"Diaph2",0.00392770352785965,0.690949789108557,0.727,0.453,1
"Itm2b",0.00431537944665383,-0.65509764642132,0.5,0.717,1
"Smim13",0.0049690529541566,1.36049663403461,0.182,0.019,1
"Timp2",0.00512509834848793,-1.26173130946253,0.015,0.151,1
"Slco3a1",0.00533158448290387,0.657883849864514,0.561,0.264,1
"Arpc5l",0.00535278985840407,-1.19085852844794,0,0.113,1
"Tmem178b",0.00535278985840407,-1.41729518342762,0,0.113,1
"Galnt2",0.00535278985840407,-1.10041280309938,0,0.113,1
"Nars",0.00535278985840407,-1.15862053650135,0,0.113,1
"Soga1",0.0055076498386583,1.15431319907203,0.136,0,1
"Spata6",0.0055076498386583,1.17073709183117,0.136,0,1
"C2cd3",0.0055076498386583,1.16767178125968,0.136,0,1
"Phldb1",0.0055076498386583,1.09419540178644,0.136,0,1
"Rps3",0.00571262160178112,1.27304713441254,0.212,0.038,1
"Zer1",0.005915788063051,-1.23018895329708,0.015,0.151,1
"Chchd2",0.00595080841651814,-0.957222221751525,0.152,0.358,1
"Pde4d",0.00608882066381943,-0.648741529965116,0.652,0.792,1
"Lyst",0.00637647238143532,1.18411416699049,0.212,0.038,1
"Rapgef5",0.00645082810354485,0.643604256747818,0.712,0.396,1
"Ccnt2",0.00691907488876761,0.978347385918951,0.212,0.038,1
"Arnt",0.0070011851184988,1.11069312178126,0.273,0.075,1
"Cp",0.00700436231121586,0.795286886211199,0.333,0.113,1
"Zfp292",0.00750280159813259,1.10108613557199,0.212,0.038,1
"Tbc1d4",0.00841917183970169,1.07277205980439,0.167,0.019,1
"Rabep1",0.00844817769896555,0.963966223067484,0.273,0.075,1
"Per3",0.00867639853385116,1.29764201016911,0.167,0.019,1
"Pds5a",0.00917276024457547,1.1032569503783,0.197,0.038,1
"Col4a4",0.00918544685912661,1.2089392843239,0.121,0,1
"Prrx1",0.00918544685912661,1.02838697597657,0.121,0,1
"Col1a2",0.00918544685912661,1.18746199705611,0.121,0,1
"Zbtb16",0.00918544685912661,1.30753933871658,0.121,0,1
"Ppil4",0.00918544685912661,1.3453328361433,0.121,0,1
"Tbc1d9b",0.00918544685912661,0.984551180332046,0.121,0,1
"Pard6g",0.00918544685912661,1.09768030974768,0.121,0,1
"Dzip3",0.00921201796005327,1.0235104746806,0.167,0.019,1
"Rftn2",0.009214071503401,-1.00178812233935,0.045,0.208,1
"9330162G02Rik",0.00977695416686879,0.853046281842073,0.167,0.019,1
"Gde1",0.00981527449169458,-0.976208974551772,0.121,0.302,1
"Nrgn",0.00995565561949127,-0.831522516971072,0.485,0.66,1
"Ranbp9",0.0107749848262236,1.12600817770259,0.197,0.038,1
