"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",7.24442483558977e-25,0.660362380428469,0.224,0.02,2.52591360742508e-20
"Gm47283",1.05310689039791e-20,0.510074436208443,0.168,0.009,3.6718677947504e-16
"Rn18s-rs5",8.32270662237505e-18,-0.300512726851847,1,0.998,2.90187811802351e-13
"Ptprz1",1.07264098932901e-09,0.451020039549937,0.616,0.415,3.73997733749347e-05
"Mt1",1.35638756206059e-07,0.336609882579023,0.166,0.063,0.00472931651263666
"Khdrbs2",1.97643763233023e-07,0.318459610684075,0.374,0.214,0.00689124509264582
"Grip1os2",3.75622193668498e-07,0.346359488582321,0.58,0.422,0.0130968190266395
"mt-Atp6",4.31232227815885e-07,0.255823211747077,0.158,0.061,0.0150357740872565
"Cacna1a",6.70394071228282e-07,-0.316461257503638,0.721,0.81,0.0233746300815165
"Ncoa7",1.18181522343483e-06,0.287310403173027,0.6,0.425,0.0412063513955023
"Cmss1",1.32071229893569e-06,-0.325196568500126,0.632,0.715,0.0460492757269906
"Camk1d",1.47912837014966e-06,-0.321449241401771,0.636,0.704,0.0515727688820081
"Fgf1",4.66683946556838e-06,0.318366433322615,0.485,0.321,0.162718691645973
"Nrgn",4.68780512082903e-06,-0.385715283761334,0.572,0.616,0.163449701147946
"Gm15577",7.66812717182661e-06,0.259814659839708,0.248,0.135,0.267364590100078
"Dock10",8.06577637533748e-06,0.287983960122563,0.479,0.336,0.281229424878892
"Gm32509",1.04762143646724e-05,0.378915787648679,0.424,0.282,0.365274166253033
"Gm26854",2.04578105038775e-05,0.269018656392122,0.21,0.111,0.713302478838698
"Dlx6os1",3.60792234079808e-05,-0.287961963032703,0.96,0.966,1
"Apoe",4.90982739951578e-05,0.351900998743484,0.448,0.312,1
"Robo1",5.53724476671667e-05,0.293671164984168,0.935,0.898,1
"Gm48321",6.87900063208712e-05,0.290287348913579,0.501,0.359,1
"Plp1",8.01181488732791e-05,-0.413582107168295,0.307,0.388,1
"4930419G24Rik",0.000152274618380027,0.292500073125821,0.246,0.151,1
"Cst3",0.000206678049561526,0.292245149381858,0.679,0.539,1
"Cntnap5c",0.000231027885236558,0.371801064193885,0.467,0.359,1
"Oxr1",0.000286860090065721,0.424428298586374,0.725,0.641,1
"Mir6236",0.000294603392901899,-0.333775969535235,0.329,0.402,1
"Grid2",0.000327266280160073,0.336006798807233,0.812,0.754,1
"Nkain3",0.000340279143872617,0.305315179172309,0.499,0.386,1
"Hs3st4",0.000455190376316034,-0.382791820579006,0.216,0.296,1
"Adcy1",0.000463924323442201,-0.331567913455569,0.329,0.406,1
"Chchd2",0.000472336297291352,-0.358376741736942,0.36,0.42,1
"Npy",0.000585272778594738,-0.273499881138292,0.469,0.557,1
"Arhgef2",0.000688157972128404,-0.312183683621099,0.113,0.18,1
"Tac2",0.000838680309508481,0.360748012769726,0.289,0.197,1
"9630028H03Rik",0.000905089039699074,0.251103631200325,0.499,0.388,1
"Prr16",0.000910073805637395,-0.403732760167599,0.299,0.382,1
"8030451O07Rik",0.000919811069230271,0.25618406191456,0.283,0.197,1
"Dnaja2",0.000947513464173332,-0.287742867830253,0.414,0.476,1
"Htr2c",0.00113522711895758,0.413846857040206,0.333,0.241,1
"Ptchd4",0.00153885586881841,-0.336110597846495,0.576,0.627,1
