"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",1.70546267965424e-276,0.692900813054309,0.408,0.114,5.94643672515042e-272
"Gm47283",2.92698384729809e-233,0.484969274575533,0.222,0.023,1.02055145803743e-228
"Nav3",5.31072802880326e-172,-0.323561757256928,0.954,0.983,1.85169154180283e-167
"Kcnma1",5.71586240559793e-137,-0.304997747420808,0.946,0.976,1.99294974495983e-132
"Slit2",2.0650565174573e-98,-0.568030842900646,0.401,0.562,7.20023255941836e-94
"Sgcz",3.95216805864953e-85,-0.362150614196197,0.891,0.951,1.37800243700933e-80
"R3hdm1",2.53185348850491e-70,-0.281952869202385,0.946,0.967,8.82781355837009e-66
"Asap1",6.11163681119092e-66,-0.298203502894707,0.813,0.87,2.13094440695794e-61
"Gm20752",1.03025350015521e-64,-0.417395770968876,0.071,0.18,3.59218487899116e-60
"Etl4",1.17440698274009e-63,-0.29941080127844,0.879,0.946,4.09480482671987e-59
"Rad51ap2",6.51753913119192e-61,-0.385692798296016,0.31,0.436,2.27247036887269e-56
"Gria1",2.11163810426547e-59,0.356417213208847,0.913,0.896,7.36264857814242e-55
"Hecw2",2.66054555431001e-57,-0.254710283692996,0.869,0.913,9.27652418421272e-53
"Itga8",4.58369539851765e-56,0.348271072672177,0.357,0.219,1.59819707460115e-51
"Cap2",5.42213269129619e-55,-0.287852839853104,0.736,0.803,1.89053500547424e-50
"Homer1",2.75967740171145e-54,-0.365802483411082,0.671,0.738,9.62216719654733e-50
"Etv5",2.35606897993397e-49,-0.340766426831052,0.274,0.394,8.21490571233576e-45
"Apoe",3.10522942249022e-49,0.498235304183221,0.453,0.309,1.08270034273966e-44
"Klf10",1.62510352292588e-48,-0.271434444142223,0.145,0.255,5.66624845338567e-44
"Ptgds",1.08621474058832e-47,0.438714368532636,0.502,0.356,3.78730493600928e-43
"Cacnb2",1.14214166863674e-43,0.481834238203911,0.771,0.701,3.98230535603571e-39
"1700016P03Rik",1.24339593393112e-43,-0.316645616195364,0.14,0.24,4.33534860283765e-39
"Gm10848",1.45120551600937e-42,0.261924048481742,0.174,0.087,5.05991827266988e-38
"Gm15414",5.90359678610566e-42,0.252594467065766,0.367,0.242,2.05840709141146e-37
"Grm1",3.51107789934867e-40,0.496430899857671,0.599,0.498,1.2242075311659e-35
"Gfod1",9.54077345174802e-40,-0.278101104861253,0.439,0.53,3.32658147942098e-35
"Zfp804b",3.73473445827462e-35,-0.433287863162847,0.39,0.497,1.30218986356661e-30
"Cadps2",4.36457546160567e-35,-0.303630897986831,0.462,0.57,1.52179652619805e-30
"Pdzrn3",1.25086194197357e-34,-0.378015812886454,0.531,0.596,4.36138033307923e-30
"9630028H03Rik",3.91142166865342e-34,-0.275825396183059,0.679,0.741,1.36379539320939e-29
"Tnr",1.59794092459842e-33,0.267238675694759,0.851,0.814,5.5715406217973e-29
"Slc9a9",4.87402846403635e-30,-0.301203330379808,0.644,0.694,1.69942750455555e-25
"Arntl",8.3815056383002e-30,-0.258436959067019,0.322,0.405,2.92237957090613e-25
"Cdh4",1.03302092063441e-27,0.263215307780329,0.347,0.248,3.60183404397599e-23
"Gm42439",1.54327327281732e-26,0.258119024732808,0.521,0.425,5.38093092033216e-22
"B230303A05Rik",4.40272908641688e-26,0.363868215834608,0.618,0.556,1.53509955056097e-21
"Pou6f2",9.04599557652026e-26,-0.258827173592912,0.246,0.331,3.15406727766532e-21
"Nell1",3.8906201295654e-25,-0.313756705464205,0.39,0.469,1.35654252057557e-20
"Zbtb20",4.84765664897932e-25,0.521325510453274,0.273,0.189,1.69023244379962e-20
"Dpp6",6.94616915661672e-20,0.288548230560488,0.799,0.767,2.42192079983755e-15
"Kctd8",1.17160303252351e-18,0.296362803283269,0.169,0.112,4.08502829349972e-14
"Caln1",3.21987507856857e-18,0.286362015314405,0.661,0.603,1.1226738436445e-13
"Cpne4",6.12961161282674e-17,0.268166693958822,0.566,0.49,2.1372116810443e-12
"Cst3",7.6161366804452e-17,0.314301973765255,0.614,0.522,2.65551837637083e-12
"Hs6st3",4.76269537619626e-16,-0.310013733352152,0.709,0.737,1.66060899681835e-11
"Meis2",2.24683827606396e-15,0.268721500092218,0.719,0.681,7.8340510171522e-11
"Cdh13",4.76191322703527e-12,0.257410232450201,0.456,0.393,1.66033628487039e-07
"Egfem1",9.54031257233692e-12,0.289800378034144,0.58,0.534,3.32642078459671e-07
"Tenm3",7.4858741724935e-07,0.295287916229432,0.474,0.424,0.0261009974772331
"Sst",0.00490880576820807,-0.250590061406524,0.228,0.248,1
"Erbb4",0.00655269640845775,0.293153074701675,0.2,0.178,1
"Reln",0.0175905300072037,0.29421424439928,0.114,0.101,1
"Galntl6",0.0463918374000905,0.268003545726266,0.58,0.565,1
