"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rab23",0.00504371891350007,-1.92119024681293,0,1,1
"Mfsd6",0.00504371891350007,-1.92119024681293,0,1,1
"Dgkd",0.00504371891350007,-2.81196938212559,0,1,1
"Fbxw7",0.00504371891350007,-1.92119024681293,0,1,1
"Usp1",0.00504371891350007,-1.92119024681293,0,1,1
"Clip1",0.00504371891350007,-2.15977772380496,0,1,1
"Rbm28",0.00504371891350007,-2.31588701766194,0,1,1
"Gabarapl1",0.00504371891350007,-1.92119024681293,0,1,1
"Ptprk",0.00504371891350007,-1.92119024681293,0,1,1
"Supt3",0.00504371891350007,-2.15977772380496,0,1,1
"Rab31",0.00504371891350007,-3.2071857450319,0,1,1
"Arhgap12",0.00504371891350007,-2.77651803070073,0,1,1
"Fam126b",0.0102357123912708,-1.80724371589779,0.143,1,1
"Gm14211",0.0102357123912708,-1.56865623890575,0.143,1,1
"Elovl6",0.0102357123912708,-1.80724371589779,0.143,1,1
"E130102H24Rik",0.0102357123912708,-2.13709714369819,0.143,1,1
"Hmg20a",0.0102357123912708,-1.88069409789546,0.143,1,1
"Rfx7",0.0102357123912708,-2.14832236487087,0.143,1,1
"Serinc1",0.0102357123912708,-2.45039446367141,0.143,1,1
"Safb",0.0102357123912708,-1.96335300975476,0.143,1,1
"Cuedc1",0.0150438093315315,-2.0671696207753,0.286,1,1
"Dnmt3a",0.0150438093315315,-2.3215704081819,0.286,1,1
"Akap11",0.0150438093315315,-1.53232611187378,0.286,1,1
"Suco",0.0208335917695244,-1.69524969911444,0.143,1,1
"Efcab14",0.0208335917695244,-1.69080898151355,0.143,1,1
"Wnk2",0.0208335917695244,-1.61735859951587,0.143,1,1
"Apba1",0.0208335917695244,-2.00097968987337,0.143,1,1
"Arhgap31",0.0210352600305067,-1.41297943553343,0.571,1,1
"Nrcam",0.0222454973346919,-1.43283447233903,0.714,1,1
"Snhg11",0.0226544940800894,0.922818077457319,1,0.667,1
"Nfia",0.0226544940800894,0.8597779339283,1,1,1
"Dlg2",0.0226544940800894,1.19536387435374,1,1,1
"Trps1",0.0226544940800894,-1.0618371230129,0.857,1,1
"Rbfox1",0.0226544940800894,1.62498243592107,1,0.667,1
"Agrn",0.0286557342167008,-1.49091434800319,0.286,1,1
"Arap2",0.0286557342167008,-1.41013093829921,0.286,1,1
"Rsf1",0.0286557342167008,-1.73998436609961,0.286,1,1
"Tom1l2",0.0286557342167008,-1.48358132029688,0.286,1,1
"Enpp2",0.0286557342167008,-2.01760469636814,0.286,1,1
"Eif5b",0.0344768375044154,-1.6351729297258,0,0.667,1
"Mfsd9",0.0344768375044154,-1.37606854802344,0,0.667,1
"Gulp1",0.0344768375044154,-1.8294295959138,0,0.667,1
"Atg16l1",0.0344768375044154,-1.5224872800473,0,0.667,1
"Usp40",0.0344768375044154,-1.5224872800473,0,0.667,1
"3110009E18Rik",0.0344768375044154,-1.6351729297258,0,0.667,1
"Zbed6",0.0344768375044154,-1.6351729297258,0,0.667,1
"Gm38187",0.0344768375044154,-1.8294295959138,0,0.667,1
"Rc3h1",0.0344768375044154,-1.71224666293386,0,0.667,1
"Gm38304",0.0344768375044154,-1.37606854802344,0,0.667,1
"Usf1",0.0344768375044154,-1.37606854802344,0,0.667,1
"Cox20",0.0344768375044154,-1.5224872800473,0,0.667,1
"Odf2",0.0344768375044154,-1.6351729297258,0,0.667,1
"Swi5",0.0344768375044154,-1.71224666293386,0,0.667,1
"Fam102a",0.0344768375044154,-1.6351729297258,0,0.667,1
"Stxbp1",0.0344768375044154,-1.5224872800473,0,0.667,1
"Itga6",0.0344768375044154,-1.81151032376438,0,0.667,1
"Calcrl",0.0344768375044154,-2.1455438868485,0,0.667,1
"D430041D05Rik",0.0344768375044154,-1.5224872800473,0,0.667,1
"G630016G05Rik",0.0344768375044154,-1.6351729297258,0,0.667,1
"Mga",0.0344768375044154,-1.5224872800473,0,0.667,1
"Spg11",0.0344768375044154,-1.5224872800473,0,0.667,1
"Sppl2a",0.0344768375044154,-1.5224872800473,0,0.667,1
"Snrpb",0.0344768375044154,-1.5224872800473,0,0.667,1
"Edem2",0.0344768375044154,-1.81151032376438,0,0.667,1
"Blcap",0.0344768375044154,-1.37606854802344,0,0.667,1
"Dnttip1",0.0344768375044154,-2.02311773210035,0,0.667,1
"Slc9a8",0.0344768375044154,-2.02311773210035,0,0.667,1
"Abhd18",0.0344768375044154,-1.8294295959138,0,0.667,1
"Naa15",0.0344768375044154,-1.98470348212931,0,0.667,1
"Gucy1b1",0.0344768375044154,-1.37606854802344,0,0.667,1
"Rsbn1",0.0344768375044154,-1.5224872800473,0,0.667,1
"Capza1",0.0344768375044154,-1.5224872800473,0,0.667,1
"4933431E20Rik",0.0344768375044154,-1.6351729297258,0,0.667,1
"Hadh",0.0344768375044154,-1.37606854802344,0,0.667,1
"Rragd",0.0344768375044154,-1.5224872800473,0,0.667,1
"Slc31a2",0.0344768375044154,-1.5224872800473,0,0.667,1
"Akr1a1",0.0344768375044154,-1.37606854802344,0,0.667,1
"Map7d1",0.0344768375044154,-1.5224872800473,0,0.667,1
