"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",7.66295564425713e-127,-0.579445040439858,0.999,1,2.67184274448313e-122
"Cst3",2.94968137612809e-44,0.640979937388854,0.967,0.905,1.02846540541458e-39
"P2ry12",4.88041979418419e-29,0.608908017923976,0.794,0.628,1.7016559696382e-24
"Mef2a",5.82459148281634e-25,0.500141226429266,0.852,0.742,2.03086031231357e-20
"Hexb",4.92231919966737e-21,0.390271854004396,0.901,0.791,1.71626503534802e-16
"Cmss1",3.24632522516601e-20,-0.607488307192345,0.428,0.578,1.13189621625863e-15
"Qki",2.62496237852586e-19,0.448399031577742,0.85,0.749,9.15245632520611e-15
"Csmd3",3.58140416569262e-17,0.445717269525173,0.878,0.803,1.24872819045205e-12
"Calm1",8.34995872953738e-16,-0.427026279248069,0.679,0.77,2.9113801102278e-11
"C1qc",1.55086134295632e-15,0.568167803151657,0.601,0.457,5.4073882444858e-11
"Ccnd3",3.67629012336388e-15,0.596468443212687,0.392,0.231,1.28181207731328e-10
"C1qa",7.07272098776884e-15,0.483776950026297,0.678,0.533,2.46604562680536e-10
"C1qb",1.1835336607822e-14,0.49935220510312,0.609,0.448,4.12662681504931e-10
"Il6st",3.2206790618013e-14,0.620932094333697,0.264,0.133,1.12295416847826e-09
"Mir6236",7.70609049985627e-14,-0.652298551531052,0.228,0.349,2.68688257458489e-09
"Siglech",2.97014059554913e-13,0.439835774187459,0.681,0.542,1.03559892145012e-08
"Mbnl1",4.48781846680277e-13,0.380035445733885,0.758,0.625,1.56476766482012e-08
"Ctss",1.11697504804854e-12,0.503295075433757,0.617,0.487,3.89455690003085e-08
"Fam102b",1.8534729076889e-12,0.528934253947725,0.449,0.308,6.46250398723888e-08
"Ptprd",3.38710087487752e-12,-0.487958726723423,0.42,0.53,1.18098046204355e-07
"Gm10790",3.5910622088731e-12,0.403899272017362,0.688,0.556,1.25209566036778e-07
"Dpp10",1.39126755048729e-11,-0.52495442605905,0.299,0.414,4.85093256828405e-07
"4933406I18Rik",1.66530008938784e-11,0.417402414296158,0.667,0.553,5.80640182166858e-07
