"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rn18s-rs5",3.1549982353187e-64,-0.653013256903739,1,1,1.10005323470857e-59
"Nlgn1",2.32203969618379e-14,0.323173773101428,0.988,0.975,8.096255808684e-10
"Dscam",1.04883947189555e-12,0.356510090814559,0.984,0.961,3.65698858665823e-08
"Mir6236",1.48770331521906e-10,-0.697624543037735,0.232,0.383,5.1871751491743e-06
"Cmss1",2.7063453992636e-09,-0.52366983810684,0.501,0.627,9.43621450361238e-05
"Grik2",3.2824183436253e-09,0.377737221239053,0.872,0.779,0.000114448080387183
"Tnr",3.15532739447599e-08,0.266969529494705,0.977,0.963,0.00110016800263194
"Erbb4",6.6580002506044e-08,0.270560634873038,0.971,0.949,0.00232144494737824
"Calm1",1.39628971663433e-07,-0.416016415118552,0.709,0.799,0.00486844335498893
"Cntn6",3.16368127613198e-07,0.461111195671847,0.532,0.381,0.0110308075054894
"9630028H03Rik",5.7888751540193e-07,0.388215482275328,0.319,0.182,0.0201840709995191
"Cst3",6.34875725734158e-07,0.372931143324216,0.686,0.518,0.0221362119291729
"mt-Rnr1",7.90311395822961e-07,-0.531651092247117,0.459,0.561,0.0275557874381592
"Sycp2",8.8694231511785e-07,0.4178543975266,0.414,0.262,0.0309250177012141
"Ctnna2",9.50392334239592e-07,0.250499033168616,0.953,0.893,0.0331373295179318
"Adam12",1.1258804904709e-06,0.425097685986306,0.503,0.348,0.0392560750612488
"Gm11149",1.30592838307757e-06,0.506897033826383,0.367,0.236,0.0455338049327656
"Qki",7.64520771911201e-06,0.299309089433502,0.934,0.877,0.266565457542278
"Slc35f1",1.10752278321878e-05,0.279692531013258,0.891,0.811,0.386159968824892
"Gpc6",2.36731643400971e-05,0.270306457506618,0.761,0.623,0.825412221046165
"Fer",2.41010997574088e-05,0.300169658520617,0.3,0.182,0.840333045241571
"Kazn",2.66442174770008e-05,0.295188419630799,0.711,0.57,0.929003930770588
"Zfp799",2.88065182299361e-05,0.346296904767711,0.128,0.055,1
"App",3.30637631341774e-05,-0.370668479902235,0.516,0.592,1
"Vcan",4.64465372109643e-05,0.285930050426835,0.863,0.801,1
"Pcmtd1",5.13007260583118e-05,0.39778808847601,0.36,0.246,1
"Fry",6.34462427416515e-05,0.281833729279919,0.698,0.572,1
"Trnp1",6.71475066744959e-05,-0.451011366968838,0.128,0.211,1
"Adgrv1",7.32630753707691e-05,0.399606168340608,0.236,0.143,1
"Calcrl",8.44938259843433e-05,0.379723231071374,0.421,0.307,1
"Thap3",8.82721050021189e-05,0.329009962733825,0.251,0.152,1
"Nrg3os",9.35997378876502e-05,0.36027856180534,0.289,0.182,1
"Lpp",9.50181007950428e-05,0.399874423290289,0.315,0.211,1
"ENSMUSG00000119984",9.80457106244836e-05,0.260080293229768,0.177,0.092,1
"Neu4",0.000138201140773411,0.307757341915784,0.412,0.291,1
"2900052L18Rik",0.000140313215205146,0.371501805856436,0.17,0.092,1
"Ocrl",0.000148083401820243,0.333561039255649,0.208,0.121,1
"Nnat",0.000149886280027378,0.281168139254459,0.475,0.348,1
"Gm32509",0.000151484183831249,0.262633376974685,0.662,0.533,1
"Hibadh",0.000155647243915261,0.292398090285614,0.22,0.131,1
"Gpld1",0.000159219423101898,0.308696865379598,0.236,0.139,1
"G0s2",0.00016666069956481,0.308880483283743,0.113,0.049,1
"Dpyd",0.000191563939644935,0.274381593349154,0.78,0.686,1
