"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",6.33426270378197e-24,-0.850672864770938,0.007,0.312,2.20856737692766e-19
"Gm47283",3.74620977863447e-16,-0.625713380584779,0.017,0.239,1.30619096351648e-11
"Rn18s-rs5",1.76523075083608e-13,-0.375197986556992,1,1,6.15483005894015e-09
"mt-Nd2",9.49209160542196e-09,-0.716451691390388,0.468,0.691,0.000330960758006248
"mt-Rnr2",4.16213206999308e-07,-0.529667731991935,0.773,0.893,0.0145121058884449
"mt-Cytb",3.05932262898219e-06,-0.716545523004315,0.632,0.728,0.106669402104722
"Tecr",8.67222762514404e-06,-0.284309761878041,0.548,0.746,0.302374560605897
"Slc45a4",1.36216228123392e-05,-0.26645039812955,0.054,0.165,0.47494512259783
"D130043K22Rik",1.95670172843143e-05,-0.386828633229116,0.314,0.485,0.682243191652186
"Kcnk12",2.17835948103318e-05,-0.274627009949718,0.104,0.239,0.75952860025184
"Ctdsp2",2.54529810984041e-05,-0.255469447070591,0.064,0.18,0.887469091958056
"Ethe1",2.93390956198754e-05,-0.260520534800849,0.03,0.121,1
"mt-Nd4",3.04741686663759e-05,-0.55555149226149,0.381,0.555,1
"Atrnl1",4.72005493491331e-05,0.361228371895387,0.789,0.706,1
"mt-Rnr1",7.21041579902516e-05,-0.44684501982971,0.666,0.794,1
"mt-Nd5",0.000121983891258654,-0.370990113040807,0.167,0.298,1
"Gnl1",0.00014522042025476,-0.293584325417971,0.05,0.14,1
"Slc22a17",0.000156437634875052,-0.324866084870343,0.548,0.721,1
"Cfl1",0.000190877963251476,-0.303141430949019,0.244,0.39,1
"Zmat2",0.000214776195409864,-0.298529952874987,0.137,0.261,1
"mt-Nd1",0.00023694942689931,-0.466599949034202,0.535,0.673,1
"Nucks1",0.000269454518249818,-0.336028999520694,0.308,0.449,1
"Bsn",0.000299879032147395,-0.294758574109894,0.338,0.504,1
"Snf8",0.000316141711748686,-0.280477666438701,0.127,0.246,1
"Wipf2",0.000343613556020584,-0.300495899406983,0.231,0.375,1
"Csmd2",0.000344565953551187,0.302368831076269,0.803,0.717,1
"Tecpr2",0.000349881685935329,-0.284083149583741,0.227,0.368,1
"Brd1",0.00035108346993335,0.3538862209343,0.341,0.221,1
"Stxbp5l",0.000444159553120438,0.259583191470256,0.883,0.857,1
"Slc38a2",0.000470021855430486,-0.302354517436293,0.421,0.57,1
"Chgb",0.000471916845254819,-0.333996647322252,0.622,0.743,1
"Arl3",0.000475266643270116,-0.317213811650671,0.308,0.449,1
"Stau1",0.000513153409793702,-0.27200716225845,0.13,0.246,1
"Nars",0.000550371198881791,-0.333166747873611,0.291,0.434,1
"Scg2",0.000556458135826551,-0.299597399791833,0.301,0.452,1
"Ubb",0.000562821273651745,-0.270724265936281,0.488,0.647,1
"Ncdn",0.0006534601562029,-0.268524869912855,0.117,0.224,1
"Ccdc127",0.000653670345624634,-0.267299927165246,0.097,0.195,1
"Rrnad1",0.000734731573361082,-0.283799471762031,0.174,0.29,1
"Gtdc1",0.00073897280212419,0.261109288765111,0.692,0.592,1
"Pgrmc2",0.00080865183006545,-0.278780586856289,0.084,0.176,1
"Ktn1",0.000881723217998443,-0.262531860732292,0.592,0.743,1
"Mkln1",0.000923144628642781,-0.287999908397502,0.381,0.518,1
"4930590L20Rik",0.000947229960829584,0.390847437991052,0.686,0.614,1
"mt-Co1",0.000963510605295262,-0.324029750784123,0.191,0.309,1
"Gnao1",0.000979809825377111,-0.279746211341219,0.609,0.724,1
"Supt16",0.00101520613485541,-0.261102167667729,0.181,0.298,1
"Plp1",0.00108445559377513,0.363644008088988,0.452,0.338,1
"Hsp90b1",0.00114482743465722,-0.25571277458355,0.338,0.478,1
"Rpl23",0.00119432588419479,-0.272739603408103,0.268,0.412,1
"Bsg",0.00136422872769194,-0.296684356310846,0.311,0.456,1
"Ywhag",0.00136952819647212,-0.258741965433718,0.475,0.618,1
"Zfand5",0.001391702307042,-0.305039126048385,0.304,0.43,1
"Pcdh15",0.00148626094353374,-0.416566615869129,0.324,0.456,1
"Rab18",0.0015305029929436,-0.273805274693159,0.151,0.254,1
"Matn2",0.00165576859386058,-0.273122272658814,0.161,0.265,1
"Gabarapl1",0.00177901278076512,-0.273976234590324,0.294,0.438,1
"Ddx39b",0.0018303610567535,-0.305085984075863,0.291,0.404,1
"Ube2v2",0.00209744159765545,-0.275848796970765,0.207,0.32,1
"Hspa5",0.00218021958889236,-0.337589563901679,0.241,0.357,1
"Hsp90ab1",0.00229117178349377,-0.297296119556936,0.799,0.879,1
"Tmx2",0.00236990927137954,-0.261995457536653,0.114,0.206,1
"Pdzd2",0.0024049599979789,0.294793405582469,0.595,0.526,1
"Scg5",0.00250456395887843,-0.26206367550189,0.612,0.662,1
"Ttc17",0.00250978939853314,0.312295199291424,0.445,0.353,1
"Nptxr",0.00256066014552809,-0.276396110112447,0.247,0.36,1
