"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",7.69329289307249e-66,-0.848510501437344,0.056,0.412,2.68242043302759e-61
"Gm47283",7.79258058411668e-49,-0.626541058227216,0.01,0.251,2.71703907226396e-44
"Rn18s-rs5",1.8112163273604e-30,-0.372667886494929,1,1,6.31516796860749e-26
"Nav3",7.27524394762635e-24,0.274428446915675,0.992,0.979,2.53665930721888e-19
"Kcnd2",5.10527696929879e-15,0.29055190632321,0.995,0.957,1.78005692088541e-10
"Hecw2",1.94774543971135e-12,0.296205810530393,0.956,0.932,6.79120402464156e-08
"mt-Cytb",2.9104120071675e-12,-0.559457325845105,0.641,0.743,1.01477335453909e-07
"ENSMUSG00000120241",1.30665628006119e-10,-0.30834180814941,0.4,0.557,4.55591845168937e-06
"Pou6f2",7.60554927179865e-10,0.331278633545544,0.382,0.238,2.65182686459804e-05
"mt-Nd2",1.03958454782174e-09,-0.469344813077916,0.511,0.634,3.62471944289007e-05
"mt-Nd1",3.90616051541959e-08,-0.391230639073309,0.536,0.637,0.00136196098691135
"Trhde",8.07547724228753e-08,0.276730610999172,0.494,0.362,0.00281567665006839
"C730002L08Rik",1.44244551055897e-07,0.251056255930971,0.276,0.164,0.00502937476166598
"mt-Rnr1",1.93753292270625e-07,-0.386145016480327,0.639,0.722,0.00675559604159989
"Snw1",2.03563995426145e-07,-0.257303282851249,0.249,0.371,0.0070976658285234
"mt-Rnr2",2.09796447920071e-07,-0.292109108376527,0.728,0.802,0.00731497274962911
"Hdac9",3.43941670553762e-07,0.293284178903707,0.706,0.621,0.011992214227198
"Wwox",6.83879288967569e-07,-0.3663185435346,0.454,0.562,0.0238448191684322
"Lhfp",1.12235860288623e-06,0.316713116746025,0.368,0.262,0.0391332774068342
"Gm16036",1.51498878331315e-06,-0.262198460245109,0.129,0.219,0.0528231139077795
"Pcdh11x",3.72586161349454e-06,0.300819408006704,0.511,0.418,0.129909616877714
"mt-Nd4",7.45709941172023e-06,-0.366892955362818,0.461,0.545,0.260006685188449
"Homer1",7.96722804449659e-06,-0.302276070975745,0.584,0.659,0.277793340227463
"Kcnd3",1.79072987630166e-05,0.257430413754261,0.644,0.589,0.6243737859701
"Epha6",1.99198242091089e-05,-0.304445887964685,0.399,0.494,0.694544510698999
"Pitpnc1",2.93221222735528e-05,0.267574274748045,0.667,0.592,1
"Cntnap5b",4.72479855164815e-05,-0.412258947476969,0.359,0.44,1
"Hs3st5",5.4623578007964e-05,0.251806380561865,0.603,0.531,1
"Creb1",7.98582610813508e-05,0.250537341629142,0.42,0.347,1
"Cdh6",0.000115095697237741,0.261771126840836,0.349,0.268,1
"Cdh9",0.000189828613968529,0.306368743369158,0.594,0.527,1
"Nnat",0.000209342313376344,-0.323527204428121,0.163,0.238,1
"Zfp804b",0.00057942644896556,0.330323762098663,0.274,0.205,1
"Fgf1",0.0021618346439978,-0.276182109596973,0.156,0.211,1
"Lingo2",0.0261319228053437,-0.34516049880483,0.356,0.403,1
"Gm20754",0.0748256795608414,-0.256378011108537,0.08,0.107,1
"Kirrel3",0.783640126107744,-0.261727945703175,0.137,0.14,1
