"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pawr",9.52538894886572e-06,-1.08069783408181,0.175,0.446,0.332121736480101
"Gm49267",7.11597393844039e-05,1.00539242999923,0.443,0.223,1
"Fbxl7",0.000176642436448298,0.548728976334053,0.918,0.873,1
"Atp2b1",0.00021525765891624,0.635813044210273,0.67,0.471,1
"Arl3",0.000221660764159152,0.623613509965489,0.402,0.197,1
"Slco3a1",0.000286321147760626,-0.702167826410865,0.196,0.439,1
"Pmepa1",0.000298986311651909,-0.910568929139355,0.124,0.318,1
"Arhgef28",0.000310446047334346,-0.697217177251633,0.196,0.427,1
"Gm9856",0.000379706409269013,0.584537079731676,0.113,0.013,1
"Gpi1",0.000394674431579281,-0.729526787300227,0.021,0.166,1
"Zcchc14",0.000603172510151818,-0.791520030156968,0.021,0.153,1
"Crim1",0.000606143417832971,-0.657427309071274,0.361,0.58,1
"Pamr1",0.000643994765747169,-0.815703537815714,0.01,0.134,1
"Ctif",0.000751948575758887,-0.699720043230921,0.041,0.191,1
"Nudt4",0.000804850103056824,-0.842597935681636,0.124,0.306,1
"Pbx3",0.000864194946755727,-0.612572636059089,0.68,0.86,1
"Gm29683",0.000901227155825733,-0.615453577099326,0.32,0.554,1
"Rsf1os1",0.00093648304453879,0.700158947670932,0.155,0.038,1
"Echdc2",0.000995749095752081,-0.872265060361631,0.031,0.166,1
"Zfp563",0.00101095125969777,0.575700247569763,0.103,0.013,1
"Car10",0.00109551516705339,0.662833317078904,0.155,0.038,1
"Gcfc2",0.0011389977961461,0.549369753726034,0.155,0.038,1
"Kcnip4",0.00120996838593344,0.693633159837754,0.546,0.363,1
"Mat2b",0.00130298557580386,0.702687208923282,0.196,0.064,1
"Hspb8",0.00143219203587196,-0.593924369151761,0.01,0.121,1
"Cox6b2",0.00155239210798406,0.579589660763873,0.113,0.019,1
"Kat6b",0.00156723686919301,-0.539802769743154,0.216,0.433,1
"Eif4g3",0.00157888412687057,-0.615991059944229,0.381,0.586,1
"Atp5a1",0.00200316044828894,0.806589939559973,0.423,0.261,1
"Swt1",0.00201621713859556,-0.735154140790017,0.103,0.261,1
"Efna5",0.0021840310616316,-0.713352770634058,0.32,0.484,1
"Edc3",0.00223231092457396,0.585927793676373,0.155,0.045,1
"Ehbp1",0.00230226816468097,-0.551489823607681,0.515,0.675,1
"Bag1",0.00231382963508073,0.473592322791097,0.134,0.032,1
"Inpp5f",0.002442142525206,0.623986249496734,0.155,0.045,1
"Bsg",0.00247605444869921,0.601077939010083,0.433,0.255,1
"Gm26672",0.00259743651247849,0.486486088605269,0.186,0.064,1
"Klf12",0.00264410607972881,-0.467110837131323,0.629,0.79,1
"Camta1",0.0028774650065966,-0.581666411072011,0.237,0.427,1
"Hacd3",0.00299171947973638,-0.600413694800931,0.041,0.166,1
"Celf2",0.00300643718168596,0.349159778764499,0.907,0.866,1
"Bcl6",0.00308460563388376,-0.619370080329133,0.041,0.166,1
"Phb2",0.00312301355686779,0.505229647413658,0.103,0.019,1
"Tnks",0.00327905124652812,-0.661001693961711,0.113,0.268,1
"Mxi1",0.00335131291990753,-0.528770707212869,0.062,0.204,1
"Ppil2",0.0033751693300853,-0.549598298808817,0.021,0.127,1
"Hcfc1r1",0.00343567708212026,0.640901482586524,0.124,0.032,1
"Myl12b",0.00349773014895179,-0.498878463743874,0.01,0.108,1
"Bcl2l1",0.0036299136613063,-0.695267134796457,0.082,0.217,1
"Pdpk1",0.00364593778905639,-0.738222774412477,0.072,0.204,1
"Btaf1",0.00369826804662422,0.668950228951201,0.309,0.166,1
"Zfand3",0.00371642076069496,-0.688809786252381,0.309,0.478,1
"Ndrg1",0.00395314236583168,-0.599812936324407,0.196,0.369,1
"Fmr1",0.00412355927973658,-0.730128292801793,0.093,0.229,1
"Nt5c2",0.0041587951777599,-0.480978724569359,0.227,0.427,1
"Tfrc",0.0041709623598483,0.509081673630626,0.124,0.032,1
"Fam199x",0.00427657851695378,0.532364793648817,0.113,0.025,1
"Cnpy3",0.00434541502164551,0.531165398354088,0.134,0.038,1
"Ubac1",0.00438979729796079,0.54860280662334,0.124,0.032,1
"Nebl",0.00461851773560949,-0.355540353833211,0.722,0.834,1
"G3bp2",0.00469660073927376,-0.64818873731262,0.082,0.217,1
"Pkd1",0.00478657305460615,-0.598886199313105,0.186,0.35,1
"Nipbl",0.00482763259972122,-0.39617657098315,0.433,0.611,1
"Etfbkmt",0.00496123254689773,0.537792987909355,0.134,0.038,1
"Lmx1b",0.00514793993869667,0.624220156071079,0.237,0.108,1
"Dusp11",0.00531674590036529,-0.669485741375264,0.103,0.242,1
"Elmo1",0.0055238515410049,-0.546130917919255,0.175,0.35,1
"Pik3c3",0.00557882026444917,-0.517345438545936,0.021,0.121,1
"Dyrk1a",0.00573396755100743,-0.57733746683862,0.155,0.306,1
"Cox7b",0.00592347429936586,0.476690060991935,0.299,0.159,1
"Nell2",0.00603044626647233,0.656405531114485,0.206,0.089,1
"Zeb2",0.00609022610809197,-0.720256349918951,0.175,0.325,1
"Gm49839",0.00631599007818275,-0.38264870629537,0.031,0.14,1
"Grk5",0.00641600232573379,-0.706456812319178,0.227,0.395,1
"Tcf12",0.00678334246474559,-0.426393491329093,0.588,0.726,1
"Clic4",0.00701651219031478,-0.474105927734556,0.464,0.618,1
"Slc16a11",0.00704194406672484,0.644001835701188,0.557,0.439,1
"Agtr1b",0.00708322471726378,-0.519746806974724,0.103,0.248,1
"Pabpn1",0.00708389274666829,-0.477407506827015,0.052,0.166,1
"Asap3",0.00712108001921888,-0.477980851713774,0.124,0.274,1
"Cox5b",0.00723484015716144,-0.589675379146019,0.113,0.255,1
"Gm49265",0.0072505918522374,0.649065306721089,0.124,0.038,1
"Mical2",0.00731027996774651,-0.509665377292023,0.237,0.408,1
"Snx1",0.00742299672742449,0.53428618738064,0.196,0.083,1
"Tdrd3",0.00747207076477571,-0.419375047594682,0.103,0.248,1
"Tmem178b",0.00751807579652031,-0.625695936799621,0.082,0.21,1
"Pabpc4",0.00762818036213216,0.594797653547773,0.196,0.083,1
"Tns2",0.00764736906778096,-0.452718133602618,0.031,0.134,1
"St13",0.0077839232101459,0.583236848107306,0.278,0.146,1
"Eva1c",0.00780439396314798,-0.650339049587365,0.196,0.344,1
"Lpcat3",0.00809663440780478,0.554724763740404,0.175,0.07,1
"Fjx1",0.00833974162835162,0.496952235477489,0.103,0.025,1
"Dennd4a",0.00840765106638036,-0.38053922794042,0.474,0.643,1
"Uaca",0.0084180951254237,-0.502702301146374,0.299,0.459,1
"Klf7",0.00861383095612493,-0.39825010819833,0.206,0.389,1
"Mon2",0.00864036579617599,0.637832716268507,0.289,0.159,1
"Mterf2",0.00864602854626416,0.510147652598674,0.113,0.032,1
"Sik1",0.00869666196435398,-0.641065427584459,0.031,0.127,1
"Med6",0.00887866175780543,-0.486240671989934,0.031,0.127,1
"Anapc1",0.00891360452181922,-0.481497726711467,0.082,0.21,1
"Map9",0.00894939217082039,0.494940983605827,0.124,0.038,1
"Clk3",0.00894939217082039,0.576959270881847,0.124,0.038,1
"Ubr4",0.0090016816386942,-0.490344901998858,0.072,0.197,1
"Foxp1",0.0093629564506785,-0.295522119715667,0.887,0.962,1
"Cmas",0.00953244827250585,0.505420534390959,0.113,0.032,1
"Rora",0.00960642297258819,-0.411837680588608,0.639,0.79,1
"Gm12940",0.00981851142842582,-0.44676463491027,0.021,0.108,1
"Cdk16",0.00984066950334227,-0.540937410837099,0.031,0.127,1
"Atp5g1",0.00986909649475193,0.563380819148078,0.247,0.127,1
"Man1a",0.00997615378766695,-0.421190940794344,0.371,0.561,1
"Trmt11",0.0100368789810749,0.479347643307524,0.134,0.045,1
"Tcf7l1",0.0102924336969751,-0.562079828204897,0.258,0.42,1
"Stard13",0.0105076758360367,0.487552331141898,0.124,0.038,1
"Bche",0.0106053797984691,-0.721652110043085,0.247,0.389,1
"Tgfb2",0.0106256912716822,0.473674164256549,0.113,0.032,1
"Plxna2",0.0106677647594294,-0.488236716560413,0.33,0.49,1
"Rbfox2",0.0108783269764512,-0.394061538850695,0.608,0.726,1
"AU040320",0.0109442867953001,0.705921133755027,0.186,0.083,1
"Chd8",0.0109469126353783,-0.612123574580352,0.082,0.197,1
"Dbp",0.0109591715500784,0.603351033941294,0.216,0.108,1
"C920021L13Rik",0.0109951600023671,0.41285914981548,0.124,0.038,1
"Eif1",0.0110107625999208,0.628774224984142,0.474,0.35,1
"Asxl2",0.0112018536431329,-0.609835027141161,0.165,0.293,1
"Ccdc173",0.011215597134503,-0.422711805991632,0.021,0.108,1
"Slc25a28",0.011215597134503,-0.373338342403838,0.021,0.108,1
"Csmd1",0.0114408957194392,-0.45631525060123,0.155,0.312,1
"Ncor1",0.0116648577263874,-0.52040941014659,0.423,0.586,1
"Rnf130",0.0118522253551216,0.580381167182827,0.32,0.197,1
"Adgrl1",0.0119056539834989,-0.726669647703869,0.113,0.229,1
"Gm44686",0.0119086363641987,0.432606055023317,0.155,0.057,1
"Dennd10",0.0119740600841669,-0.4707600321812,0.041,0.14,1
"Dpy19l4",0.0123203162643892,-0.476481618369227,0.052,0.159,1
"Hsp90aa1",0.0123983970855798,0.630293858593509,0.474,0.35,1
"Arhgef17",0.012429919863365,-0.487204542260802,0.052,0.159,1
"Vwa8",0.0124937909930914,-0.537074164127222,0.227,0.369,1
"Ikbkb",0.012675161955339,-0.50004198541617,0.062,0.166,1
"Gabra1",0.0127295469272308,0.556802556672682,0.227,0.115,1
"Kif2a",0.0128797801323024,0.481928685509073,0.258,0.134,1
"Adam22",0.0129046020172223,-0.526851295861254,0.093,0.217,1
"Plp1",0.0130412265559776,0.428468766135517,0.495,0.357,1
"Elf1",0.0131158456727247,-0.497849015834511,0.289,0.459,1
"Slc5a6",0.0132161029653058,0.556608053963691,0.392,0.255,1
"Col4a2",0.0135947837011512,-0.447447939881439,0.041,0.14,1
"5830417I10Rik",0.0135956785529329,-0.525683775324506,0.021,0.102,1
"Dpy30",0.0135956785529329,-0.551866805530107,0.021,0.102,1
"Gm15261",0.0136192245064331,0.610195245915162,0.32,0.191,1
"Fign",0.0137464870653921,-0.533858393835956,0.021,0.102,1
"Ubash3b",0.0138221210142632,-0.595856220046758,0.289,0.439,1
"Scaf1",0.0138515682920478,-0.439372415332737,0.031,0.121,1
"Pin1",0.0140525424578096,-0.523166807544337,0.021,0.102,1
"Prpsap2",0.0140525424578096,-0.435377692428204,0.021,0.102,1
"Pml",0.0141178183703629,0.53090707263544,0.144,0.057,1
"Qki",0.0141922320757823,-0.576834850359622,0.351,0.49,1
"Grin2b",0.0144214826953859,-0.518285078133323,0.113,0.242,1
"Usp13",0.0144757837667161,-0.595215913647744,0.041,0.134,1
"Car13",0.0144878927363711,-0.570777432360668,0.268,0.414,1
"Tmod3",0.0147200437094596,-0.304044621954887,0.216,0.376,1
"Dgki",0.0148441379665147,-0.511108268269098,0.021,0.102,1
"Pcnt",0.0148561722759511,-0.46472224042805,0.031,0.121,1
"Scd2",0.0148619920370667,0.586448722482833,0.392,0.274,1
"Fam214a",0.0148666793684371,-0.50300635382216,0.227,0.382,1
"Gm11713",0.0151016324653454,-0.514935551501726,0.041,0.134,1
"Rtn4",0.0151145831540978,-0.623959356570392,0.299,0.446,1
"Rgs4",0.0151716176640581,-0.522905119289667,0.021,0.102,1
"Cdc42bpa",0.0154020592526555,-0.441580264881058,0.33,0.484,1
"Prr14l",0.0154084509671755,-0.560414269810127,0.062,0.166,1
"Oxct1",0.0154449025036006,0.498438976333992,0.351,0.21,1
"Ranbp2",0.0155820176065811,-0.61957318481,0.299,0.439,1
"Cebpg",0.0156747664104523,-0.432510682358667,0.021,0.102,1
"Usp50",0.015951954502221,-0.551443194225849,0.072,0.178,1
"Egfros",0.0159773559272057,-0.416595608921641,0.082,0.191,1
"Golga4",0.016020651225209,-0.445877540948373,0.103,0.217,1
"Lysmd2",0.0165460123016208,-0.393370863742215,0.021,0.102,1
"Tusc3",0.0166150021833251,0.67620762290929,0.32,0.204,1
"Rnf103",0.0168360623133868,-0.45954310842836,0.082,0.197,1
"2610020C07Rik",0.0169195910312704,0.535243038179418,0.206,0.102,1
"Synpr",0.016939905157726,0.506283303505577,0.103,0.032,1
"Herc1",0.0169902674287514,-0.425510722148646,0.227,0.382,1
"Arl6ip4",0.0172172930036188,0.554327411634567,0.113,0.038,1
"Ints7",0.0172305853047547,0.514754402725491,0.124,0.045,1
"Ppip5k2",0.0172634060609718,-0.369831426284348,0.103,0.229,1
"Dek",0.0172836201624652,0.456107079042657,0.155,0.064,1
"Spock1",0.0173617704919387,0.454722982952458,0.165,0.07,1
"Ppm1e",0.0178328175850563,-0.456242335317274,0.134,0.268,1
"Jun",0.0179322272679723,-0.500958585609243,0.041,0.134,1
"Ccnt2",0.0180649388273543,-0.476679916639167,0.216,0.357,1
"Htra3",0.0182139215970726,0.499936605142202,0.268,0.153,1
"Tmco3",0.0182417624468924,0.412187867123998,0.144,0.057,1
"Ssbp2",0.0183171332903195,-0.421050847871515,0.454,0.586,1
"Ppic",0.0184325803960774,-0.395482923219014,0.041,0.134,1
"Slc41a1",0.0184867300781622,-0.454099337151784,0.093,0.21,1
"Sned1",0.0184879477242046,-0.511320367113634,0.392,0.535,1
"Carm1",0.018490683853985,-0.449736551660099,0.031,0.115,1
"Kctd9",0.0185932205899676,0.411366250307198,0.103,0.032,1
"Prpf40b",0.0185932205899676,0.519400585472534,0.103,0.032,1
"Atxn7l3b",0.018706255389093,0.568121680218077,0.309,0.191,1
"Sft2d3",0.0192087664485363,0.472417957497615,0.113,0.038,1
"Rnf146",0.0194221096105007,-0.546545614209333,0.062,0.159,1
"Cby1",0.0194716101679781,0.36481531465036,0.103,0.032,1
"Fam118b",0.0195695020360815,-0.462028120474687,0.206,0.357,1
"BC003965",0.0197191862474053,0.395293854457802,0.124,0.045,1
"Myo1d",0.0198270456712293,-0.414509339706769,0.041,0.134,1
"Niban2",0.0201472881774784,0.402911279822917,0.144,0.057,1
"Gpc5",0.0204027521730926,-1.52915608085167,0.155,0.261,1
"Col12a1",0.0204316253200388,-0.348421054334062,0.371,0.541,1
"Pon2",0.0205753881174525,-0.456636487961208,0.062,0.159,1
"Zbtb16",0.0205975499851445,-0.518850358757775,0.299,0.439,1
"Egfr",0.0208297773576304,-0.431507655990148,0.639,0.758,1
"Pitpnc1",0.0211804375932101,-0.459096467360622,0.608,0.688,1
"Prkn",0.0213006438075493,-0.490670744134463,0.381,0.541,1
"Gm20342",0.0214237285931645,-0.371921450134145,0.031,0.115,1
"Slmap",0.0217254646570343,-0.501981801664282,0.206,0.338,1
"Mxra8",0.0218394924082015,-0.550422239825577,0.041,0.127,1
"Gm7240",0.0224876250413508,0.383674273857971,0.134,0.051,1
"Fntb",0.0226918665732859,-0.537332048985907,0.062,0.153,1
"Itm2c",0.0231091090415978,0.425046938356874,0.32,0.197,1
"Hes1",0.023213815019832,0.482007592937835,0.258,0.146,1
"Mycbp",0.0233715218003205,0.391374445300234,0.134,0.051,1
"Ap3m1",0.0233801791247139,-0.484111653183234,0.103,0.217,1
"Vps54",0.0234302303987631,0.439325843967252,0.309,0.191,1
"Zc3h7a",0.023462893258606,-0.395917132198556,0.175,0.325,1
"Ep300",0.0237025890176612,-0.440090856119155,0.144,0.268,1
"Mbnl1",0.0237927304484783,-0.40109351498141,0.454,0.618,1
"Cgrrf1",0.0239201488296292,0.564707397455979,0.165,0.076,1
"Hip1",0.0240705016302096,-0.559703949407297,0.165,0.299,1
"Aff1",0.0241999609101117,0.50051794341206,0.351,0.236,1
"Fam13b",0.0244794465840157,-0.484278006916747,0.144,0.261,1
"Ehd3",0.0245391189000876,-0.514583805309759,0.072,0.172,1
"Pcsk5",0.0245720202572021,0.561290146999899,0.454,0.325,1
"Vrk2",0.0258227150073524,0.484847523604123,0.155,0.07,1
"Clu",0.025846449937158,0.567996974938595,0.237,0.134,1
"Vps9d1",0.026012363233536,-0.326190062543511,0.062,0.159,1
"Tmem161b",0.0260996818875016,0.520834698064148,0.206,0.108,1
"Stk39",0.0261853268702235,-0.360366189516268,0.763,0.879,1
"Gse1",0.0263089026536967,-0.611618972000464,0.258,0.382,1
"Ptprk",0.0266390512273678,-0.393647436231556,0.454,0.599,1
"Nob1",0.0267534119056602,0.513840765755936,0.124,0.051,1
"Zfp207",0.0269846266538907,-0.436437641150262,0.155,0.28,1
"Lbr",0.0272742034460839,-0.422507739963758,0.031,0.108,1
"2010315B03Rik",0.027627132419102,0.658228280406823,0.186,0.102,1
"Abcc1",0.0277320894676124,-0.479866506141309,0.072,0.172,1
"Upf2",0.0278384736173394,-0.429449950729059,0.175,0.306,1
"Srsf6",0.0278971079143991,-0.403591701634767,0.093,0.197,1
"Abcd3",0.0280662386077898,-0.367991004977021,0.278,0.446,1
"C79798",0.0282425553338818,-0.520630353828897,0.062,0.153,1
"Marchf3",0.0283352472017627,-0.573198102552348,0.124,0.236,1
"Sos2",0.0284345318111941,0.479076150981241,0.361,0.255,1
"Tsn",0.028491224804721,0.481885457214292,0.186,0.096,1
"Ywhaz",0.0286731552918045,-0.47353913974781,0.196,0.318,1
"Hdac2",0.0288822214532927,-0.41524115066845,0.052,0.14,1
"Zfyve1",0.0290779206932626,-0.296823549115828,0.052,0.146,1
"2210408F21Rik",0.0292143296277689,-0.534646765677544,0.258,0.376,1
"Tbc1d15",0.029306478546885,-0.337624158926491,0.031,0.108,1
"Ccdc91",0.029367444086575,-0.395189964013116,0.052,0.14,1
"Slc16a4",0.0294429259956583,0.567762518878532,0.165,0.083,1
"Prkcb",0.0294447661543178,-0.460704704653399,0.412,0.522,1
"Slc25a25",0.0296809530504182,-0.352277024247386,0.072,0.172,1
"Actr2",0.030151696171916,0.438639251362009,0.278,0.166,1
"2610005L07Rik",0.0305068130965542,0.336850576235404,0.186,0.089,1
"Fndc3b",0.0306614479680381,-0.378153290142522,0.33,0.478,1
"Actn2",0.03068345435333,-0.431070345212908,0.041,0.121,1
"Kcnab1",0.0307324870189428,-0.31484171338765,0.031,0.108,1
"Atr",0.0307348480876583,0.371278125798454,0.216,0.115,1
"Sgsm2",0.0309742768739178,-0.357299403679689,0.124,0.242,1
"Orc2",0.0309777907476188,0.564549540834778,0.186,0.096,1
"Dgcr8",0.0310630562493953,-0.411216377940206,0.062,0.153,1
"Tspan5",0.031220662554905,-0.505609071205589,0.443,0.554,1
"Rrbp1",0.0312350864774928,-0.260352342157529,0.144,0.274,1
"Arfgef2",0.0314319715852469,-0.40729896234844,0.062,0.153,1
"Rpl28",0.0315002288050574,-0.496949118230898,0.155,0.274,1
"Fam131a",0.0318955547304331,0.498149819467719,0.113,0.045,1
"Ndufb5",0.0318993235583118,0.557788180013704,0.165,0.083,1
"Tmem63b",0.0322123553519543,0.587367927085503,0.113,0.045,1
"Senp2",0.0322842416582933,-0.4909689453412,0.093,0.191,1
"Frmpd4",0.0323039218306715,-0.804281685060784,0.134,0.242,1
"Gm43751",0.0323695173191299,0.379903998846949,0.124,0.051,1
"Fubp3",0.0324645451387764,-0.454409025228651,0.052,0.134,1
"1810013L24Rik",0.032499895721859,-0.457840475920456,0.113,0.217,1
"Rbm41",0.0326152313871415,0.430507092755699,0.134,0.057,1
"Rab6b",0.0327116542938278,0.433167943429566,0.268,0.159,1
"Golm2",0.0328596595949631,0.466834237577415,0.33,0.223,1
"Kmt2e",0.0330010824153618,-0.346438345202024,0.33,0.478,1
"Tspan9",0.0330101087516473,-0.495132904204117,0.052,0.134,1
"Scrn3",0.0331789841966966,0.442182669076467,0.113,0.045,1
"Mcm3ap",0.0332061893698101,0.43113080630901,0.134,0.057,1
"Hsbp1",0.0333236533472246,0.493428094032228,0.165,0.083,1
"Kcnmb2",0.0341092059636506,-0.57381367120675,0.041,0.121,1
"Adgrv1",0.0346157845698186,-0.33069039365282,0.34,0.465,1
"Egln1",0.0347238098182327,0.387578380665503,0.134,0.057,1
"Mospd2",0.034802163645756,-0.539297117658298,0.062,0.146,1
"Kcnq1ot1",0.0348458695775917,-0.259632643769202,0.515,0.682,1
"Phactr2",0.0351534805566642,0.393083564569843,0.371,0.255,1
"Cpne3",0.0353472375765663,0.441967179557202,0.134,0.057,1
"Ttc8",0.0353536299611998,-0.368204641655907,0.062,0.146,1
"Chpf2",0.0355669527383662,0.374860412630944,0.103,0.038,1
"Zadh2",0.0357589136510915,0.598164977900035,0.155,0.076,1
"Tacc1",0.0358026522251463,-0.515570637724052,0.134,0.236,1
"Kctd1",0.0361399321882784,-0.496403629558419,0.041,0.115,1
"Cep89",0.0362291376207297,0.434669261132431,0.113,0.045,1
"Plekhm3",0.0363945150430323,-0.448801151937426,0.237,0.357,1
"Syt4",0.036538294229954,0.405017965234979,0.124,0.051,1
"Ufc1",0.0368771151716453,0.443246692218068,0.124,0.051,1
"Snapc3",0.0369889189886138,-0.488790731759724,0.124,0.229,1
"Snx5",0.0370531922802501,-0.416369667563918,0.052,0.134,1
"Sf1",0.0373911624845035,-0.593548463838174,0.144,0.248,1
"Acaca",0.0374386568502257,-0.423694917569035,0.175,0.293,1
"Mrtfa",0.0375807446283807,-0.380496092075145,0.175,0.299,1
"Dnajc10",0.0376417765831247,-0.457702759950576,0.144,0.255,1
"Igfbp7",0.0376596535293601,0.348414854919553,0.113,0.045,1
"Selenop",0.0377708564607567,-0.401401892822406,0.041,0.115,1
"Ripk1",0.0381320053871743,-0.344870354004089,0.031,0.102,1
"Rai1",0.0381941866764027,-0.394722476195244,0.155,0.28,1
"Uspl1",0.0382721803583948,0.423591268994963,0.134,0.057,1
"Ywhag",0.0382927981966514,0.556757991150888,0.278,0.185,1
"Hipk1",0.0383540096051856,-0.471635128399496,0.175,0.287,1
"Hivep2",0.0384759769339439,-0.415598845419308,0.361,0.497,1
"Srgap2",0.0385946748948689,-0.463116765844878,0.557,0.662,1
"Ubap2",0.0385959109643491,-0.443173426820812,0.052,0.134,1
"Gm28379",0.0385979004318891,0.449217036525138,0.103,0.038,1
"Anapc11",0.0388544516446943,-0.427903670369745,0.031,0.102,1
"Cdkl3",0.038966726006098,0.335831612156247,0.124,0.051,1
"Marchf7",0.0390195137841264,-0.480399533034565,0.206,0.325,1
"Mbnl2",0.0391852400494807,-0.378902500460667,0.567,0.707,1
"Zfyve26",0.0392200141065025,-0.393020675468899,0.031,0.102,1
"B3galt1",0.0392274445969917,-0.510295078489305,0.351,0.459,1
"Cobl",0.0395018362284126,-0.309848653196411,0.175,0.293,1
"Smarca4",0.0395385007736108,0.528080314915021,0.227,0.134,1
"Rpl18",0.0397123119121344,-0.55300475506011,0.093,0.185,1
"Zfp846",0.0397897689525195,0.33709152612778,0.103,0.038,1
"Aldh7a1",0.0398102213651808,-0.447980947517063,0.041,0.115,1
"Gm48765",0.0399843085207955,0.326008765023964,0.134,0.057,1
"Lrrc14",0.0401939361055552,0.326711673184602,0.103,0.038,1
"Cox8a",0.0402796044332414,0.52146629223925,0.423,0.325,1
"Pde1a",0.0402956392320217,0.478618592132783,0.371,0.274,1
"Madd",0.0405104496823612,-0.404180286149458,0.041,0.115,1
"Nalf1",0.0405189071005988,-0.343127766565865,0.052,0.134,1
"Slit3",0.0405382833137425,-0.473780453380161,0.515,0.611,1
"Vsx1",0.0408471763320068,-0.377730132704548,0.052,0.134,1
"Polr1d",0.0412210920924066,-0.430147759314186,0.041,0.115,1
"Higd2a",0.0412980752702504,0.562413495192004,0.175,0.089,1
"Arih1",0.0413204138068952,-0.402028186170132,0.402,0.51,1
"Smad4",0.0414968909263753,-0.43515339103936,0.165,0.28,1
"Ccser2",0.0417408799593842,0.506307231138361,0.474,0.401,1
"Cacna1c",0.0420250887008014,-0.548952210021281,0.216,0.331,1
"Atp1a2",0.0420490034304108,-0.911831042932382,0.082,0.172,1
"Snhg14",0.0425852437456883,-0.387790581448523,0.072,0.159,1
"Bmp4",0.0426015615083926,-0.510385144882078,0.247,0.376,1
"Abcg2",0.0427318747545462,-0.330978019937175,0.557,0.688,1
"Actr3",0.0427701560456355,-0.325829881013202,0.113,0.217,1
"Camk2n1",0.0428569453969269,0.472096816098549,0.351,0.236,1
"Slc30a5",0.0430440319547605,-0.44246666291485,0.041,0.115,1
"Hnrnph3",0.0433434337845812,0.523051844004049,0.289,0.191,1
"Nbdy",0.0435553557363736,-0.355537948986721,0.052,0.134,1
"Smc6",0.0435774633506805,-0.520816464441248,0.134,0.236,1
"Spen",0.0436867619418205,-0.418467824336451,0.072,0.159,1
"Klf4",0.0437243642922394,-0.531359175121578,0.052,0.127,1
"Eif2s3y",0.0437310266920716,-0.483738289132088,0.175,0.28,1
"Srpr",0.0437824697462544,0.374942019740249,0.34,0.236,1
"Tecr",0.0438006933214733,0.380579827745475,0.464,0.35,1
"Dhx9",0.0438218091168816,0.379565839182796,0.175,0.089,1
"Sptan1",0.0439723853667999,-0.355808894660111,0.371,0.484,1
"Cept1",0.0444884133271742,-0.495788445336045,0.072,0.159,1
"Arl2bp",0.0447058945744845,0.289477225723189,0.113,0.045,1
