"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Mbnl2",3.83258320905418e-05,-1.00938749559942,0.511,0.951,1
"Dpy19l4",0.000810415072036061,1.25241669519213,0.289,0.024,1
"Sgk1",0.00103177645151179,-1.24019057046781,0.044,0.317,1
"Kmt2e",0.00111320019755911,-0.885285806826763,0.244,0.61,1
"Cops5",0.00130506940007656,-1.07223486427959,0.022,0.268,1
"Snx6",0.00152101116312507,-1.00741723632845,0.067,0.341,1
"Selplg",0.00152439212802446,-0.958697349293277,0.267,0.61,1
"Acer3",0.00176889708832629,1.22390834856178,0.422,0.146,1
"Nrp1",0.00197646612752881,1.16647343816446,0.267,0.024,1
"Cnpy3",0.00207079581803527,-0.878903584974768,0,0.195,1
"Wbp1l",0.00207079581803527,-0.860015698651633,0,0.195,1
"Sppl3",0.00228042390869195,1.20105614758883,0.422,0.146,1
"Strada",0.00232087025414368,-1.10327541847205,0.089,0.341,1
"Tmem178b",0.00275274203437888,0.86908233563959,0.667,0.341,1
"P4ha1",0.00278617404943566,-0.8737440371708,0.133,0.439,1
"Mtss1",0.00283602435975459,-1.05388497785626,0.089,0.341,1
"Rpl10",0.00296950144702645,1.40878002332039,0.244,0.024,1
"Paip2",0.00331368821729603,-0.701764746370567,0.178,0.512,1
"Cnot4",0.00337075276193341,-1.20715143884896,0.222,0.488,1
"Washc2",0.00399320470382473,-0.806645670324692,0.067,0.317,1
"Ndufa11",0.00409935855623017,0.904732015269356,0.244,0.024,1
"Trak2",0.00420120269750589,-0.914132132176421,0,0.171,1
"Soat1",0.00420120269750589,-0.863355157907007,0,0.171,1
"Dmwd",0.00420120269750589,-0.760676003896371,0,0.171,1
"Rasa2",0.00420120269750589,-0.703609982562555,0,0.171,1
"Rack1",0.00420120269750589,-1.00525472654828,0,0.171,1
"Hdac5",0.00420120269750589,-0.761469998848919,0,0.171,1
"Cd47",0.00434011822263456,-1.06286816020338,0.133,0.415,1
"Ago1",0.00469992735574469,-0.999781013160478,0.022,0.22,1
"Phb2",0.00502528897368734,1.07997357682787,0.178,0,1
"Tuba4a",0.00502610164352027,1.01033396599746,0.178,0,1
"Cntn3",0.00502610164352027,0.975932576393653,0.178,0,1
"Zc3h14",0.00517639287560431,-0.862709035956055,0.022,0.22,1
"Cox5a",0.00534957593816996,1.01995876056757,0.311,0.073,1
"Rbm39",0.00541267462357484,-0.526282459451124,0.822,0.976,1
"Ylpm1",0.0054842138052705,-1.16664358852453,0.044,0.244,1
"N4bp2l1",0.00557459881924499,-1.03199695197714,0.067,0.293,1
"Pstk",0.00593552632362193,-0.897536657861544,0.067,0.317,1
"Rab6b",0.00596186252175144,0.982732649514697,0.4,0.146,1
"ENSMUSG00000120680",0.00597319235690272,-0.841189091807039,0.022,0.22,1
"Arih2",0.00682295086684169,-1.00169062066569,0.044,0.244,1
"Xpo6",0.00735593747086933,-0.898485336267747,0.067,0.293,1
"Psmc6",0.00748164597670392,-0.811547725519927,0.111,0.366,1
"Tnks2",0.00748164597670392,-0.995344836487198,0.111,0.366,1
"Xpo7",0.00751116066250491,-1.00066322743377,0.089,0.317,1
"Rnf145",0.00798487384392323,-0.992252272895344,0.022,0.195,1
"Ogdh",0.00833904745830322,0.929217851951292,0.356,0.122,1
"Rbck1",0.00845978428300011,-0.891686073211878,0,0.146,1
"Pias3",0.00845978428300011,-0.714995466424949,0,0.146,1
"Ccl27a",0.00845978428300011,-0.683767146461966,0,0.146,1
"Echdc2",0.00845978428300011,-1.03172444154981,0,0.146,1
"Ddost",0.00845978428300011,-0.811695726207933,0,0.146,1
"Mrpl33",0.00845978428300011,-1.01062601579383,0,0.146,1
"Creb3l2",0.00845978428300011,-0.82800211379446,0,0.146,1
"Lsm4",0.00845978428300011,-0.760274061928926,0,0.146,1
"Cacna1a",0.00845978428300011,-0.801031009425212,0,0.146,1
"2300009A05Rik",0.00845978428300011,-0.70816777281983,0,0.146,1
"Cox11",0.00845978428300011,-0.759235070893644,0,0.146,1
"Dgkb",0.00845978428300011,-0.775245517432757,0,0.146,1
"Dvl3",0.00845978428300011,-0.759326061132827,0,0.146,1
"BC004004",0.00845978428300011,-0.81748984147935,0,0.146,1
"Calhm2",0.00845978428300011,-0.695612674341319,0,0.146,1
"Mapre2",0.00847850695043271,-0.878764192209831,0.178,0.488,1
"Ndfip1",0.00864365833823193,0.791812090593019,0.578,0.341,1
"Ndufc2",0.00874016341473198,1.20655114938957,0.244,0.049,1
"Ubald1",0.00912386354430808,0.795223351663408,0.156,0,1
"Zmat2",0.00912386354430808,0.853387590018511,0.156,0,1
"Qdpr",0.00929667969121772,-0.782914773950058,0.267,0.537,1
"Snx24",0.00987730470118098,-0.516593389640836,0.378,0.707,1
"Ufsp2",0.0101970406746103,-0.828110148599581,0.067,0.268,1
"Gm36855",0.0102712678406135,1.14287997707481,0.244,0.049,1
"Tmed4",0.0103814024865088,0.952746978720872,0.2,0.024,1
"Gm17655",0.0106168573704231,-0.829222150257416,0.022,0.195,1
"Ywhaz",0.01082231045308,-0.833032462703419,0.111,0.341,1
"Slc25a51",0.0108551630112878,1.03887525757117,0.2,0.024,1
"Gm55122",0.0111942273399346,1.03076880439948,0.511,0.293,1
"Slc38a2",0.0111942273399346,-0.605592900615067,0.267,0.561,1
"Rapgef6",0.0113293663019162,-0.644217454127361,0.267,0.537,1
"Csf3r",0.0116432359642788,-0.871766048160458,0.178,0.415,1
"Srsf1",0.0117759703631947,-0.673942094007189,0.044,0.244,1
"Evl",0.0121056544374763,-0.556829002705969,0.133,0.39,1
"Tfe3",0.0123556147561481,-0.820131348202924,0.067,0.268,1
"Scaf8",0.0124976264248737,-0.67717323487552,0.133,0.39,1
"Mbd5",0.0125236545308776,-0.762451423775079,0.311,0.585,1
"Cadm2",0.0125892184528783,0.250752009677818,0.756,0.561,1
"Nav3",0.0127377560030486,0.65901833938223,0.844,0.659,1
"Itgav",0.0127587456044136,-0.750603036431998,0.156,0.439,1
"Ppp1r21",0.013065727729654,-0.856185543325574,0.156,0.415,1
"Pabpc1",0.0133265893089599,-0.743117388723994,0.067,0.268,1
"Adamts6",0.0133865101356173,-0.912422746183753,0.044,0.22,1
"Upp2",0.0135321877975253,0.723111953199122,0.244,0.049,1
"AU020206",0.0138369086614501,-0.92648357937305,0.067,0.268,1
"Evi2a",0.0138369086614501,-0.866338307132341,0.067,0.268,1
"BC005537",0.0138369086614501,-0.769414344607716,0.067,0.268,1
"Prima1",0.0139706174441814,0.993252984502742,0.267,0.073,1
"Psma7",0.0141225049219555,1.08393493570285,0.2,0.024,1
"Calm3",0.014206925067949,-0.81761426766564,0.089,0.293,1
"Med13",0.0143927437398682,-0.583178610300675,0.156,0.439,1
"Glyr1",0.0144874864237606,1.07385228051464,0.267,0.073,1
"Gna12",0.0151192528488191,-0.950706563636558,0.289,0.512,1
"Tatdn1",0.0151564447271859,-0.819865091043182,0.044,0.22,1
"Fermt3",0.0153305503616448,-0.885262564211388,0.156,0.366,1
"Zzz3",0.0159617099904515,-0.795434291413307,0.178,0.439,1
"Eefsec",0.0162994784542806,-0.977683337995387,0.022,0.171,1
"Ppp2r2d",0.0162994784542806,-0.727921910440894,0.022,0.171,1
"Eif4g3",0.016372021943851,0.864970456526318,0.489,0.317,1
"Fcgr2b",0.0164750140168109,0.707076218222573,0.133,0,1
"Cfap74",0.0164750140168109,0.633485935816284,0.133,0,1
"Fam185a",0.0164750140168109,0.641088127774055,0.133,0,1
"Gm17130",0.0164750140168109,0.773241612204726,0.133,0,1
"Syt5",0.0164750140168109,0.75244126777387,0.133,0,1
"Rab30",0.0164750140168109,0.790991873515346,0.133,0,1
"Mak16",0.0164750140168109,0.794835628262006,0.133,0,1
"Camta2",0.0164750140168109,0.767192918975565,0.133,0,1
"Psmc5",0.0164750140168109,0.752390002150706,0.133,0,1
