"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Grm3",2.40289463465528e-30,0.503501084592592,0.837,0.761,8.37817272265258e-26
"mt-Rnr1",3.32725063748099e-24,-0.723556393961265,0.361,0.521,1.1601124797705e-19
"mt-Rnr2",4.39980155377153e-23,-0.633451170054538,0.523,0.664,1.53407880775352e-18
"Gpm6a",5.47103562773727e-22,0.451842155074526,0.796,0.697,1.90758599232315e-17
"Cpeb4",2.27126112406102e-20,0.457414798406477,0.685,0.568,7.91920616126355e-16
"Qki",1.63447101816533e-18,0.286020529942066,0.926,0.888,5.69891009903705e-14
"Npas3",2.48123539223948e-18,0.290560356873674,0.896,0.823,8.6513234421214e-14
"mt-Cytb",5.14306447832358e-16,-0.615400492827835,0.314,0.448,1.79323229165708e-11
"Adgrb3",4.30479358289315e-14,0.336999296718919,0.858,0.793,1.50095237854736e-09
"Echdc2",1.21019517246884e-13,-0.425258302327314,0.083,0.173,4.2195875078471e-09
"Lama3",7.22983379521698e-13,0.446480405530961,0.413,0.305,2.52082614937831e-08
"Cspg5",1.64216703122323e-12,0.287958656130018,0.771,0.676,5.72574378776603e-08
"mt-Nd2",4.86957341468092e-12,-0.52583062973274,0.231,0.341,1.6978741624968e-07
"Luzp2",1.2642346823876e-10,0.257809223677953,0.874,0.827,4.40800706708084e-06
"Glul",1.73777498215241e-10,-0.295194843181027,0.642,0.717,6.05910003027081e-06
"9630028H03Rik",3.18323406155472e-10,0.407382195229591,0.368,0.27,1.10989822024228e-05
"mt-Nd1",5.82758081796424e-10,-0.46858741081761,0.216,0.31,2.03190260379959e-05
"Gli3",7.94433561401259e-10,0.284429007003027,0.67,0.591,2.76995149853777e-05
"Lrmda",2.09054752666617e-09,-0.593911166026328,0.197,0.286,7.28911206122693e-05
"Tra2a",3.32733201502612e-09,-0.337937517258734,0.391,0.487,0.000116014085367916
"Rgs6",5.27034245389605e-09,0.304174842309342,0.635,0.548,0.000183761030339994
"Nalcn",6.27394015783957e-09,-0.361360417884485,0.088,0.159,0.000218753471483392
"Nrcam",1.10464939278529e-08,0.256611802695956,0.757,0.684,0.000385158103782446
"Gm44511",1.13321572254794e-08,-0.256702304628099,0.067,0.13,0.000395118325980791
"Mir670hg",1.36868765298665e-08,0.350679237671836,0.133,0.072,0.000477220323966857
