"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",1.3504546638865e-235,-0.706389040693548,0.124,0.408,4.70863027657306e-231
"Gm47283",2.09314069287332e-218,-0.501849074061003,0.016,0.222,7.29815365384139e-214
"Nav3",3.66930484904994e-177,0.359412750989682,0.964,0.954,1.27937652171824e-172
"Hecw2",1.16521346573451e-112,0.407948717088717,0.911,0.869,4.06274979097651e-108
"Rn18s-rs5",1.53038106713e-107,-0.314174608731617,1,1,5.33597966676218e-103
"Kcnma1",2.79065924922946e-91,0.269502580057482,0.962,0.946,9.73019160428837e-87
"mt-Cytb",4.46703121710523e-80,-0.625329223397123,0.626,0.745,1.55751977446808e-75
"mt-Nd2",3.48936038742107e-75,-0.559187522444884,0.499,0.651,1.2166352862821e-70
"mt-Rnr2",6.1041517853483e-64,-0.438127199709191,0.728,0.827,2.12833460299739e-59
"mt-Rnr1",2.05970744531137e-62,-0.473428628096182,0.622,0.74,7.18158194956714e-58
"Nrxn3",7.82896764112284e-60,0.282093087638087,0.973,0.968,2.7297261474303e-55
"mt-Nd1",1.32595426179009e-57,-0.478701552767808,0.527,0.651,4.6232047245835e-53
"mt-Nd4",1.10178733367073e-49,-0.432072348995693,0.444,0.571,3.84160189630974e-45
"Gm20752",3.97496687271619e-38,0.300432757812671,0.153,0.071,1.38595169950996e-33
"Rad51ap2",2.78045220813956e-37,0.288091545402558,0.419,0.31,9.69460271412022e-33
"Etl4",8.04886074412608e-36,0.279996177031593,0.916,0.879,2.80639627565444e-31
"Mlip",5.72056773953857e-32,0.262706403987576,0.67,0.598,1.99459035374491e-27
"Trhde",3.62883944873104e-29,0.28947031518976,0.51,0.406,1.26526745058905e-24
"Khdrbs3",7.18542509785311e-29,0.261529319744035,0.823,0.764,2.50534216886845e-24
"Chrm3",7.78410401246945e-21,0.284726492429291,0.772,0.718,2.71408354602772e-16
"Gm33228",4.28837631190233e-18,0.260780128422857,0.475,0.403,1.49522816867099e-13
"Zbtb20",3.03251904274848e-15,-0.382351611572797,0.206,0.273,1.05734841463511e-10
"Grm1",4.75839620689997e-15,-0.282306844961578,0.532,0.599,1.65911000545981e-10
"Zfp804b",3.38075621686443e-09,0.3242705269545,0.439,0.39,0.000117876827013412
"Erbb4",7.13316685978917e-05,-0.281356554334391,0.17,0.2,1
"Tenm3",0.00451665112939265,-0.250380048397076,0.449,0.474,1
