"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sgk1",7.54639685099422e-37,-0.96257048470201,0.093,0.278,2.63120219003616e-32
"Adipor2",5.32533346167694e-20,-0.617252454073012,0.312,0.48,1.8567840180829e-15
"Tmeff2",1.6633929243682e-12,0.260233853792301,0.976,0.967,5.7997521093946e-08
"Mobp",9.66079358959415e-11,-0.324565030927005,0.643,0.732,3.36842890088379e-06
"Rnf220",1.25535985250024e-09,0.32474692014284,0.727,0.676,4.37706319771258e-05
"Arrdc3",7.54836997420173e-09,-0.383368894469539,0.211,0.311,0.000263189015890492
"mt-Rnr2",1.62900799456813e-08,-0.298864671709722,0.613,0.706,0.000567986217466071
"Vmp1",1.80028543974675e-08,-0.300341636311053,0.626,0.713,0.000627705524276498
"Klf13",1.89273671599664e-08,-0.374567868405796,0.212,0.307,0.000659940510766547
"A330015K06Rik",3.10016196677976e-08,-0.351928569379989,0.423,0.525,0.0010809334729571
"Elmo1",3.34660720558541e-08,-0.252385030825017,0.647,0.737,0.00116686153437147
"Ptgds",5.84005624654906e-08,-0.259280784547717,0.82,0.861,0.00203625241148426
"Mat2a",6.9839248954006e-08,-0.373222168408246,0.251,0.348,0.00243508509327933
"Slc38a2",1.81166748801455e-07,-0.317405808474712,0.347,0.45,0.00631674103046034
"Calm2",2.38611855822317e-07,0.293894864360296,0.598,0.531,0.00831967957695671
"mt-Rnr1",3.99669236699171e-07,-0.337612243443254,0.436,0.526,0.01393526727599
"Atf7ip",6.46186594873522e-07,-0.33436581707068,0.233,0.32,0.0225305880034551
"Kcnab1",6.93536055772246e-07,-0.366200479047085,0.376,0.469,0.0241815216566109
"Tef",8.8495576557909e-07,-0.293343656752723,0.178,0.259,0.0308557526784461
"Pcdh11x",1.91111721385759e-06,-0.390352726843518,0.207,0.283,0.0666349238955726
"Kazn",2.0581143007267e-06,-0.345084926039436,0.259,0.338,0.0717602713234379
"Arid5b",4.03850218957678e-06,-0.277633890000895,0.135,0.203,0.140810455843974
"Opalin",7.27676271372451e-06,0.300658393123353,0.466,0.405,0.253718885539433
"Gm28320",8.93741135676718e-06,0.380419889992409,0.141,0.088,0.311620721776401
"Xrcc6",8.97414502904473e-06,-0.266417871302919,0.411,0.497,0.312901514727703
"D16Ertd472e",9.17086793543855e-06,-0.316938372440699,0.11,0.168,0.319760652304936
"Gm44866",1.09725550295917e-05,-0.328793644937889,0.107,0.164,0.382580076216773
"Hnrnpc",2.09611663493345e-05,-0.281666616765177,0.123,0.182,0.730852987102247
"Gm19439",2.65730537774383e-05,-0.261352626477267,0.083,0.135,0.926522666057941
"Mpzl1",2.77443285911652e-05,-0.282876596583062,0.089,0.14,0.967361504988158
"Ints6",3.7696403589106e-05,-0.277263190843695,0.085,0.134,1
"Rtkn",4.06711130019357e-05,-0.269453758051082,0.111,0.166,1
"Odf2",5.07957117895367e-05,-0.325810179212083,0.091,0.139,1
"Gtf2i",8.94228330999615e-05,-0.282984172590584,0.183,0.247,1
"mt-Cytb",0.000122542147287027,-0.260867493708539,0.403,0.478,1
"Stmn2",0.000131822251580935,0.336297741966703,0.269,0.216,1
"Kirrel3",0.000132549377620222,0.354906228022361,0.506,0.461,1
"Slc13a1",0.000189296002020458,-0.325509725844543,0.18,0.237,1
"Mrtfb",0.000192217459165868,-0.256096270617323,0.146,0.202,1
"Gapdh",0.000196885208947708,0.254184226016759,0.487,0.439,1
"Gm9895",0.000210468724033206,-0.257835049548038,0.141,0.196,1
"Arsg",0.000224489775284034,0.272116717712687,0.227,0.172,1
"Npepps",0.000252770515653751,-0.256322990751895,0.233,0.298,1
"Sytl2",0.000295456229791343,0.281541158594462,0.479,0.437,1
"Anln",0.000311535818733596,-0.293686282517966,0.279,0.342,1
"Gria2",0.000409456712195534,0.253854554256542,0.394,0.348,1
"Gm36855",0.000763659302125394,0.314127643435881,0.253,0.206,1
"Npas3",0.000769259937032685,0.256123281830887,0.514,0.47,1
"Grm7",0.000820442663898762,0.287123921600602,0.527,0.478,1
"Pcdh10",0.000870298328724763,0.296427125700753,0.194,0.151,1
"Epb41l4b",0.000884702978919481,0.252328312038541,0.119,0.081,1
"Dcc",0.00111655661999953,0.260904050420077,0.379,0.322,1
"Olfml1",0.00125740199979541,0.27199026050935,0.262,0.215,1
"Dnajc3",0.00139859666833643,-0.250162740758907,0.087,0.125,1
"Cnksr2",0.00175890915041042,0.290745366984136,0.18,0.139,1
"Tmsb4x",0.00180985394668225,0.25429115600997,0.476,0.437,1
"Dusp16",0.00193089804071235,0.267673421219043,0.266,0.223,1
"H2aj",0.00290038473518226,0.253594799536622,0.237,0.194,1
"Sst",0.00307269499080255,0.263411957612436,0.251,0.207,1
"Rpl10",0.00325308332341455,0.281060691995159,0.146,0.111,1
"Pnkd",0.00463187120886879,0.272455580355404,0.113,0.082,1
"Spock3",0.00511449328927215,0.250886039409248,0.331,0.29,1
"Pde1a",0.00538628959983732,0.267434345092948,0.104,0.074,1
"Exoc6",0.00706236883587856,-0.278472761173694,0.076,0.105,1
"Adamts2",0.0106241527293383,0.257911720477085,0.101,0.074,1
"Rpsa",0.0154633078053463,0.256458157187675,0.201,0.17,1
"Prdx1",0.0233874017393714,0.266699620677227,0.186,0.158,1
