"","inchikey","subclass"
"1","InChIKey=FFDGPVCHZBVARC-UHFFFAOYSA-N","Organic acids and derivatives"
"2","InChIKey=MTCFGRXMJLQNBG-REOHCLBHSA-N","Organic acids and derivatives"
"3","InChIKey=RBNPOMFGQQGHHO-UHFFFAOYSA-N","Organic oxygen compounds"
"4","InChIKey=VVIUBCNYACGLLV-UHFFFAOYSA-N","Organic acids and derivatives"
"5","InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N","Organoheterocyclic compounds"
"6","InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-N","Organic acids and derivatives"
"7","InChIKey=OKJIRPAQVSHGFK-UHFFFAOYSA-N","Organic acids and derivatives"
"8","InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N","Organic acids and derivatives"
"9","InChIKey=MBIQENSCDNJOIY-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"10","InChIKey=VEXDRERIMPLZLU-UHFFFAOYSA-N","Lipids and lipid-like molecules"
"11","InChIKey=UKAUYVFTDYCKQA-VKHMYHEASA-N","Organic acids and derivatives"
"12","InChIKey=UFYGCFHQAXXBCF-UHFFFAOYSA-N","Organic acids and derivatives"
"13","InChIKey=XOAAWQZATWQOTB-UHFFFAOYSA-N","Organic acids and derivatives"
"14","InChIKey=CFRMVEKWKKDNAH-VKHMYHEASA-N","Organic acids and derivatives"
"15","InChIKey=ODHCTXKNWHHXJC-VKHMYHEASA-N","Organic acids and derivatives"
"16","InChIKey=XNIHZNNZJHYHLC-UHFFFAOYSA-N","Organic acids and derivatives"
"17","InChIKey=BKAJNAXTPSGJCU-UHFFFAOYSA-N","Organic acids and derivatives"
"18","InChIKey=HNEGQIOMVPPMNR-IHWYPQMZSA-N","Lipids and lipid-like molecules"
"19","InChIKey=KTHDTJVBEPMMGL-UHFFFAOYSA-N","Organic acids and derivatives"
"20","InChIKey=LRQKBLKVPFOOQJ-UHFFFAOYSA-N","Organic acids and derivatives"
"21","InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N","Organic acids and derivatives"
"22","InChIKey=AGPKZVBTJJNPAG-WHFBIAKZSA-N","Organic acids and derivatives"
"23","InChIKey=PMMYEEVYMWASQN-DMTCNVIQSA-N","Organic acids and derivatives"
"24","InChIKey=ZGXJTSGNIOSYLO-UHFFFAOYSA-N","Organic acids and derivatives"
