,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,NES,MotifSimilarityQvalue,OrthologousIdentity,Annotation,Context,TargetGenes,RankAtMax
TF,MotifID,,,,,,,,
Bsx,metacluster_184.13,0.13005678677320467,3.96458731702865,9.85442e-06,0.149856,motif similar to nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 9.85e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Ccdc88c', 1.304030948621155), ('Lap3', 1.262734900744595), ('Tspan12', 3.8557038185769934), ('Zfyve21', 1.318426183544042)]",792
Bsx,metacluster_184.26,0.1067892858937635,3.0300662096645365,9.56796e-06,0.224138,gene is orthologous to FBgn0000157 in D. melanogaster (identity = 22%) which is annotated for similar motif nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 9.57e-06),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Spaca6', 1.5483767197625504), ('Zfp654', 0.4543260912178128), ('Gm10516', 1.1661050575645888), ('Ctnnbip1', 1.182852842085783), ('Zfyve21', 1.318426183544042), ('Bsx', 1.0)]",797
Bsx,metacluster_184.17,0.12533293130308057,3.77485732978842,7.39555e-06,0.149856,motif similar to nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 7.4e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Spaca6', 1.5483767197625504), ('Zfp467', 0.5101561076046963), ('Iglon5', 1.303681068168374), ('Lfng', 1.30248502046188), ('Fahd2a', 4.342744745975474), ('Dbt', 1.5139615384716312), ('Mms22l', 4.233910942482444), ('Ccdc162', 0.3957240739424922)]",1622
Bsx,metacluster_184.23,0.1275189708025529,3.8626579089900157,6.38013e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 6.38e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Iglon5', 1.303681068168374), ('Tspan12', 3.8557038185769934), ('Gm10516', 1.1661050575645888), ('Bsx', 1.0)]",710
Bsx,metacluster_184.18,0.12324739936680235,3.6910935588259774,6.11686e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 6.12e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Tspan12', 3.8557038185769934), ('Gm10516', 1.1661050575645888), ('Iglon5', 1.303681068168374), ('Bsx', 1.0)]",669
Bsx,metacluster_184.20,0.13357455148499925,4.105875605399034,6.11173e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 6.11e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Iglon5', 1.303681068168374), ('Bsx', 1.0), ('Gm10516', 1.1661050575645888)]",465
Bsx,metacluster_184.19,0.130684959043168,3.989817368523361,4.68979e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 4.69e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Bsx', 1.0), ('Gm10516', 1.1661050575645888), ('Tspan12', 3.8557038185769934), ('Iglon5', 1.303681068168374)]",898
Bsx,metacluster_51.6,0.10927684808281823,3.129977213583594,3.78056e-06,0.961207,"gene is orthologous to ENSG00000188909 in H. sapiens (identity = 96%) which is annotated for similar motif taipale_cyt_meth__BSX_NYAATTAN_eDBD_meth ('BSX [Homeodomain, CpG-meth]'; q-value = 3.78e-06)","frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Bsx', 1.0), ('Gm10516', 1.1661050575645888), ('Tspan12', 3.8557038185769934), ('Iglon5', 1.303681068168374)]",974
Bsx,metacluster_51.7,0.11138750690989498,3.214750186605825,3.78056e-06,0.961207,"gene is orthologous to ENSG00000188909 in H. sapiens (identity = 96%) which is annotated for similar motif taipale_cyt_meth__BSX_NYAATTAN_eDBD_meth ('BSX [Homeodomain, CpG-meth]'; q-value = 3.78e-06)","frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Bsx', 1.0), ('Gm10516', 1.1661050575645888), ('Tspan12', 3.8557038185769934), ('Iglon5', 1.303681068168374)]",652
Bsx,metacluster_184.21,0.12797125483692648,3.8808235460662077,3.70048e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 3.7e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Gm10516', 1.1661050575645888), ('Iglon5', 1.303681068168374)]",685
Bsx,metacluster_51.8,0.10636212875018845,3.012909774648133,2.82718e-06,0.961207,"gene is orthologous to ENSG00000188909 in H. sapiens (identity = 96%) which is annotated for similar motif taipale_cyt_meth__BSX_NYAATTAN_eDBD_meth ('BSX [Homeodomain, CpG-meth]'; q-value = 2.83e-06)","frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Gm10516', 1.1661050575645888), ('Tspan12', 3.8557038185769934), ('Iglon5', 1.303681068168374)]",827
Bsx,metacluster_184.25,0.11638775817880295,3.415581396503728,2.19616e-06,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 2.2e-06) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Gm10516', 1.1661050575645888), ('Iglon5', 1.303681068168374), ('Tspan12', 3.8557038185769934)]",632
Bsx,metacluster_150.6,0.11626212372481029,3.410535386204786,7.97971e-07,0.149856,motif similar to nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 7.98e-07) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Iglon5', 1.303681068168374), ('Gm10516', 1.1661050575645888), ('Ctnnbip1', 1.182852842085783), ('Tspan12', 3.8557038185769934)]",632
Bsx,metacluster_184.28,0.11038243127795366,3.174382104214286,3.82754e-08,0.149856,motif similar to nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 3.83e-08) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Gm10516', 1.1661050575645888), ('Iglon5', 1.303681068168374), ('Tspan12', 3.8557038185769934)]",564
Bsx,metacluster_184.30,0.11402583044374089,3.3207164028836127,1.07298e-08,0.149856,motif similar to nitta__Dll_TTCTGA20NGTC_KI_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 1.07e-08) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Iglon5', 1.303681068168374), ('Gm10516', 1.1661050575645888), ('Tspan12', 3.8557038185769934)]",591
Bsx,metacluster_184.29,0.11395044977134529,3.3176887967042474,4.92324e-09,0.149856,motif similar to nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 4.92e-09) which is annotated for orthologous gene FBgn0000157 in D. melanogaster (identity = 14%),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Bsx', 1.0), ('Ctnnbip1', 1.182852842085783), ('Gm10516', 1.1661050575645888), ('Iglon5', 1.303681068168374), ('Tspan12', 3.8557038185769934)]",776
Bsx,metacluster_184.27,0.11392532288054676,3.3166795946444587,6.73584e-10,0.224138,gene is orthologous to FBgn0000157 in D. melanogaster (identity = 22%) which is annotated for similar motif nitta__Dll_TAAGCG20NCGA_KG_NYAATTAN_m1_c3 ('Dll (fly)'; q-value = 6.74e-10),"frozenset({'weight>75.0%', 'mm10_10kbp_up_10kbp_down_full_tx_v10_clust.genes_vs_motifs.rankings', 'activating'})","[('Ccdc88c', 1.304030948621155), ('Ctnnbip1', 1.182852842085783), ('Bsx', 1.0), ('Iglon5', 1.303681068168374), ('Tspan12', 3.8557038185769934), ('Gm10516', 1.1661050575645888)]",717
