"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","7/64","169/28943",9.59158728857236e-08,0.000168428272787331,0.000113786514465485,"Ppia/Hsp90ab1/Hspa5/Hspa8/Pfdn5/Pdia3/Hsp90aa1",7
"GO:0031396","regulation of protein ubiquitination","7/64","218/28943",5.38971022761662e-07,0.000473216557984739,0.00031969491718547,"Ppia/Hsp90ab1/Hspa5/Ubb/Npm1/Hsp90aa1/Skp1",7
"GO:1903320","regulation of protein modification by small protein conjugation or removal","7/64","252/28943",1.42049646623476e-06,0.000831463931569415,0.000561719128928624,"Ppia/Hsp90ab1/Hspa5/Ubb/Npm1/Hsp90aa1/Skp1",7
"GO:0022904","respiratory electron transport chain","5/64","96/28943",2.35989740053149e-06,0.00103599495883332,0.000699895886947103,"Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b",5
"GO:0022900","electron transport chain","5/64","107/28943",4.02848030090357e-06,0.00115484261126061,0.000780186801876698,"Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b",5
"GO:0035307","positive regulation of protein dephosphorylation","4/64","49/28943",4.27391961580406e-06,0.00115484261126061,0.000780186801876698,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0048102","autophagic cell death","3/64","15/28943",4.60358671914822e-06,0.00115484261126061,0.000780186801876698,"Calm2/Calm1/Atp6v0c",3
"GO:0006735","NADH regeneration","3/64","17/28943",6.85837121222211e-06,0.0012043299848662,0.000813619405913086,"Gapdh/Aldoa/Pkm",3
"GO:0061621","canonical glycolysis","3/64","17/28943",6.85837121222211e-06,0.0012043299848662,0.000813619405913086,"Gapdh/Aldoa/Pkm",3
"GO:0061718","glucose catabolic process to pyruvate","3/64","17/28943",6.85837121222211e-06,0.0012043299848662,0.000813619405913086,"Gapdh/Aldoa/Pkm",3
"GO:0006091","generation of precursor metabolites and energy","8/64","465/28943",8.41488365322199e-06,0.00134332142682344,0.000907519031309204,"Gapdh/Aldoa/Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b/Pkm",8
"GO:0061620","glycolytic process through glucose-6-phosphate","3/64","20/28943",1.14434782001708e-05,0.00155697655363394,0.00105185983451951,"Gapdh/Aldoa/Pkm",3
"GO:0051651","maintenance of location in cell","6/64","232/28943",1.26433001522949e-05,0.00155697655363394,0.00105185983451951,"Calm2/Fth1/Calm1/Tmsb4x/Hspa5/Skp1",6
"GO:0010656","negative regulation of muscle cell apoptotic process","4/64","65/28943",1.32999136130462e-05,0.00155697655363394,0.00105185983451951,"Gapdh/Hspa8/Slc25a4/Npm1",4
"GO:0035306","positive regulation of dephosphorylation","4/64","65/28943",1.32999136130462e-05,0.00155697655363394,0.00105185983451951,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/64","22/28943",1.5409963151391e-05,0.00169124345586516,0.00114256766260642,"Calm2/Calm1/Hsp90ab1",3
"GO:0061615","glycolytic process through fructose-6-phosphate","3/64","23/28943",1.76934842549428e-05,0.00176436364736708,0.00119196608954723,"Gapdh/Aldoa/Pkm",3
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","4/64","71/28943",1.88983276601581e-05,0.00176436364736708,0.00119196608954723,"Cox4i1/Chchd2/Uqcrfs1/Cox5b",4
"GO:0006007","glucose catabolic process","3/64","24/28943",2.01892082836761e-05,0.00176436364736708,0.00119196608954723,"Gapdh/Aldoa/Pkm",3
"GO:0042026","protein refolding","3/64","24/28943",2.01892082836761e-05,0.00176436364736708,0.00119196608954723,"Hspa5/Hspa8/Hsp90aa1",3
"GO:0042773","ATP synthesis coupled electron transport","4/64","73/28943",2.11000208398113e-05,0.00176436364736708,0.00119196608954723,"Cox4i1/Chchd2/Uqcrfs1/Cox5b",4
"GO:0022898","regulation of transmembrane transporter activity","6/64","303/28943",5.64089063003072e-05,0.0045024563392427,0.00304176255504527,"Calm2/Calm1/Actb/Slc25a4/Atp1b1/Ywhah",6
"GO:0035304","regulation of protein dephosphorylation","4/64","96/28943",6.19941190728469e-05,0.00453884895729526,0.0030663486241888,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0031647","regulation of protein stability","6/64","312/28943",6.63044278406199e-05,0.00453884895729526,0.0030663486241888,"Gapdh/Hsp90ab1/Hspa8/Atp1b1/Npm1/Hsp90aa1",6
"GO:0050821","protein stabilization","5/64","193/28943",6.93709181694338e-05,0.00453884895729526,0.0030663486241888,"Gapdh/Hsp90ab1/Atp1b1/Npm1/Hsp90aa1",5
"GO:0010922","positive regulation of phosphatase activity","3/64","36/28943",6.98841949719332e-05,0.00453884895729526,0.0030663486241888,"Calm2/Calm1/Hsp90ab1",3
"GO:0019320","hexose catabolic process","3/64","36/28943",6.98841949719332e-05,0.00453884895729526,0.0030663486241888,"Gapdh/Aldoa/Pkm",3
