"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","7/55","169/28943",3.27441825613805e-08,5.19322735423495e-05,3.40194823032448e-05,"Ppia/Hsp90ab1/Hspa5/Hspa8/Pfdn5/Pdia3/Hsp90aa1",7
"GO:0031396","regulation of protein ubiquitination","7/55","218/28943",1.86459972897972e-07,0.000147862758508092,9.68610490791044e-05,"Ppia/Hsp90ab1/Hspa5/Ubb/Npm1/Hsp90aa1/Skp1",7
"GO:1903320","regulation of protein modification by small protein conjugation or removal","7/55","252/28943",4.95980117801744e-07,0.000262208155611189,0.000171765746059762,"Ppia/Hsp90ab1/Hspa5/Ubb/Npm1/Hsp90aa1/Skp1",7
"GO:0022904","respiratory electron transport chain","5/55","96/28943",1.10239174919774e-06,0.000437098328556902,0.000286331751699517,"Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b",5
"GO:0022900","electron transport chain","5/55","107/28943",1.8871945222066e-06,0.000576296296640791,0.000377516721832124,"Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b",5
"GO:0035307","positive regulation of protein dephosphorylation","4/55","49/28943",2.31995202510326e-06,0.000576296296640791,0.000377516721832124,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0006091","generation of precursor metabolites and energy","8/55","465/28943",2.62619473368246e-06,0.000576296296640791,0.000377516721832124,"Gapdh/Aldoa/Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b/Pkm",8
"GO:0048102","autophagic cell death","3/55","15/28943",2.90691700701534e-06,0.000576296296640791,0.000377516721832124,"Calm2/Calm1/Atp6v0c",3
"GO:0006735","NADH regeneration","3/55","17/28943",4.33271129826262e-06,0.000624698192640411,0.000409223545587101,"Gapdh/Aldoa/Pkm",3
"GO:0061621","canonical glycolysis","3/55","17/28943",4.33271129826262e-06,0.000624698192640411,0.000409223545587101,"Gapdh/Aldoa/Pkm",3
"GO:0061718","glucose catabolic process to pyruvate","3/55","17/28943",4.33271129826262e-06,0.000624698192640411,0.000409223545587101,"Gapdh/Aldoa/Pkm",3
"GO:0051651","maintenance of location in cell","6/55","232/28943",5.19139013820928e-06,0.000686128729933326,0.000449465093544961,"Calm2/Fth1/Calm1/Tmsb4x/Hspa5/Skp1",6
"GO:0061620","glycolytic process through glucose-6-phosphate","3/55","20/28943",7.23436423325106e-06,0.000766364993377833,0.000502025783808271,"Gapdh/Aldoa/Pkm",3
"GO:0010656","negative regulation of muscle cell apoptotic process","4/55","65/28943",7.24809262337169e-06,0.000766364993377833,0.000502025783808271,"Gapdh/Hspa8/Slc25a4/Npm1",4
"GO:0035306","positive regulation of dephosphorylation","4/55","65/28943",7.24809262337169e-06,0.000766364993377833,0.000502025783808271,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/55","22/28943",9.74644444203124e-06,0.000961761590995471,0.000630025015140724,"Calm2/Calm1/Hsp90ab1",3
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","4/55","71/28943",1.03143863103437e-05,0.000961761590995471,0.000630025015140724,"Cox4i1/Chchd2/Uqcrfs1/Cox5b",4
"GO:0061615","glycolytic process through fructose-6-phosphate","3/55","23/28943",1.11933244627621e-05,0.000961761590995471,0.000630025015140724,"Gapdh/Aldoa/Pkm",3
"GO:0042773","ATP synthesis coupled electron transport","4/55","73/28943",1.152173406615e-05,0.000961761590995471,0.000630025015140724,"Cox4i1/Chchd2/Uqcrfs1/Cox5b",4
"GO:0006007","glucose catabolic process","3/55","24/28943",1.27751532286261e-05,0.000964828239076239,0.000632033896574134,"Gapdh/Aldoa/Pkm",3
"GO:0042026","protein refolding","3/55","24/28943",1.27751532286261e-05,0.000964828239076239,0.000632033896574134,"Hspa5/Hspa8/Hsp90aa1",3
"GO:0022898","regulation of transmembrane transporter activity","6/55","303/28943",2.36001985174612e-05,0.0017013597658497,0.00111451655199685,"Calm2/Calm1/Actb/Slc25a4/Atp1b1/Ywhah",6
"GO:0031647","regulation of protein stability","6/55","312/28943",2.78061568576441e-05,0.00191741585983581,0.00125604928231097,"Gapdh/Hsp90ab1/Hspa8/Atp1b1/Npm1/Hsp90aa1",6
"GO:0032409","regulation of transporter activity","6/55","317/28943",3.03913482864664e-05,0.00200836159926399,0.00131562547187467,"Calm2/Calm1/Actb/Slc25a4/Atp1b1/Ywhah",6
"GO:0050821","protein stabilization","5/55","193/28943",3.32244477085724e-05,0.00207674829645819,0.00136042381934309,"Gapdh/Hsp90ab1/Atp1b1/Npm1/Hsp90aa1",5
"GO:0035304","regulation of protein dephosphorylation","4/55","96/28943",3.40450540402981e-05,0.00207674829645819,0.00136042381934309,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0007409","axonogenesis","7/55","493/28943",3.99159065577049e-05,0.00233450597401999,0.00152927417293272,"Hsp90ab1/Cck/Actb/Olfm1/Stmn1/Rab3a/Hsp90aa1",7
"GO:0010922","positive regulation of phosphatase activity","3/55","36/28943",4.43442840700514e-05,0.00233450597401999,0.00152927417293272,"Calm2/Calm1/Hsp90ab1",3
"GO:0019320","hexose catabolic process","3/55","36/28943",4.43442840700514e-05,0.00233450597401999,0.00152927417293272,"Gapdh/Aldoa/Pkm",3
"GO:0010660","regulation of muscle cell apoptotic process","4/55","103/28943",4.48673888660322e-05,0.00233450597401999,0.00152927417293272,"Gapdh/Hspa8/Slc25a4/Npm1",4
"GO:0051235","maintenance of location","6/55","341/28943",4.56303185338081e-05,0.00233450597401999,0.00152927417293272,"Calm2/Fth1/Calm1/Tmsb4x/Hspa5/Skp1",6
"GO:0010667","negative regulation of cardiac muscle cell apoptotic process","3/55","37/28943",4.81921181690544e-05,0.00238852185675376,0.00156465857344923,"Hspa8/Slc25a4/Npm1",3
"GO:0046365","monosaccharide catabolic process","3/55","38/28943",5.22525109579243e-05,0.0025112873448263,0.00164507905312508,"Gapdh/Aldoa/Pkm",3
"GO:0010657","muscle cell apoptotic process","4/55","108/28943",5.40033593563387e-05,0.00251909788056333,0.00165019553203425,"Gapdh/Hspa8/Slc25a4/Npm1",4
"GO:0006734","NADH metabolic process","3/55","39/28943",5.65307706777114e-05,0.00256165149413858,0.00167807129801207,"Gapdh/Aldoa/Pkm",3
"GO:0010664","negative regulation of striated muscle cell apoptotic process","3/55","40/28943",6.10321747927094e-05,0.00268880636725659,0.00176136714971942,"Hspa8/Slc25a4/Npm1",3
"GO:0046034","ATP metabolic process","5/55","224/28943",6.74100589379802e-05,0.0028895230669091,0.0018928514415871,"Gapdh/Aldoa/Hspa8/Atp1b1/Pkm",5
"GO:0006090","pyruvate metabolic process","4/55","121/28943",8.40573607820779e-05,0.00350828879474672,0.00229818878370944,"Gapdh/Aldoa/Ldhb/Pkm",4
"GO:0031398","positive regulation of protein ubiquitination","4/55","125/28943",9.53531524958647e-05,0.00387769486816517,0.00254017709887769,"Hspa5/Ubb/Npm1/Skp1",4
"GO:0045333","cellular respiration","5/55","245/28943",0.000102777483638661,0.00407512722627292,0.00266950990398312,"Cox4i1/Norad/Chchd2/Uqcrfs1/Cox5b",5
"GO:0009205","purine ribonucleoside triphosphate metabolic process","5/55","251/28943",0.000115112606977611,0.00445289255284126,0.00291697414857259,"Gapdh/Aldoa/Hspa8/Atp1b1/Pkm",5
"GO:1901021","positive regulation of calcium ion transmembrane transporter activity","3/55","50/28943",0.000119458415952858,0.00451097732621982,0.00295502397357069,"Calm2/Calm1/Atp1b1",3
"GO:0009144","purine nucleoside triphosphate metabolic process","5/55","257/28943",0.000128554366605066,0.00463380057808262,0.00303548229280384,"Gapdh/Aldoa/Hspa8/Atp1b1/Pkm",5
