"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Calm2",1.50443079970974e-22,0.680611611554882,0.961,0.883,5.24549886934793e-18
"Fth1",2.8862324075598e-22,0.7315523942477,0.89,0.73,1.00634265354388e-17
"Calm1",4.2400029729165e-21,0.650294218392223,0.979,0.94,1.4783618365668e-16
"Snhg11",1.67021029159536e-20,-0.288771203037932,1,1,5.82352222370553e-16
"Ppia",1.94172947097585e-20,0.727730255172773,0.862,0.687,6.77022814645151e-16
"Gapdh",2.81110080805378e-19,0.719511035939021,0.883,0.744,9.80146518744112e-15
"Tmsb4x",3.91738007856843e-18,0.724953727721246,0.789,0.578,1.36587291199445e-13
"Atp6v0c",9.81275646251903e-18,0.662558438627707,0.932,0.866,3.42141379578651e-13
"Nrgn",7.07470612429217e-17,0.728650318425915,0.809,0.64,2.46673778435695e-12
"Tmem267",1.0454536225374e-15,1.09191165754094,0.206,0.022,3.64518314570116e-11
"Dynll1",4.50916937529876e-14,0.733806071682683,0.54,0.305,1.57221208608542e-09
"Hsp90ab1",6.398787393395e-14,0.548319682226229,0.945,0.891,2.23106520045503e-09
"Hspa5",7.37160132761245e-13,0.704850569039031,0.54,0.332,2.57025623489863e-08
"Tuba1a",7.40843636245881e-13,0.634491075888167,0.744,0.569,2.58309950649851e-08
"Aldoa",5.08019928776986e-12,0.575670406451147,0.773,0.624,1.77131308566672e-07
"Fgf1",1.01435197029626e-11,0.598009916181698,0.548,0.324,3.53674101483195e-07
"Cck",1.3415425466985e-11,0.611854096012378,0.627,0.414,4.67755639757367e-07
"Cox4i1",3.55873175313531e-11,0.547107321029561,0.744,0.602,1.24082300036569e-06
"Actb",8.41015662332876e-11,0.491638101862118,0.799,0.638,2.93236930985604e-06
"Ubb",1.08045468588395e-10,0.596366300216836,0.773,0.64,3.76722135327158e-06
"Eif1",1.38474544749632e-10,0.491338691918827,0.752,0.594,4.82819195178544e-06
"Olfm1",6.69572673031267e-10,0.498018242248495,0.713,0.569,2.33459903905812e-05
"Tspyl4",1.03994538333717e-09,0.56387618881075,0.742,0.621,3.62597756808171e-05
"Stmn1",1.74801793102763e-09,0.517571098620402,0.77,0.638,6.09481412011404e-05
"Hspa8",1.77864554863996e-09,0.507556775862355,0.825,0.736,6.20160343444294e-05
"Rtn1",3.06284664332632e-09,0.369131687315261,0.953,0.946,0.000106792273912859
"Bex2",3.40446147796347e-09,0.565763167293029,0.687,0.542,0.000118703358352152
"Ckb",5.23969695596768e-09,0.531040285282365,0.755,0.67,0.000182692513763725
"Pcsk1n",5.74261105852392e-09,0.461029471501656,0.739,0.578,0.000200227619777554
"Grip1",8.55180016385539e-09,-0.240293594470904,0.995,1,0.000298175616313146
"Slc25a4",1.31034707402333e-08,0.453686953563408,0.768,0.659,0.000456878714299715
"Rpl6",1.47827734365757e-08,0.470557547411003,0.608,0.452,0.000515430961413086
"Bex3",1.65606664316976e-08,0.555323258987411,0.512,0.332,0.000577420756473999
"Cox8a",2.38865861105253e-08,0.500313347738291,0.679,0.55,0.000832853597915685
"Atp1b1",2.84131090544476e-08,0.361427894828771,0.94,0.921,0.000990679873401423
"Gm47283",5.06610118562147e-08,0.345997633880371,0.11,0.014,0.00176639750039064
"Rab3a",5.16840662640159e-08,0.583534023675367,0.601,0.485,0.00180206833842744
"Ly6h",6.08117191650088e-08,0.484404940958529,0.768,0.659,0.00212032221212636
"Rps8",6.10174198940996e-08,0.472325378185815,0.58,0.425,0.00212749437944757
"E230016M11Rik",6.86953079896261e-08,-0.41187158389291,0.261,0.458,0.00239519930367429
"Npm1",7.64387807903038e-08,0.461952544439317,0.462,0.297,0.00266519096981552
"Kcnip1",8.38980790559322e-08,-0.369470574204242,0.789,0.894,0.00292527432244319
"Norad",1.21690953177097e-07,0.50862146017131,0.64,0.512,0.00424299846442586
"Pcp4",1.26811002728496e-07,0.560518766329471,0.449,0.308,0.00442151923213446
"Stmn3",1.42333052357816e-07,0.393528305716429,0.838,0.744,0.00496272653655997
"Chchd2",1.54842007529031e-07,0.397943187383576,0.574,0.387,0.00539887627651471
"Rsrp1",1.60268897647737e-07,-0.298380645103942,0.739,0.866,0.00558809565428365
