"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctsa",0.000488921296921565,0.608855256868463,0.308,0,1
"Snhg11",0.000548590634645389,-0.291041306815067,1,1,1
"Oscp1",0.000702602399095322,-0.621169388712794,0,0.265,1
"Dennd11",0.000702602399095322,-0.601260956874686,0,0.265,1
"Rad52",0.000702602399095322,-0.635075955667294,0,0.265,1
"Dctn4",0.000767183580234288,-1.01882733055169,0.205,0.529,1
"Naca",0.000785718979279147,0.816029277451234,0.487,0.088,1
"Chaserr",0.000996521700673061,0.749870770037467,0.59,0.206,1
"Sirt7",0.00116896506127993,-0.840380182310482,0.077,0.382,1
"Ranbp9",0.00118838245132031,0.773909664896781,0.487,0.118,1
"Gm47283",0.00132326994037824,0.634300841227415,0.333,0.029,1
"Setd5",0.00135573828321707,-0.686969089748188,0.462,0.765,1
"Slc36a4",0.00151922586400988,-0.469042070998543,0,0.235,1
"Rab11a",0.00187814446059215,0.717216948912343,0.359,0.059,1
"Bod1l",0.00226497917186193,-0.74275097351536,0.256,0.559,1
"Snx4",0.00230564422427677,-0.597426331974077,0.077,0.382,1
"Vcpip1",0.00241032913630802,0.674612570298524,0.308,0.029,1
"Bin1",0.00247287425861289,-0.628245079012675,0.205,0.559,1
"Mrpl48",0.00264311402183753,-0.73014687956705,0.026,0.265,1
"Cplx2",0.00300774746200786,0.532542216519254,0.41,0.088,1
"Cdc37l1",0.00302659437162397,0.657186905155697,0.641,0.294,1
"Atp5e",0.0031481472100834,0.653549594024389,0.231,0,1
"Pot1a",0.0031481472100834,0.557835813085873,0.231,0,1
"Dcaf13",0.0031481472100834,0.435777536860636,0.231,0,1
"Sgms1",0.0032394710217194,-0.695059404101932,0.282,0.618,1
"Wdr3",0.00324108793678208,-0.424117061288896,0,0.206,1
"Gm17529",0.00324108793678208,-0.58165236323413,0,0.206,1
"Zfp874b",0.00324108793678208,-0.612070769568862,0,0.206,1
"Uty",0.00329159329205094,0.725147964978922,0.667,0.382,1
"Tle1",0.00348535696817084,-0.67350681821517,0.051,0.294,1
"Cacybp",0.0034878847362896,0.645343645548491,0.333,0.059,1
"Scg2",0.00359506729942401,1.10943241514408,0.718,0.441,1
"Gm47167",0.00371392780105926,0.584550416630861,0.385,0.088,1
"Zfp445",0.00392543979386429,0.228087511858897,0.769,0.412,1
"Rasa2",0.0043280041830001,-0.772737862295498,0.205,0.471,1
"5031439G07Rik",0.00452602653035923,-0.649609702663332,0.179,0.471,1
"4833422C13Rik",0.00481991149646249,0.813152685686566,0.462,0.147,1
"Cox5a",0.00493327658050295,0.835274804837887,0.641,0.353,1
"Smap1",0.00500442613023952,-0.531842465420722,0.308,0.618,1
"Alkbh6",0.005724786541268,0.422473381910747,0.205,0,1
"Aldh6a1",0.005724786541268,0.571757376290187,0.205,0,1
