"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Echdc2",5.91041555416905e-27,0.596460588575807,0.246,0.01,2.06078459127212e-22
"Gm47283",6.89126581929596e-27,0.613528838003416,0.278,0.025,2.40277765321392e-22
"Nme7",2.33635285975737e-11,0.42851161459127,0.809,0.601,8.14616151611603e-07
"Sox5",1.53923144063765e-08,-0.326685030798457,0.901,0.912,0.000536683826407128
"Rn18s-rs5",3.40681724251658e-08,-0.197305762041217,1,1,0.00118785496794826
"Nrgn",4.70846487452881e-08,-0.393652005674922,0.526,0.653,0.00164170044780196
"Syt1",1.51737879581212e-07,0.194325462723531,0.995,0.99,0.0052906446473581
"ENSMUSG00000120241",1.86684405834576e-07,0.27109490475538,0.409,0.232,0.00650912517823418
"Tspyl4",1.08293789336846e-06,0.314719665210994,0.743,0.58,0.0377587955280781
"Celf6",1.62147351241707e-06,0.192882093149021,0.138,0.046,0.0565359169574459
"Fabp3",3.48842600114698e-06,0.221230350452734,0.331,0.182,0.121630949381992
"4933413L06Rik",4.03880697357031e-06,0.329683312462164,0.602,0.445,0.140821082747476
"Cntn3",4.6865291013368e-06,0.316884229188869,0.775,0.618,0.16340521017631
"Gm55122",7.54259365177623e-06,0.293169568029644,0.906,0.814,0.262987612856482
"Rpl3",7.88282485698128e-06,0.279188524789566,0.476,0.301,0.274850454288366
"Dst",8.16832036621921e-06,-0.232404283539062,0.897,0.929,0.284804826208965
"Ckb",8.96529213679531e-06,0.314448443149885,0.901,0.835,0.312592840933642
"Ube2d3",1.56373402095103e-05,0.260498286071505,0.457,0.301,0.545227141084997
"4930517O19Rik",1.57870368868097e-05,0.304041374197305,0.768,0.628,0.550446615132394
"Cmss1",2.02553110863355e-05,-0.312010595167585,0.671,0.733,0.70624193164726
"Atp1b1",2.0691126291102e-05,0.198958242599511,0.991,0.939,0.721437500391853
"mt-Atp6",2.61265519035033e-05,0.211410524970618,0.177,0.081,0.910954485219449
"Ammecr1",2.79085990812387e-05,0.294487747148302,0.418,0.278,0.973089124165549
"Tubb2a",3.49547225650602e-05,0.272686660523539,0.694,0.507,1
"Prkacb",4.25376502129804e-05,0.262321552085159,0.743,0.622,1
"Malat1",4.36323901397336e-05,-0.106037749456686,1,1,1
"Sncb",5.5207723271984e-05,0.209696079873666,0.561,0.397,1
"Sparcl1",5.59683485150435e-05,0.245985930676506,0.786,0.643,1
"Ppp1r7",5.83065360088131e-05,0.171873824903165,0.223,0.119,1
"Slitrk2",5.91146644896408e-05,0.134864426933681,0.138,0.056,1
"2810429I04Rik",5.96062749727296e-05,0.167691268747462,0.092,0.029,1
"Ncoa7",5.96180863676708e-05,0.26222320508887,0.653,0.52,1
"Gng2",6.00630532955352e-05,0.261138617822551,0.391,0.259,1
"Cope",6.01518393135466e-05,0.146996779911969,0.29,0.163,1
"Arrb2",6.38924279787338e-05,0.122685335558991,0.108,0.038,1
"Ptgds",7.59708388885809e-05,0.32574088960408,0.506,0.357,1
