"","SYMBOL","ENSEMBL","ENTREZID"
"1","Calm2","ENSMUSG00000036438","12314"
"2","Fth1","ENSMUSG00000024661","14319"
"3","Calm1","ENSMUSG00000001175","12313"
"4","Ppia","ENSMUSG00000071866","268373"
"5","Gapdh","ENSMUSG00000057666","14433"
"6","Tmsb4x","ENSMUSG00000049775","19241"
"7","Nrgn","ENSMUSG00000053310","64011"
"8","Tmem267","ENSMUSG00000074634","633640"
"9","Hsp90ab1","ENSMUSG00000023944","15516"
"10","Hspa5","ENSMUSG00000026864","14828"
"11","Actb","ENSMUSG00000029580","11461"
"12","Olfm1","ENSMUSG00000026833","56177"
