"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035307","positive regulation of protein dephosphorylation","4/12","49/28943",3.55213642739564e-09,2.20942885784009e-06,8.86164561360807e-07,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0035306","positive regulation of dephosphorylation","4/12","65/28943",1.13105496121029e-08,3.51758092936402e-06,1.41084224108863e-06,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0051651","maintenance of location in cell","5/12","232/28943",2.39787849066396e-08,4.97160140397661e-06,1.99402527118371e-06,"Calm2/Fth1/Calm1/Tmsb4x/Hspa5",5
"GO:0035304","regulation of protein dephosphorylation","4/12","96/28943",5.51164940016506e-08,8.57061481725667e-06,3.43752870483979e-06,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","3/12","22/28943",8.34802977382744e-08,1.03849490386413e-05,4.16522748715179e-06,"Calm2/Calm1/Hsp90ab1",3
"GO:0051235","maintenance of location","5/12","341/28943",1.63155231252623e-07,1.69137589731886e-05,6.78382277313537e-06,"Calm2/Fth1/Calm1/Tmsb4x/Hspa5",5
"GO:0035303","regulation of dephosphorylation","4/12","136/28943",2.24209698889063e-07,1.99226332441425e-05,7.99063137394105e-06,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0010922","positive regulation of phosphatase activity","3/12","36/28943",3.85782695442909e-07,2.99946045706862e-05,1.20303287921012e-05,"Calm2/Calm1/Hsp90ab1",3
"GO:0043666","regulation of phosphoprotein phosphatase activity","3/12","58/28943",1.65864800258363e-06,0.00011463100640078,4.59765586681076e-05,"Calm2/Calm1/Hsp90ab1",3
"GO:0006470","protein dephosphorylation","4/12","252/28943",2.62938976193657e-06,0.000163548043192455,6.55963551135755e-05,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0010921","regulation of phosphatase activity","3/12","86/28943",5.46538896692824e-06,0.00030904290340267,0.000123951883747559,"Calm2/Calm1/Hsp90ab1",3
"GO:0005513","detection of calcium ion","2/12","11/28943",8.64896364338561e-06,0.000448304615515487,0.000179807402059859,"Calm2/Calm1",2
"GO:0016311","dephosphorylation","4/12","351/28943",9.74667057429832e-06,0.000466340699785658,0.000187041370535118,"Calm2/Calm1/Ppia/Hsp90ab1",4
"GO:0048102","autophagic cell death","2/12","15/28943",1.6496449498032e-05,0.000684052772518396,0.000274362002177796,"Calm2/Calm1",2
"GO:0051280","negative regulation of release of sequestered calcium ion into cytosol","2/12","15/28943",1.6496449498032e-05,0.000684052772518396,0.000274362002177796,"Calm2/Calm1",2
"GO:0051284","positive regulation of sequestering of calcium ion","2/12","17/28943",2.13569874894612e-05,0.000830252888652803,0.000333000397039625,"Calm2/Calm1",2
"GO:0060314","regulation of ryanodine-sensitive calcium-release channel activity","2/12","20/28943",2.9816354357979e-05,0.00109092778886252,0.000437552692435976,"Calm2/Calm1",2
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum","2/12","23/28943",3.96754005092041e-05,0.00135504164846909,0.000543484296305931,"Calm2/Calm1",2
