"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"1","Actb",8.41015662332876e-11,0.491638101862118,0.799,0.638,2.93236930985604e-06,4.17223870318258e-07,-0.345544785798259,0.703,0.799,0.0145473446863867
"2","Calm1",4.2400029729165e-21,0.650294218392223,0.979,0.94,1.4783618365668e-16,2.76518917297584e-12,-0.463329993888566,0.955,0.979,9.64138508941486e-08
"3","Calm2",1.50443079970974e-22,0.680611611554882,0.961,0.883,5.24549886934793e-18,3.90958569157719e-11,-0.433818760386714,0.932,0.961,1.36315524308222e-06
"4","Fth1",2.8862324075598e-22,0.7315523942477,0.89,0.73,1.00634265354388e-17,3.29929203848829e-08,-0.396903973473774,0.807,0.89,0.00115036415505971
"5","Gapdh",2.81110080805378e-19,0.719511035939021,0.883,0.744,9.80146518744112e-15,5.483036883411e-08,-0.405392047444824,0.822,0.883,0.00191177047013891
"6","Gm47283",5.06610118562147e-08,0.345997633880371,0.11,0.014,0.00176639750039064,4.47330527376374e-08,0.39812491592229,0.276,0.11,0.0015597073498032
"7","Hsp90ab1",6.398787393395e-14,0.548319682226229,0.945,0.891,2.23106520045503e-09,1.88451471702219e-09,-0.450125331921518,0.911,0.945,6.57073746384125e-05
"8","Hspa5",7.37160132761245e-13,0.704850569039031,0.54,0.332,2.57025623489863e-08,1.42421283958513e-10,-0.588964976636253,0.344,0.54,4.96580290778148e-06
"9","Nrgn",7.07470612429217e-17,0.728650318425915,0.809,0.64,2.46673778435695e-12,1.94346372608296e-12,-0.590612615596623,0.688,0.809,6.77627497373345e-08
"10","Olfm1",6.69572673031267e-10,0.498018242248495,0.713,0.569,2.33459903905812e-05,8.46437676451831e-09,-0.424751891419159,0.582,0.713,0.00029512742464846
"11","Ppia",1.94172947097585e-20,0.727730255172773,0.862,0.687,6.77022814645151e-16,1.51520014729084e-07,-0.410238786744348,0.748,0.862,0.00528304835355897
"12","Tmem267",1.0454536225374e-15,1.09191165754094,0.206,0.022,3.64518314570116e-11,6.63354631440784e-14,-1.07661435276005,0.027,0.206,2.31291859344458e-09
"13","Tmsb4x",3.91738007856843e-18,0.724953727721246,0.789,0.578,1.36587291199445e-13,5.67800198125358e-08,-0.459485662636878,0.656,0.789,0.00197974895080369
