"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"so$nCount_RNA1","1","0",1,1494,5597.79518072289,2169.67977631841,5267,5415.91471571906,1990.3905,628,15094,14466,0.88753501798611,1.16003287928339,56.1332699667978
"so$nCount_RNA2","2","1",1,876,5766.59360730594,2193.86778539617,5411,5569.79914529915,1859.9217,708,16327,15619,1.02342227886922,1.64343794768883,74.1239232929346
"so$nCount_RNA3","3","2",1,481,5861.64864864865,2401.50964830008,5350,5626.66233766234,1995.5796,1152,16847,15695,1.15641977986428,2.10043295130825,109.499414658518
"so$nCount_RNA4","4","3",1,415,4936.30120481928,2018.75085220029,4576,4740.43243243243,1782.0852,960,14312,13352,1.09369846002504,1.81135224899748,99.0965818682688
"so$nCount_RNA5","5","4",1,381,5792.37532808399,2313.24421727541,5430,5590.07213114754,1959.9972,1182,23918,22736,1.91148227400369,10.0040122535162,118.511091308555
"so$nCount_RNA6","6","5",1,334,5739.16167664671,2388.70067290004,5407,5498.75,2192.7654,1230,17753,16523,1.15283767070097,2.26970911284524,130.703885568616
"so$nCount_RNA7","7","6",1,112,5249.66071428571,1965.7253323001,4991.5,5049.77777777778,1772.4483,2132,14467,12335,1.36012701978984,3.29793091049673,185.743584825924
"so$nCount_RNA8","8","7",1,80,5320.0625,1872.14401117434,5148,5182.578125,1811.7372,2065,10964,8899,0.658421366114735,0.269885554452682,209.312063632748
"so$nCount_RNA9","9","8",1,79,9415.32911392405,3109.45082017965,8767,9027.75384615385,2418.1206,5103,20515,15412,1.34796342687393,1.77417399061005,349.840549630862
"so$nCount_RNA10","10","9",1,38,6149.15789473684,2854.46686958013,5405,5943.65625,2707.2276,1407,15145,13738,0.908306428847011,0.899896797956032,463.055672153968
